County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates
Cullman County,187,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.7 ,171.7 
Marshall County,202,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.4 ,171.4 
Dale County,89,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.2 ,171.2 
Chilton County,86,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.0 ,171.0 
Morgan County,236,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.1 ,170.1 
Elmore County,135,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.0 ,170.0 
Coffee County,90,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.2 ,169.2 
Cherokee County,67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.3 ,168.3 
Lee County,186,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.7 ,167.7 
Sumter County,8,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.7 ,167.7 
Washington County,28,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.4 ,167.4 
Monroe County,33,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.7 ,166.7 
Coosa County,21,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.3 ,165.3 
DeKalb County,145,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.2 ,165.2 
Jefferson County,817,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.5 ,164.5 
Winston County,59,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.9 ,161.9 
Wilcox County,10,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.5 ,160.5 
Autauga County,87,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.3 ,160.3 
Montgomery County,216,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.9 ,157.9 
Houston County,170,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.1 ,157.1 
Lauderdale County,191,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.9 ,156.9 
Madison County,524,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.9 ,156.9 
Baldwin County,445,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.8 ,155.8 
Greene County,6,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.3 ,152.3 
Bullock County,7,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.6 ,151.6 
Tuscaloosa County,232,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,149.5 ,149.5 
Butler County,27,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.2 ,148.2 
Limestone County,144,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.2 ,147.2 
Cleburne County,30,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,146.0 ,146.0 
Clarke County,33,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.6 ,144.6 
Hale County,14,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.0 ,144.0 
Choctaw County,19,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.4 ,141.4 
Pickens County,26,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,137.6 ,137.6 
Shelby County,285,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,129.4 ,129.4 
Madison County,6,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,93.6 ,93.6 
Jefferson County,7,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,80.2 ,80.2 
Baldwin County,3,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,68.1 ,68.1 
Shelby County,4,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,58.2 ,58.2 
Crenshaw County,32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,214.0 ,214.0 
Walker County,180,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,213.9 ,213.9 
Macon County,10,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,204.9 ,204.9 
Russell County,77,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.6 ,203.6 
Escambia County,70,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,201.0 ,201.0 
Jackson County,138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,200.7 ,200.7 
Chambers County,62,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,199.4 ,199.4 
Dallas County,41,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,198.8 ,198.8 
Lawrence County,73,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.3 ,194.3 
Barbour County,40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.6 ,192.6 
Geneva County,67,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.5 ,190.5 
Henry County,38,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.1 ,188.1 
Fayette County,40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.0 ,188.0 
Talladega County,147,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.9 ,186.9 
Blount County,138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.8 ,186.8 
Bibb County,42,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.7 ,186.7 
Lamar County,36,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.3 ,186.3 
Clay County,32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.0 ,185.0 
Covington County,92,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.2 ,183.2 
Calhoun County,223,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.1 ,183.1 
Marengo County,27,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.0 ,183.0 
Colbert County,121,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,182.9 
Etowah County,224,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,182.9 
Marion County,80,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.3 ,182.3 
St. Clair County,180,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.2 ,181.2 
Franklin County,64,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.1 ,181.1 
Conecuh County,22,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.3 ,179.3 
Pike County,43,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.0 ,177.0 
Mobile County,589,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.8 ,176.8 
Marshall County,200,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.6 ,174.6 
Perry County,9,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,174.5 
Chilton County,86,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,174.5 
Lowndes County,8,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.9 ,173.9 
Randolph County,48,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.5 ,173.5 
Dale County,87,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.5 ,173.5 
Cullman County,186,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.4 ,173.4 
Tallapoosa County,82,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.1 ,173.1 
Morgan County,235,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.4 ,172.4 
Coffee County,90,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.4 ,172.4 
Elmore County,134,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.8 ,170.8 
Sumter County,8,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.1 ,170.1 
Lee County,184,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.9 ,169.9 
Monroe County,33,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.8 ,168.8 
Washington County,28,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.5 ,168.5 
Coosa County,21,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.7 ,167.7 
DeKalb County,142,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.3 ,167.3 
Cherokee County,66,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.2 ,167.2 
Jefferson County,809,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.6 ,165.6 
Winston County,59,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.5 ,163.5 
Autauga County,87,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.1 ,161.1 
Wilcox County,10,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.8 ,160.8 
Montgomery County,215,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.1 ,160.1 
Houston County,169,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,159.0 ,159.0 
Madison County,518,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.2 ,158.2 
Lauderdale County,191,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.1 ,158.1 
Baldwin County,441,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.3 ,157.3 
Bullock County,7,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.0 ,156.0 
Greene County,6,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.9 ,152.9 
Tuscaloosa County,231,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.3 ,151.3 
Butler County,27,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.4 ,149.4 
Limestone County,143,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.3 ,148.3 
Cleburne County,30,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.5 ,147.5 
Clarke County,33,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.8 ,145.8 
Hale County,14,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.4 ,142.4 
Choctaw County,19,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.3 ,142.3 
Pickens County,26,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,138.8 ,138.8 
Shelby County,282,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.5 ,130.5 
Covington County,15,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,286.6 ,286.6 
Walker County,10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,281.1 ,281.1 
Fayette County,7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,274.6 ,274.6 
Marshall County,4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,244.4 ,244.4 
Wilcox County,21,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,238.0 ,238.0 
Tallapoosa County,29,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,235.9 ,235.9 
Bullock County,19,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,235.0 ,235.0 
Clarke County,28,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,227.2 ,227.2 
Washington County,11,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,222.4 ,222.4 
Elmore County,26,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.5 ,216.5 
Lowndes County,19,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.1 ,216.1 
Baldwin County,38,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,213.5 ,213.5 
Macon County,43,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,210.2 ,210.2 
Pike County,23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,209.8 ,209.8 
Lee County,60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,205.0 ,205.0 
Russell County,50,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.2 ,204.2 
Marengo County,24,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.5 ,202.5 
Sumter County,22,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.2 ,202.2 
Morgan County,26,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.2 ,202.2 
Lamar County,4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.9 ,201.9 
Dallas County,60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.4 ,201.4 
Lauderdale County,18,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.8 ,191.8 
Clay County,5,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.6 ,191.6 
Calhoun County,44,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.1 ,191.1 
Mobile County,287,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.0 ,191.0 
Talladega County,49,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.6 ,190.6 
Bibb County,8,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.5 ,190.5 
Conecuh County,14,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,189.1 ,189.1 
Dale County,17,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,187.4 ,187.4 
Jefferson County,545,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.6 ,185.6 
Chilton County,9,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.4 ,185.4 
Henry County,11,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.3 ,185.3 
Etowah County,32,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.2 ,185.2 
Houston County,49,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.2 ,185.2 
Montgomery County,216,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,183.8 ,183.8 
Monroe County,20,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.6 ,181.6 
Butler County,18,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.5 ,181.5 
Lawrence County,10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.1 ,181.1 
Tuscaloosa County,95,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,178.9 ,178.9 
Jackson County,4,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.8 ,177.8 
Escambia County,22,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.3 ,177.3 
Barbour County,23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.1 ,176.1 
Crenshaw County,7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.2 ,175.2 
Colbert County,20,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.1 ,175.1 
Perry County,13,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,173.5 ,173.5 
Hale County,18,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,173.0 ,173.0 
Autauga County,18,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,172.2 ,172.2 
Chambers County,27,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.7 ,169.7 
Geneva County,5,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.6 ,169.6 
Randolph County,8,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,160.7 ,160.7 
Coosa County,7,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,157.6 ,157.6 
Pickens County,16,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,157.2 ,157.2 
Choctaw County,13,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,154.5 ,154.5 
Coffee County,15,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,150.6 ,150.6 
Greene County,14,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,149.2 ,149.2 
Limestone County,20,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,149.1 ,149.1 
Madison County,114,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,148.3 ,148.3 
St. Clair County,11,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,137.0 ,137.0 
Shelby County,23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,135.6 ,135.6 
Lee County,4,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,131.0 ,131.0 
Mobile County,7,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,88.9 ,88.9 
Montgomery County,4,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,70.5 ,70.5 
Jefferson County,5,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,61.3 ,61.3 
Madison County,6,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,58.4 ,58.4 
Madison County,7,*,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,98.8 ,98.8 
Jefferson County,8,*,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,82.1 ,82.1 
Baldwin County,3,*,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,63.7 ,63.7 
Mobile County,4,*,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,57.6 ,57.6 
Shelby County,4,*,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,54.6 ,54.6 
Mohave County,738,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.5 ,186.5 
Cochise County,285,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.3 ,157.3 
Yavapai County,685,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.1 ,152.1 
Apache County,41,stable,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.2 ,144.2 
Gila County,134,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,142.1 ,142.1 
Navajo County,128,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.0 ,141.0 
Pima County,1841,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.6 ,138.6 
Graham County,49,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,138.4 ,138.4 
Maricopa County,6015,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,134.5 ,134.5 
Greenlee County,12,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,132.1 ,132.1 
Coconino County,125,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,130.6 ,130.6 
La Paz County  3,53,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,130.0 ,130.0 
Pinal County,656,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,120.7 ,120.7 
Yuma County  3,308,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,116.4 ,116.4 
Santa Cruz County,65,falling,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,114.7 ,114.7 
Apache County,6,*,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,176.6 ,176.6 
Coconino County,13,stable,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,133.4 ,133.4 
Navajo County,11,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,132.4 ,132.4 
Yavapai County,31,stable,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,128.2 ,128.2 
Graham County,12,stable,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,126.4 ,126.4 
Pima County,329,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,125.4 ,125.4 
Cochise County,49,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,124.3 ,124.3 
Mohave County,35,stable,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,123.0 ,123.0 
Maricopa County,759,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,120.6 ,120.6 
Gila County,13,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,118.7 ,118.7 
Santa Cruz County,43,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,116.6 ,116.6 
Pinal County,82,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,111.7 ,111.7 
Yuma County  3,99,falling,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,106.4 ,106.4 
Greenlee County,4,stable,Arizona,All Cancer Sites,  White Hispanic,All Sexes,All Ages,98.7 ,98.7 
Mohave County,693,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.3 ,190.3 
Cochise County,234,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.3 ,165.3 
Yavapai County,651,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.7 ,153.7 
Greenlee County,8,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.2 ,147.2 
