County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000"
Autauga County,56,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.9 
Coosa County,16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.1 
Baldwin County,275,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.0 
Pickens County,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,191.1 
Limestone County,95,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0 
Cleburne County,19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,188.0 
Madison County,337,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,180.9 
Greene County,10,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.6 
Shelby County,169,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.5 
Bullock County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5 
Crenshaw County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,179.5 
Fayette County,23,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.0 
Russell County,61,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,169.0 
Marengo County,26,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3 
Conecuh County,17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.4 
Walker County,81,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.1 
Blount County,66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.3 
Marion County,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.7 
Covington County,49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.2 
Jackson County,62,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.2 
Wilcox County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.2 
Colbert County,66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.1 
Geneva County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.0 
Calhoun County,126,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.2 
Tallapoosa County,47,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.6 
Henry County,22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.3 
Sumter County,14,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2 
Lamar County,17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2 
Dale County,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4 
Clay County,16,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1 
Macon County,22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1 
Franklin County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0 
Etowah County,115,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.7 
Talladega County,85,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.6 
Lowndes County,11,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.1 
Cherokee County,31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.0 
Mobile County,402,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.6 
Washington County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.4 
Jefferson County,662,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.0 
Barbour County,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.7 
Morgan County,121,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.6 
Elmore County,73,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.2 
Montgomery County,212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.9 
Coffee County,51,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.6 
Lawrence County,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.5 
Lee County,112,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.9 
Dallas County,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4 
Chilton County,42,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.3 
Chambers County,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.1 
Escambia County,37,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.8 
St. Clair County,82,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.4 
Monroe County,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.3 
Randolph County,25,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0 
Clarke County,28,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.8 
Pike County,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.0 
Autauga County,49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.5 
Greene County,10,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4 
Bibb County,20,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.3 
DeKalb County,66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.6 
Coosa County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.2 
Marshall County,90,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.8 
Hale County,15,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.4 
Madison County,309,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8 
Cullman County,80,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.3 
Baldwin County,211,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.5 
Tuscaloosa County,153,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.1 
Butler County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.9 
Houston County,97,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,127.6 
Lauderdale County,94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.8 
Cleburne County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.9 
Perry County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.9 
Limestone County,70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.3 
Pickens County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8 
Choctaw County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.8 
Winston County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.4 
Shelby County,142,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.6 
Mohave County,437,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.2 
Cochise County,170,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.3 
Yavapai County,393,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,178.5 
Gila County,82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.7 
Pima County,1075,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.4 
Navajo County,101,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,159.0 
Maricopa County,3475,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,156.6 
La Paz County  3,36,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,152.4 
Greenlee County,7,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,150.0 
Graham County,27,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.9 
Santa Cruz County,38,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,143.9 
Apache County,51,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,140.2 
Coconino County,82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.6 
Pinal County,398,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.0 
Yuma County  3,184,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,136.5 
Mohave County,319,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.8 
Cochise County,128,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.4 
La Paz County  3,25,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.3 
Yavapai County,305,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.7 
Gila County,64,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.2 
Graham County,26,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.2 
Coconino County,84,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.3 
Maricopa County,3063,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.3 
Greenlee County,5,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.0 
Pima County,885,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.4 
Navajo County,79,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.5 
Pinal County,309,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,104.4 
Apache County,45,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,103.1 
Yuma County  3,133,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,94.3 
Santa Cruz County,29,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,90.1 
Chicot County,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,312.5 
Ouachita County,45,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.5 
Poinsett County,40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.4 
Jackson County,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,270.5 
Clay County,28,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,269.5 
Arkansas County,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,268.9 
Cross County,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,267.0 
Crittenden County,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.2 
Randolph County,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.8 
Lawrence County,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.5 
Ashley County,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.6 
Monroe County,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.4 
Mississippi County,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9 
Greene County,62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.5 
Calhoun County,10,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.0 
Phillips County,28,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.0 
Union County,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.1 
Nevada County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.2 
Lee County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.8 
Drew County,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.9 
Polk County,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.9 
Lonoke County,80,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.0 
Dallas County,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.3 
Jefferson County,95,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,241.9 
Woodruff County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,240.7 
Cleveland County,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.7 
Montgomery County,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.1 
Pike County,17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.6 
Lincoln County,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.4 
Grant County,26,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1 
Scott County,17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,231.0 
Sharp County,34,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.7 
Howard County,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.5 
Columbia County,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.3 
Madison County,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.8 
Logan County,33,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.4 
Conway County,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.6 
Fulton County,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,220.9 
Stone County,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.1 
Franklin County,26,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,218.3 
Crawford County,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.3 
Miller County,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.2 
Baxter County,86,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,214.1 
Cleburne County,49,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.3 
Johnson County,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.3 
White County,89,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.1 
Garland County,153,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.0 
Perry County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.3 
Marion County,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.8 
Clark County,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.2 
Craighead County,98,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7 
Pope County,69,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.6 
Boone County,51,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.1 
Yell County,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.0 
Van Buren County,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.1 
Lafayette County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,202.0 
Bradley County,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,201.6 
Desha County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,200.9 
Searcy County,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,200.7 
Faulkner County,106,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,200.0 
Izard County,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,199.5 
Hot Spring County,44,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,199.3 
Sevier County,17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,198.9 
St. Francis County,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.4 
Pulaski County,382,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.1 
Independence County,43,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.8 
Sebastian County,130,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.6 
Saline County,132,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,189.8 
Hempstead County,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.4 
Washington County,172,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,185.9 
Benton County,226,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,184.9 
Carroll County,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,181.1 
Little River County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,180.7 
Prairie County,12,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,178.9 
Newton County,12,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,170.0 
Monroe County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,238.9 
Calhoun County,8,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,215.4 
Clay County,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,200.5 
Cross County,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5 
Crittenden County,55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,187.8 
Bradley County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,184.2 
Sharp County,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,182.7 
Union County,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,181.2 
Miller County,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,177.0 
Lawrence County,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.9 
Poinsett County,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,175.1 
Dallas County,10,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,174.7 
Johnson County,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,173.7 
Randolph County,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,171.0 
Lee County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3 
Ouachita County,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.1 
Woodruff County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,167.2 
Fulton County,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,166.3 
Mississippi County,44,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.5 
Perry County,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.0 
Hot Spring County,39,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,164.4 
Baxter County,72,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,164.3 
Jefferson County,81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.3 
Ashley County,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,161.5 
Arkansas County,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,160.3 
Madison County,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.2 
Polk County,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.2 
Jackson County,20,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.7 
Nevada County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.6 
Marion County,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.6 
Newton County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.2 
Montgomery County,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.0 
Lincoln County,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,156.6 
Franklin County,21,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,155.6 
White County,80,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.3 
Scott County,12,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.9 
Little River County,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.0 
Clark County,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.4 
Lonoke County,63,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.1 
Cleveland County,9,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.7 
Yell County,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.5 
Crawford County,62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.1 
Searcy County,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,148.9 
Phillips County,20,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,148.4 
Cleburne County,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.9 
Sebastian County,122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.0 
Chicot County,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0 
Boone County,44,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.9 
St. Francis County,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.8 
Craighead County,90,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.7 
Saline County,116,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.3 
Columbia County,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.5 
Grant County,19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4 
