County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000"
Talladega County,188,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,619.6 
Clay County,36,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,617.0 
Blount County,135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,613.6 
Lawrence County,80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.5 
Washington County,40,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,609.5 
Marengo County,48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,606.5 
Tallapoosa County,107,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.9 
Marion County,80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 
Pike County,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 
Etowah County,245,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 
Calhoun County,256,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,603.1 
Henry County,47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,599.5 
Sumter County,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,597.5 
Bibb County,47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.2 
St. Clair County,181,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,592.4 
Dale County,104,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,590.6 
Conecuh County,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.9 
Mobile County,842,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.5 
Colbert County,134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.2 
Clarke County,59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,587.9 
Lee County,233,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.6 
Elmore County,150,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.5 
Jefferson County,1299,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.7 
Chilton County,90,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,574.5 
Morgan County,249,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,567.1 
Franklin County,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.7 
Marshall County,195,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.3 
Cullman County,178,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.8 
Montgomery County,410,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.6 
Monroe County,51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,558.1 
Cherokee County,66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.4 
Perry County,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,548.0 
Coffee County,101,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.6 
DeKalb County,140,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.5 
Randolph County,53,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,542.7 
Autauga County,99,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,536.1 
Houston County,208,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,533.1 
Baldwin County,466,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,532.2 
Winston County,56,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.6 
Lauderdale County,201,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.0 
Tuscaloosa County,310,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,525.5 
Butler County,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,521.6 
Coosa County,27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.8 
Hale County,31,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.0 
Madison County,608,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,509.2 
Cleburne County,31,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,500.0 
Greene County,19,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,498.7 
Pickens County,41,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,496.5 
Limestone County,156,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,495.9 
Choctaw County,30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,492.9 
Shelby County,296,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,436.4 
Macon County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,88.6 
Lowndes County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,86.9 
Marengo County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.7 
Wilcox County,10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.3 
Sumter County,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.2 
Henry County,17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,82.6 
Pike County,24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.8 
Perry County,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.5 
Jackson County,48,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.3 
Fayette County,15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.4 
Dallas County,35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 
Walker County,59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.5 
Escambia County,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.1 
Crenshaw County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.2 
Lamar County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.4 
Covington County,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.0 
Conecuh County,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.4 
Clay County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.3 
Lawrence County,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.1 
Washington County,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,71.7 
Barbour County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.9 
Tallapoosa County,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 
Hale County,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 
Colbert County,45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.9 
Russell County,44,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.3 
Randolph County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.2 
Mobile County,313,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.1 
Bibb County,16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.4 
Chambers County,26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 
Talladega County,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 
Etowah County,77,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 
Calhoun County,85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.0 
Geneva County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 
Marion County,22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 
Cherokee County,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.2 
Blount County,42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.8 
Coosa County,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.7 
Cullman County,58,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.5 
Franklin County,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.3 
Butler County,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.6 
Marshall County,63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.5 
St. Clair County,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.3 
Cleburne County,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.8 
Choctaw County,10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.6 
Clarke County,17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.1 
Greene County,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 
Winston County,17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 
Chilton County,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 
Jefferson County,428,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 
Morgan County,79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 
Houston County,67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 
Montgomery County,138,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.6 
Coffee County,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 
Dale County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.9 
Monroe County,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 
Autauga County,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 
DeKalb County,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.7 
Lauderdale County,57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.4 
Elmore County,49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.7 
Lee County,81,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.9 
Tuscaloosa County,105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,52.4 
Limestone County,57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,51.2 
Baldwin County,128,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.9 
Pickens County,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.3 
Madison County,198,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 
Bullock County,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,43.2 
Shelby County,93,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,38.6 
Bullock County,22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,338.4 "
Walker County,133,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,159.0 "
Russell County,85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.9 "
Crenshaw County,27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,077.9 "
Wilcox County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,064.5 "
Chambers County,64,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,031.8 "
Macon County,35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,018.3 "
Geneva County,52,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,017.6 "
Dallas County,67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,014.6 "
Talladega County,135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,006.5 "
Lee County,169,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,003.8 "
Lowndes County,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,002.7 "
Elmore County,112,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,001.0 "
Blount County,100,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,000.5 "
Marion County,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 
Escambia County,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.4 
Tallapoosa County,79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,987.7 
Jackson County,96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,986.9 
Fayette County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,984.1 
Etowah County,180,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,980.3 
St. Clair County,130,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,978.9 
Calhoun County,184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.9 
Covington County,74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.3 
Clarke County,45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.4 
Bibb County,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.3 
Monroe County,40,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,974.1 
Washington County,28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,967.0 
Dale County,75,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.3 
Marengo County,35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.0 
Barbour County,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,955.4 
Chilton County,66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,953.9 
Jefferson County,939,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,952.9 
Lawrence County,55,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,951.6 
Morgan County,184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,948.0 
Franklin County,47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,944.1 
Lamar County,28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,936.3 
Montgomery County,298,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,935.4 
Clay County,25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,929.7 
Colbert County,96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.7 
Mobile County,578,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.3 
Marshall County,143,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,919.1 
Cullman County,131,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,910.9 
Conecuh County,24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,909.9 
Sumter County,19,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,907.8 
DeKalb County,105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,906.0 
Baldwin County,358,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,900.1 
Pike County,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,899.4 
Henry County,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,898.3 
Coffee County,74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,895.5 
Autauga County,72,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,889.0 
Cherokee County,49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,883.1 
Madison County,447,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.3 
Lauderdale County,153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.0 
Houston County,153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,876.1 
Tuscaloosa County,223,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,873.8 
Randolph County,39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,866.6 
Winston County,42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,853.3 
Coosa County,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,850.8 
Butler County,32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,838.5 
Perry County,15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,837.5 
Limestone County,109,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,808.9 
Pickens County,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,797.7 
Greene County,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,788.7 
Hale County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,778.6 
Choctaw County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,750.7 
Shelby County,218,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,748.0 
Cleburne County,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,736.0 
Mohave County,23,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 
Gila County,5,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.8 
Yavapai County,17,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.5 
Cochise County,11,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.5 
Navajo County,9,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.5 
Pima County,86,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.0 
Graham County,3,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,14.8 
Maricopa County,376,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.7 
Pinal County,34,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.3 
Apache County,5,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.2 
Coconino County,10,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.2 
Santa Cruz County,3,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,12.6 
Yuma County  3,14,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,12.1 
Mohave County,733,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 
Cochise County,287,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,513.9 
Yavapai County,681,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,502.4 
Gila County,140,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,464.7 
Pima County,1874,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,455.1 
Greenlee County,12,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,453.6 
La Paz County  3,60,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,450.6 
Maricopa County,6162,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,447.2 
Graham County,49,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,441.8 
Navajo County,171,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,439.6 
Coconino County,156,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,433.0 
Pinal County,674,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,399.0 
Apache County,91,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,397.2 
Yuma County  3,304,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,382.7 
Santa Cruz County,63,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,379.0 
La Paz County  3,15,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.7 
Mohave County,169,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.2 
Gila County,30,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.8 
Yavapai County,139,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 
Cochise County,62,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,46.4 
Pima County,486,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,45.7 
Navajo County,51,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,45.0 
Graham County,15,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,42.5 
Yuma County  3,76,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,42.3 
Pinal County,181,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,41.8 
Maricopa County,1807,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,41.8 
Apache County,30,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,40.6 
Coconino County,51,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,37.4 
Greenlee County,3,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,35.1 
Santa Cruz County,16,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,34.8 
Mohave County,587,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,989.7 
