,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates
14,Calhoun County  6,611,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,419.5 ",0.1 
15,Tallapoosa County  6,254,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,417.1 ",0.5 
16,Wilcox County  6,62,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,413.3 ",0.2 
17,St. Clair County  6,442,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,404.5 ",-0.3 
18,Clay County  6,80,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,398.1 ",-0.6 
19,Etowah County  6,565,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,396.2 ",-0.3 
20,Bibb County  6,112,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,391.4 ",0.0 
21,Clarke County  6,139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,390.2 ",-0.3 
22,Barbour County  6,141,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,390.0 ",0.3 
23,Geneva County  6,155,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,388.5 ",-1.3 
24,Escambia County  6,195,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,382.4 ",-0.8 
25,Pickens County  6,112,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,379.0 ",0.1 
26,Sumter County  6,67,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,378.3 ",1.2 
27,Henry County  6,105,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,378.0 ",-1.1 
28,Baldwin County  6,1186,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,377.3 ",0.0 
29,Marion County  6,180,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,367.8 ",0.9 
30,Dale County  6,242,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,364.3 ",-0.3 
31,Montgomery County  6,1009,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,363.7 ",0.4 
32,Jefferson County  6,3100,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,363.1 ",-0.9 
33,Limestone County  6,433,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,360.2 ",-0.1 
34,Pike County  6,141,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,359.2 ",0.6 
35,Greene County  6,51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,348.8 ",0.1 
36,Tuscaloosa County  6,806,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,342.3 ",-1.0 
37,Cleburne County  6,82,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,341.7 ",0.3 
38,Talladega County  6,411,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,341.4 ",-1.3 
39,Marengo County  6,106,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,328.7 ",0.1 
40,Choctaw County  6,81,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,327.7 ",1.2 
41,Mobile County  6,1925,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.6 ",-1.7 
42,Covington County  6,214,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.6 ",0.1 
43,Madison County  6,1610,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.1 ",-0.3 
44,Houston County  6,518,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,325.4 ",-1.1 
45,Jackson County  6,287,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,322.1 ",0.4 
46,Colbert County  6,298,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,315.2 ",0.7 
47,Blount County  6,289,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,311.1 ",-0.3 
48,Marshall County  6,457,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,310.1 ",-0.6 
49,Fayette County  6,92,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,266.8 ",-0.1 
50,Conecuh County  6,72,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,261.5 ",-0.5 
51,Perry County  6,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,254.5 ",-0.1 
52,Butler County  6,102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,248.8 ",0.5 
53,Cullman County  6,400,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,247.2 ",-0.3 
54,Coffee County  6,232,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,246.3 ",-0.2 
55,Shelby County  6,859,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,246.1 ",-1.0 
56,Franklin County  6,139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,245.2 ",-0.4 
57,Russell County  6,231,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,244.4 ",-0.5 
58,Washington County  6,82,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,235.4 ",-2.1 
59,Lauderdale County  6,464,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,229.7 ",-1.0 
60,Chilton County  6,193,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,226.9 ",-0.6 
61,Randolph County  6,117,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,216.8 ",-3.2 
62,Monroe County  6,107,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,194.2 ",0.3 
63,DeKalb County  6,306,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,174.7 ",-1.5 
64,Winston County  6,124,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,170.2 ",-2.5 
65,Lee County  6,482,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,169.1 ",-0.6 
66,Hale County  6,72,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,161.8 ",-0.2 
67,Cherokee County  6,138,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,146.7 ",-0.8 
68,Coosa County  6,52,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,010.1 ",-1.7 
2,Lowndes County  6,37,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,339.4 ,2.4 
3,Lamar County  6,46,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,304.5 ,2.0 
4,Crenshaw County  6,45,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,298.3 ,3.2 
5,Pickens County  6,61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,282.6 ,1.0 
6,Walker County  6,194,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,277.8 ,0.9 
7,Dallas County  6,117,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,1.3 
8,Conecuh County  6,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,0.6 
9,Sumter County  6,35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,274.0 ,1.7 
10,Chambers County  6,102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,273.8 ,0.7 
11,Wilcox County  6,31,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,273.2 ,-0.2 
12,Macon County  6,54,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,271.4 ,1.4 
13,Greene County  6,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,270.3 ,0.3 
14,Autauga County  6,153,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,269.9 ,1.0 
15,Perry County  6,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,267.4 ,1.8 
16,Clarke County  6,68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.5 ,0.5 
17,Elmore County  6,222,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.2 ,0.7 
18,Lawrence County  6,95,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.3 ,0.0 
19,Tallapoosa County  6,116,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.3 ,0.7 
20,Clay County  6,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,257.9 ,-1.3 
21,Covington County  6,102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.8 ,0.9 
22,St. Clair County  6,237,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.6 ,2.2 
23,Choctaw County  6,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.0 ,1.4 
24,Limestone County  6,253,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,254.5 ,0.9 
25,Talladega County  6,220,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,254.2 ,0.4 
26,Dale County  6,126,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,253.1 ,0.4 
27,Marshall County  6,242,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.1 ,0.5 
28,Marengo County  6,51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.1 ,0.4 
29,Jackson County  6,143,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.5 ,0.9 
30,Butler County  6,52,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.5 ,0.8 
31,Bibb County  6,59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.1 ,0.3 
32,Etowah County  6,276,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,250.3 ,0.3 
33,Calhoun County  6,305,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,249.4 ,0.0 
34,Henry County  6,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,248.9 ,-0.1 
35,Fayette County  6,43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.9 ,1.3 
36,Monroe County  6,57,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.3 ,0.7 
37,Escambia County  6,99,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,244.0 ,0.1 
38,Cleburne County  6,40,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,242.6 ,-3.0 
39,Colbert County  6,143,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,241.8 ,1.1 
40,Morgan County  6,304,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,240.3 ,-0.1 
41,Montgomery County  6,546,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,240.1 ,0.8 
42,Lauderdale County  6,228,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,239.7 ,0.7 
43,Jefferson County  6,1652,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,239.0 ,-0.4 
44,Pike County  6,68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.9 ,0.6 
45,Mobile County  6,1026,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.6 ,-1.4 
46,Randolph County  6,59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.3 ,1.0 
47,Cullman County  6,201,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.1 ,0.5 
48,Geneva County  6,70,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,235.7 ,-0.1 
49,Madison County  6,891,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,234.6 ,0.3 
50,Marion County  6,75,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,233.6 ,-7.7 
51,Winston County  6,59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,230.2 ,-0.3 
52,Tuscaloosa County  6,439,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,227.9 ,-1.7 
53,Hale County  6,38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,227.6 ,0.3 
54,Bullock County  6,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,227.1 ,0.0 
55,Washington County  6,42,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,226.2 ,0.3 
56,Houston County  6,247,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,225.9 ,-0.6 
57,Blount County  6,137,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,225.2 ,0.4 
58,Baldwin County  6,505,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,225.0 ,0.2 
59,Russell County  6,131,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,221.4 ,0.1 
60,Franklin County  6,69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,219.8 ,0.3 
61,Chilton County  6,99,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,214.4 ,-0.8 
62,DeKalb County  6,157,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,213.4 ,-4.6 
63,Barbour County  6,60,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,213.3 ,0.1 
64,Cherokee County  6,63,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,211.8 ,0.1 
65,Coffee County  6,111,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,211.7 ,0.2 
66,Shelby County  6,463,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,209.2 ,-0.6 
67,Coosa County  6,26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,202.0 ,0.1 
68,Lee County  6,269,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,190.0 ,-5.7 
2,Lowndes County  6,44,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,416.0 ",1.8 
3,Bullock County  6,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,297.9 ",1.9 
4,Elmore County  6,253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,192.0 ",0.4 
5,Crenshaw County  6,55,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,169.4 ",2.2 
6,Walker County  6,253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,139.9 ",0.0 
7,Morgan County  6,413,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,118.2 ",-0.7 
8,Chambers County  6,134,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,117.3 ",0.4 
9,Baldwin County  6,810,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,052.1 ",0.1 
10,Autauga County  6,162,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,044.2 ",0.1 
11,Tallapoosa County  6,168,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,041.8 ",0.6 
12,Lawrence County  6,118,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,019.0 ",-0.5 
13,Calhoun County  6,381,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,009.5 ",0.3 
14,Clay County  6,53,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,006.8 ",0.3 
15,Marion County  6,125,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,000.3 ",1.1 
16,St. Clair County  6,273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,991.7 ",-0.5 
17,Macon County  6,70,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,979.2 ",1.3 
18,Geneva County  6,101,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,972.1 ",-0.7 
19,Barbour County  6,92,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,966.4 ",-0.3 
20,Bibb County  6,69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,952.0 ",0.3 
