,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
26,22,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.2,"Lamar County, AL"
27,17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2,"Lamar County, AL"
28,30,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.0,"Bibb County, AL"
29,20,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.3,"Bibb County, AL"
30,37,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.3,"Barbour County, AL"
31,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.7,"Barbour County, AL"
32,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.8,"Lawrence County, AL"
33,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.5,"Lawrence County, AL"
34,65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.0,"Tallapoosa County, AL"
35,47,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.6,"Tallapoosa County, AL"
36,58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,235.0,"Covington County, AL"
37,49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.2,"Covington County, AL"
38,112,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.6,"Talladega County, AL"
39,85,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.6,"Talladega County, AL"
40,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.9,"Crenshaw County, AL"
41,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,179.5,"Crenshaw County, AL"
42,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.4,"Henry County, AL"
43,22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.3,"Henry County, AL"
44,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.9,"Clay County, AL"
45,16,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1,"Clay County, AL"
46,25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1,"Washington County, AL"
47,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.4,"Washington County, AL"
48,143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.3,"Etowah County, AL"
49,115,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.7,"Etowah County, AL"
50,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.6,"Marengo County, AL"
51,26,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3,"Marengo County, AL"
52,110,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.4,"St. Clair County, AL"
53,82,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.4,"St. Clair County, AL"
54,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.6,"Winston County, AL"
55,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.4,"Winston County, AL"
56,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.2,"Geneva County, AL"
57,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.0,"Geneva County, AL"
58,143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.9,"Calhoun County, AL"
59,126,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.2,"Calhoun County, AL"
60,34,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.4,"Clarke County, AL"
61,28,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.8,"Clarke County, AL"
62,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,223.3,"Fayette County, AL"
63,23,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.0,"Fayette County, AL"
64,489,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.3,"Mobile County, AL"
65,402,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.6,"Mobile County, AL"
66,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9,"Monroe County, AL"
67,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.3,"Monroe County, AL"
68,109,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9,"Cullman County, AL"
69,80,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.3,"Cullman County, AL"
70,45,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.8,"Marion County, AL"
71,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.7,"Marion County, AL"
72,137,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.1,"Lee County, AL"
73,112,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.9,"Lee County, AL"
74,117,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.0,"Marshall County, AL"
75,90,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.8,"Marshall County, AL"
76,88,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,215.8,"Elmore County, AL"
77,73,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.2,"Elmore County, AL"
78,705,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.5,"Jefferson County, AL"
79,662,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.0,"Jefferson County, AL"
80,75,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.4,"Colbert County, AL"
81,66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.1,"Colbert County, AL"
82,76,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.7,"Blount County, AL"
83,66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.3,"Blount County, AL"
84,36,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.9,"Franklin County, AL"
85,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0,"Franklin County, AL"
86,123,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.8,"Houston County, AL"
87,97,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,127.6,"Houston County, AL"
88,142,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.3,"Morgan County, AL"
89,121,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.6,"Morgan County, AL"
90,53,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,209.1,"Chilton County, AL"
91,42,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.3,"Chilton County, AL"
92,25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.2,"Butler County, AL"
93,21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.9,"Butler County, AL"
94,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.1,"Randolph County, AL"
95,25,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0,"Randolph County, AL"
96,223,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.2,"Montgomery County, AL"
97,212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.9,"Montgomery County, AL"
98,57,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7,"Dale County, AL"
99,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4,"Dale County, AL"
100,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.7,"Hale County, AL"
101,15,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.4,"Hale County, AL"
102,116,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.5,"Lauderdale County, AL"
103,94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.8,"Lauderdale County, AL"
104,82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,198.4,"DeKalb County, AL"
105,66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.6,"DeKalb County, AL"
106,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.5,"Cherokee County, AL"
107,31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.0,"Cherokee County, AL"
108,19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.8,"Choctaw County, AL"
109,12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.8,"Choctaw County, AL"
110,175,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0,"Tuscaloosa County, AL"
111,153,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.1,"Tuscaloosa County, AL"
112,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.3,"Conecuh County, AL"
113,17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.4,"Conecuh County, AL"
114,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.0,"Coffee County, AL"
115,51,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.6,"Coffee County, AL"
116,56,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.9,"Autauga County, AL"
117,49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.5,"Autauga County, AL"
118,16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.1,"Coosa County, AL"
119,12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.2,"Coosa County, AL"
120,275,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.0,"Baldwin County, AL"
121,211,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.5,"Baldwin County, AL"
122,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,191.1,"Pickens County, AL"
123,18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8,"Pickens County, AL"
124,95,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0,"Limestone County, AL"
125,70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.3,"Limestone County, AL"
126,19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,188.0,"Cleburne County, AL"
127,13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.9,"Cleburne County, AL"
128,337,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,180.9,"Madison County, AL"
129,309,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8,"Madison County, AL"
130,10,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.6,"Greene County, AL"
131,10,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4,"Greene County, AL"
132,169,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.5,"Shelby County, AL"
133,142,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.6,"Shelby County, AL"
134,437,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.2,"Mohave County, AZ"
135,319,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.8,"Mohave County, AZ"
136,170,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.3,"Cochise County, AZ"
137,128,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.4,"Cochise County, AZ"
138,393,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,178.5,"Yavapai County, AZ"
139,305,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.7,"Yavapai County, AZ"
140,82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.7,"Gila County, AZ"
141,64,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.2,"Gila County, AZ"
142,1075,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.4,"Pima County, AZ"
143,885,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.4,"Pima County, AZ"
144,101,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,159.0,"Navajo County, AZ"
145,79,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.5,"Navajo County, AZ"
146,3475,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,156.6,"Maricopa County, AZ"
147,3063,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.3,"Maricopa County, AZ"
148,36,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,152.4,"La Paz County, AZ"
149,25,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.3,"La Paz County, AZ"
150,7,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,150.0,"Greenlee County, AZ"
151,5,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.0,"Greenlee County, AZ"
152,27,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.9,"Graham County, AZ"
153,26,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.2,"Graham County, AZ"
154,38,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,143.9,"Santa Cruz County, AZ"
155,29,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,90.1,"Santa Cruz County, AZ"
156,51,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,140.2,"Apache County, AZ"
157,45,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,103.1,"Apache County, AZ"
158,82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.6,"Coconino County, AZ"
159,84,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.3,"Coconino County, AZ"
160,398,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.0,"Pinal County, AZ"
161,309,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,104.4,"Pinal County, AZ"
162,184,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,136.5,"Yuma County, AZ"
163,133,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,94.3,"Yuma County, AZ"
164,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,312.5,"Chicot County, AR"
165,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0,"Chicot County, AR"
166,45,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.5,"Ouachita County, AR"
167,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.1,"Ouachita County, AR"
168,40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.4,"Poinsett County, AR"
169,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,175.1,"Poinsett County, AR"
170,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,270.5,"Jackson County, AR"
171,20,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.7,"Jackson County, AR"
172,28,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,269.5,"Clay County, AR"
173,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,200.5,"Clay County, AR"
174,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,268.9,"Arkansas County, AR"
175,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,160.3,"Arkansas County, AR"
176,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,267.0,"Cross County, AR"
177,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5,"Cross County, AR"
178,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.2,"Crittenden County, AR"
179,55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,187.8,"Crittenden County, AR"
180,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.8,"Randolph County, AR"
181,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,171.0,"Randolph County, AR"
182,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.5,"Lawrence County, AR"
183,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.9,"Lawrence County, AR"
184,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.6,"Ashley County, AR"
185,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,161.5,"Ashley County, AR"
186,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.4,"Monroe County, AR"
187,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,238.9,"Monroe County, AR"
188,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9,"Mississippi County, AR"
189,44,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.5,"Mississippi County, AR"
190,62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.5,"Greene County, AR"
191,40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.5,"Greene County, AR"
192,10,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.0,"Calhoun County, AR"
193,8,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,215.4,"Calhoun County, AR"
194,28,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.0,"Phillips County, AR"
195,20,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,148.4,"Phillips County, AR"
196,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.1,"Union County, AR"
197,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,181.2,"Union County, AR"
198,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.2,"Nevada County, AR"
199,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.6,"Nevada County, AR"
200,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.8,"Lee County, AR"
201,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3,"Lee County, AR"
202,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.9,"Drew County, AR"
203,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.3,"Drew County, AR"
204,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.9,"Polk County, AR"
205,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.2,"Polk County, AR"
206,80,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.0,"Lonoke County, AR"
207,63,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.1,"Lonoke County, AR"
208,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.3,"Dallas County, AR"
209,10,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,174.7,"Dallas County, AR"
210,95,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,241.9,"Jefferson County, AR"
211,81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.3,"Jefferson County, AR"
212,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,240.7,"Woodruff County, AR"
213,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,167.2,"Woodruff County, AR"
214,14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.7,"Cleveland County, AR"
215,9,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.7,"Cleveland County, AR"
216,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.1,"Montgomery County, AR"
217,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.0,"Montgomery County, AR"
218,17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.6,"Pike County, AR"
219,11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.9,"Pike County, AR"
220,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.4,"Lincoln County, AR"
221,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,156.6,"Lincoln County, AR"
222,26,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1,"Grant County, AR"
223,19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4,"Grant County, AR"
224,17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,231.0,"Scott County, AR"
225,12,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.9,"Scott County, AR"
226,34,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.7,"Sharp County, AR"
227,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,182.7,"Sharp County, AR"
228,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.5,"Howard County, AR"
229,13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.3,"Howard County, AR"
230,30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.3,"Columbia County, AR"
231,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.5,"Columbia County, AR"
232,22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.8,"Madison County, AR"
233,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.2,"Madison County, AR"
234,33,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.4,"Logan County, AR"
235,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.9,"Logan County, AR"
236,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.6,"Conway County, AR"
237,21,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.4,"Conway County, AR"
238,24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,220.9,"Fulton County, AR"
239,18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,166.3,"Fulton County, AR"
240,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.1,"Stone County, AR"
241,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.1,"Stone County, AR"
242,26,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,218.3,"Franklin County, AR"
243,21,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,155.6,"Franklin County, AR"
244,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.3,"Crawford County, AR"
245,62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.1,"Crawford County, AR"
246,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.2,"Miller County, AR"
247,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,177.0,"Miller County, AR"
248,86,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,214.1,"Baxter County, AR"
249,72,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,164.3,"Baxter County, AR"
250,49,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.3,"Cleburne County, AR"
251,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.9,"Cleburne County, AR"
252,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.3,"Johnson County, AR"
253,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,173.7,"Johnson County, AR"
254,89,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.1,"White County, AR"
255,80,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.3,"White County, AR"
256,153,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.0,"Garland County, AR"
257,115,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,131.9,"Garland County, AR"
258,15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.3,"Perry County, AR"
