average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
24,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.5 ,202.5 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,35389,34794,37469,37733,38838
67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.3 ,188.3 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,36289,36976,38561,37823,43089
67,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.5 ,190.5 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,36289,36976,38561,37823,43089
5,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.6 ,169.6 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,36289,36976,38561,37823,43089
38,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.8 ,187.8 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205,42501,41426,48094,46027,48597
38,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.1 ,188.1 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205,42501,41426,48094,46027,48597
11,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.3 ,185.3 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205,42501,41426,48094,46027,48597
40,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.9 ,186.9 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,37085,38403,39394,39254,44212
40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.0 ,188.0 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,37085,38403,39394,39254,44212
7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,274.6 ,274.6 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,37085,38403,39394,39254,44212
148,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,186.1 ,186.1 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,37911,40555,41733,41630,47719
147,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.9 ,186.9 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,37911,40555,41733,41630,47719
49,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.6 ,190.6 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,37911,40555,41733,41630,47719
42,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.9 ,184.9 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,40767,43079,45795,46064,47918
42,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.7 ,186.7 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,40767,43079,45795,46064,47918
8,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.5 ,190.5 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,40767,43079,45795,46064,47918
36,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.6 ,184.6 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,36520,38358,39796,40936,42686
36,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.3 ,186.3 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,36520,38358,39796,40936,42686
4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.9 ,201.9 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,36520,38358,39796,40936,42686
33,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.3 ,184.3 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,38908,38512,39642,39201,40562
32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.0 ,185.0 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,38908,38512,39642,39201,40562
5,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.6 ,191.6 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,38908,38512,39642,39201,40562
139,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.7 ,182.7 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,50487,47213,48253,50412,52902
138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.8 ,186.8 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826,50487,47213,48253,50412,52902
226,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,182.2 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,42145,40972,41791,44903,43047
224,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,182.9 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,42145,40972,41791,44903,43047
32,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.2 ,185.2 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,42145,40972,41791,44903,43047
81,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.0 ,182.0 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,34977,36386,38049,37887,44675
80,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.3 ,182.3 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709,34977,36386,38049,37887,44675
93,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.7 ,181.7 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,36355,35010,39093,40203,44836
92,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.2 ,183.2 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,36355,35010,39093,40203,44836
15,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,286.6 ,286.6 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,36355,35010,39093,40203,44836
224,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.4 ,181.4 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,42091,41778,45937,45400,47747
223,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.1 ,183.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,42091,41778,45937,45400,47747
44,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.1 ,191.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,42091,41778,45937,45400,47747
121,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.1 ,181.1 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,41171,46572,46100,49055,46683
121,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,182.9 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,41171,46572,46100,49055,46683
20,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,175.1 ,175.1 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,41171,46572,46100,49055,46683
180,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.9 ,179.9 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,53558,57856,52755,57284,65403
180,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.2 ,181.2 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,53558,57856,52755,57284,65403
11,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,137.0 ,137.0 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,53558,57856,52755,57284,65403
22,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.2 ,178.2 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,29981,29758,30796,32613,41539
22,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.3 ,179.3 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,29981,29758,30796,32613,41539
14,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,189.1 ,189.1 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,29981,29758,30796,32613,41539
9,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.1 ,177.1 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,31117,32011,33130,33973,33930
8,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.9 ,173.9 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,31117,32011,33130,33973,33930
19,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.1 ,216.1 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726,31117,32011,33130,33973,33930
65,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,176.2 ,176.2 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,38535,37049,41025,39388,44874
64,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.1 ,181.1 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,38535,37049,41025,39388,44874
43,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,175.8 ,175.8 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,34442,35172,40680,37259,41271
43,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.0 ,177.0 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,34442,35172,40680,37259,41271
23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,209.8 ,209.8 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,34442,35172,40680,37259,41271
592,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,173.7 ,173.7 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
589,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.8 ,176.8 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
287,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,191.0 ,191.0 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
7,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,88.9 ,88.9 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
4,*,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,57.6 ,57.6 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
9,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.9 ,172.9 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923,26218,25221,26703,26814,29572
9,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,174.5 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923,26218,25221,26703,26814,29572
13,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,173.5 ,173.5 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923,26218,25221,26703,26814,29572
82,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.7 ,172.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,39051,40169,44469,42205,47100
82,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.1 ,173.1 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,39051,40169,44469,42205,47100
29,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,235.9 ,235.9 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,39051,40169,44469,42205,47100
48,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,172.6 ,172.6 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,37333,40283,41112,40546,42922
48,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.5 ,173.5 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,37333,40283,41112,40546,42922
8,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,160.7 ,160.7 ,"Randolph County, AL",61.0,22594,22504,22687,22727,22722,37333,40283,41112,40546,42922
187,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.7 ,171.7 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,39290,41543,45925,45796,50897
186,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.4 ,173.4 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,39290,41543,45925,45796,50897
202,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.4 ,171.4 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,40599,42117,42751,46233,48913
200,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.6 ,174.6 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,40599,42117,42751,46233,48913
4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,244.4 ,244.4 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,40599,42117,42751,46233,48913
89,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.2 ,171.2 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,45294,40523,42572,45309,45120
87,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.5 ,173.5 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,45294,40523,42572,45309,45120
17,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,187.4 ,187.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,45294,40523,42572,45309,45120
86,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.0 ,171.0 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,42767,44188,46405,47547,49692
86,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,174.5 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,42767,44188,46405,47547,49692
9,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,185.4 ,185.4 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428,42767,44188,46405,47547,49692
236,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.1 ,170.1 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,47234,46843,49274,52797,54355
235,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.4 ,172.4 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,47234,46843,49274,52797,54355
26,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.2 ,202.2 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679,47234,46843,49274,52797,54355
135,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.0 ,170.0 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,53548,54553,59652,60367,62310
134,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.8 ,170.8 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,53548,54553,59652,60367,62310
26,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.5 ,216.5 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,53548,54553,59652,60367,62310
90,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.2 ,169.2 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,46858,48632,51998,55122,57299
90,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.4 ,172.4 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,46858,48632,51998,55122,57299
15,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,150.6 ,150.6 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,46858,48632,51998,55122,57299
67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.3 ,168.3 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,39144,41456,44842,42132,45982
66,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.2 ,167.2 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,39144,41456,44842,42132,45982
186,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.7 ,167.7 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,46442,47749,51372,48937,54160
184,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.9 ,169.9 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,46442,47749,51372,48937,54160
60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,205.0 ,205.0 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,46442,47749,51372,48937,54160
4,*,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,131.0 ,131.0 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,46442,47749,51372,48937,54160
8,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.7 ,167.7 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,25931,26814,26495,27859,29209
8,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.1 ,170.1 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,25931,26814,26495,27859,29209
22,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.2 ,202.2 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,25931,26814,26495,27859,29209
28,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.4 ,167.4 ,"Washington County, AL",32.0,16832,16621,16522,16402,16326,42658,37575,44249,44424,48864
28,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.5 ,168.5 ,"Washington County, AL",32.0,16832,16621,16522,16402,16326,42658,37575,44249,44424,48864
11,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,222.4 ,222.4 ,"Washington County, AL",32.0,16832,16621,16522,16402,16326,42658,37575,44249,44424,48864
33,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.7 ,166.7 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,35163,36639,36432,39556,40005
33,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.8 ,168.8 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,35163,36639,36432,39556,40005
20,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.6 ,181.6 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,35163,36639,36432,39556,40005
21,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.3 ,165.3 ,"Coosa County, AL",52.0,10934,10819,10724,10643,10663,36078,36441,42442,42423,42024
21,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.7 ,167.7 ,"Coosa County, AL",52.0,10934,10819,10724,10643,10663,36078,36441,42442,42423,42024
7,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,157.6 ,157.6 ,"Coosa County, AL",52.0,10934,10819,10724,10643,10663,36078,36441,42442,42423,42024
145,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.2 ,165.2 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,37305,37128,39906,39491,44277
142,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.3 ,167.3 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,37305,37128,39906,39491,44277
817,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.5 ,164.5 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,48415,50109,50731,55013,54127
7,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,80.2 ,80.2 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,48415,50109,50731,55013,54127
809,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.6 ,165.6 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,48415,50109,50731,55013,54127
