Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,179.5,"Crenshaw County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.4,"Henry County, AL"
22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.3,"Henry County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.9,"Clay County, AL"
16,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1,"Clay County, AL"
25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1,"Washington County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.4,"Washington County, AL"
143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.3,"Etowah County, AL"
115,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.7,"Etowah County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.6,"Marengo County, AL"
26,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3,"Marengo County, AL"
110,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.4,"St. Clair County, AL"
82,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.4,"St. Clair County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.6,"Winston County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.4,"Winston County, AL"
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.2,"Geneva County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.0,"Geneva County, AL"
143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.9,"Calhoun County, AL"
126,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.2,"Calhoun County, AL"
34,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.4,"Clarke County, AL"
28,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.8,"Clarke County, AL"
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,223.3,"Fayette County, AL"
23,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.0,"Fayette County, AL"
489,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.3,"Mobile County, AL"
402,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.6,"Mobile County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9,"Monroe County, AL"
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.3,"Monroe County, AL"
109,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9,"Cullman County, AL"
80,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.3,"Cullman County, AL"
45,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.8,"Marion County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.7,"Marion County, AL"
137,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.1,"Lee County, AL"
112,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.9,"Lee County, AL"
117,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.0,"Marshall County, AL"
90,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.8,"Marshall County, AL"
88,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,215.8,"Elmore County, AL"
73,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.2,"Elmore County, AL"
705,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.5,"Jefferson County, AL"
662,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.0,"Jefferson County, AL"
75,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.4,"Colbert County, AL"
66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.1,"Colbert County, AL"
76,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.7,"Blount County, AL"
66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.3,"Blount County, AL"
36,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.9,"Franklin County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0,"Franklin County, AL"
123,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.8,"Houston County, AL"
97,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,127.6,"Houston County, AL"
142,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.3,"Morgan County, AL"
121,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.6,"Morgan County, AL"
53,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,209.1,"Chilton County, AL"
42,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.3,"Chilton County, AL"
25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.2,"Butler County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.9,"Butler County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.1,"Randolph County, AL"
25,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0,"Randolph County, AL"
223,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.2,"Montgomery County, AL"
212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.9,"Montgomery County, AL"
57,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7,"Dale County, AL"
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4,"Dale County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.7,"Hale County, AL"
15,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.4,"Hale County, AL"
116,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.5,"Lauderdale County, AL"
94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.8,"Lauderdale County, AL"
82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,198.4,"DeKalb County, AL"
66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.6,"DeKalb County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.5,"Cherokee County, AL"
31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.0,"Cherokee County, AL"
19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.8,"Choctaw County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.8,"Choctaw County, AL"
175,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0,"Tuscaloosa County, AL"
153,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.1,"Tuscaloosa County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.3,"Conecuh County, AL"
17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.4,"Conecuh County, AL"
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.0,"Coffee County, AL"
51,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.6,"Coffee County, AL"
56,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.9,"Autauga County, AL"
49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.5,"Autauga County, AL"
16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.1,"Coosa County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.2,"Coosa County, AL"
275,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.0,"Baldwin County, AL"
211,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.5,"Baldwin County, AL"
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,191.1,"Pickens County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8,"Pickens County, AL"
95,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0,"Limestone County, AL"
70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.3,"Limestone County, AL"
19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,188.0,"Cleburne County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.9,"Cleburne County, AL"
337,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,180.9,"Madison County, AL"
309,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8,"Madison County, AL"
10,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.6,"Greene County, AL"
10,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4,"Greene County, AL"
169,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.5,"Shelby County, AL"
142,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.6,"Shelby County, AL"
437,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.2,"Mohave County, AZ"
319,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.8,"Mohave County, AZ"
170,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.3,"Cochise County, AZ"
128,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.4,"Cochise County, AZ"
393,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,178.5,"Yavapai County, AZ"
305,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.7,"Yavapai County, AZ"
82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.7,"Gila County, AZ"
64,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.2,"Gila County, AZ"
1075,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.4,"Pima County, AZ"
885,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.4,"Pima County, AZ"
101,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,159.0,"Navajo County, AZ"
79,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.5,"Navajo County, AZ"
3475,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,156.6,"Maricopa County, AZ"
3063,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.3,"Maricopa County, AZ"
36,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,152.4,"La Paz County, AZ"
25,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.3,"La Paz County, AZ"
7,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,150.0,"Greenlee County, AZ"
5,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.0,"Greenlee County, AZ"
27,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.9,"Graham County, AZ"
26,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.2,"Graham County, AZ"
38,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,143.9,"Santa Cruz County, AZ"
29,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,90.1,"Santa Cruz County, AZ"
51,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,140.2,"Apache County, AZ"
45,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,103.1,"Apache County, AZ"
82,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.6,"Coconino County, AZ"
84,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.3,"Coconino County, AZ"
398,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.0,"Pinal County, AZ"
309,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,104.4,"Pinal County, AZ"
184,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,136.5,"Yuma County, AZ"
133,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,94.3,"Yuma County, AZ"
22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,312.5,"Chicot County, AR"
14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0,"Chicot County, AR"
45,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.5,"Ouachita County, AR"
32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.1,"Ouachita County, AR"
40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.4,"Poinsett County, AR"
31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,175.1,"Poinsett County, AR"
27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,270.5,"Jackson County, AR"
20,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.7,"Jackson County, AR"
28,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,269.5,"Clay County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,200.5,"Clay County, AR"
30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,268.9,"Arkansas County, AR"
22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,160.3,"Arkansas County, AR"
27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,267.0,"Cross County, AR"
23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5,"Cross County, AR"
59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.2,"Crittenden County, AR"
55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,187.8,"Crittenden County, AR"
30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.8,"Randolph County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,171.0,"Randolph County, AR"
29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.5,"Lawrence County, AR"
24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.9,"Lawrence County, AR"
36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.6,"Ashley County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,161.5,"Ashley County, AR"
14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.4,"Monroe County, AR"
15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,238.9,"Monroe County, AR"
57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9,"Mississippi County, AR"
44,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.5,"Mississippi County, AR"
62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.5,"Greene County, AR"
40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.5,"Greene County, AR"
10,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.0,"Calhoun County, AR"
8,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,215.4,"Calhoun County, AR"
28,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.0,"Phillips County, AR"
20,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,148.4,"Phillips County, AR"
59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.1,"Union County, AR"
52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,181.2,"Union County, AR"
15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.2,"Nevada County, AR"
11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.6,"Nevada County, AR"
15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.8,"Lee County, AR"
11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3,"Lee County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.9,"Drew County, AR"
18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.3,"Drew County, AR"
38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.9,"Polk County, AR"
27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.2,"Polk County, AR"
80,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.0,"Lonoke County, AR"
63,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.1,"Lonoke County, AR"
13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.3,"Dallas County, AR"
10,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,174.7,"Dallas County, AR"
95,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,241.9,"Jefferson County, AR"
81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.3,"Jefferson County, AR"
11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,240.7,"Woodruff County, AR"
11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,167.2,"Woodruff County, AR"
14,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.7,"Cleveland County, AR"
9,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.7,"Cleveland County, AR"
18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.1,"Montgomery County, AR"
13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.0,"Montgomery County, AR"
17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.6,"Pike County, AR"
11,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.9,"Pike County, AR"
18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.4,"Lincoln County, AR"
13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,156.6,"Lincoln County, AR"
26,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1,"Grant County, AR"
19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4,"Grant County, AR"
17,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,231.0,"Scott County, AR"
12,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.9,"Scott County, AR"
34,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.7,"Sharp County, AR"
29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,182.7,"Sharp County, AR"
18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.5,"Howard County, AR"
13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.3,"Howard County, AR"
30,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.3,"Columbia County, AR"
24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.5,"Columbia County, AR"
22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.8,"Madison County, AR"
18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,159.2,"Madison County, AR"
33,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.4,"Logan County, AR"
23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.9,"Logan County, AR"
31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.6,"Conway County, AR"
21,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.4,"Conway County, AR"
24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,220.9,"Fulton County, AR"
18,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,166.3,"Fulton County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.1,"Stone County, AR"
15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.1,"Stone County, AR"
26,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,218.3,"Franklin County, AR"
21,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,155.6,"Franklin County, AR"
77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.3,"Crawford County, AR"
62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.1,"Crawford County, AR"
52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.2,"Miller County, AR"
52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,177.0,"Miller County, AR"
86,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,214.1,"Baxter County, AR"
72,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,164.3,"Baxter County, AR"
49,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.3,"Cleburne County, AR"
36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.9,"Cleburne County, AR"
32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.3,"Johnson County, AR"
29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,173.7,"Johnson County, AR"
89,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.1,"White County, AR"
80,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.3,"White County, AR"
153,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.0,"Garland County, AR"
115,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,131.9,"Garland County, AR"
15,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.3,"Perry County, AR"
13,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.0,"Perry County, AR"
31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.8,"Marion County, AR"
24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.6,"Marion County, AR"
24,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.2,"Clark County, AR"
22,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.4,"Clark County, AR"
98,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7,"Craighead County, AR"
90,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.7,"Craighead County, AR"
69,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.6,"Pope County, AR"
56,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.7,"Pope County, AR"
51,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.1,"Boone County, AR"
