Average Annual Count,Recent Trend,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",Recent 5-Year Trend in Incidence Rates,County_State
88,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,572.8 ",2.6 ,"Crenshaw County, AL"
45,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,298.3 ,3.2 ,"Crenshaw County, AL"
55,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,169.4 ",2.2 ,"Crenshaw County, AL"
10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,131.4 ,1.2 ,"Lamar County, AL"
91,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,477.3 ",1.1 ,"Lamar County, AL"
46,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,304.5 ,2.0 ,"Lamar County, AL"
56,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,863.7 ",0.2 ,"Lamar County, AL"
12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.7 ,3.7 ,"Fayette County, AL"
92,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,266.8 ",-0.1 ,"Fayette County, AL"
43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.9 ,1.3 ,"Fayette County, AL"
61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,804.6 ",-0.1 ,"Fayette County, AL"
29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.4 ,1.9 ,"Tallapoosa County, AL"
254,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,417.1 ",0.5 ,"Tallapoosa County, AL"
116,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.3 ,0.7 ,"Tallapoosa County, AL"
168,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,041.8 ",0.6 ,"Tallapoosa County, AL"
10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.4 ,0.5 ,"Clay County, AL"
80,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,398.1 ",-0.6 ,"Clay County, AL"
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,257.9 ,-1.3 ,"Clay County, AL"
53,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,006.8 ",0.3 ,"Clay County, AL"
8,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.2 ,3.0 ,"Sumter County, AL"
67,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,378.3 ",1.2 ,"Sumter County, AL"
35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,274.0 ,1.7 ,"Sumter County, AL"
40,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,851.3 ",1.6 ,"Sumter County, AL"
14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.5 ,2.3 ,"Marengo County, AL"
106,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,328.7 ",0.1 ,"Marengo County, AL"
51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.1 ,0.4 ,"Marengo County, AL"
69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,873.2 ",0.7 ,"Marengo County, AL"
26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,126.4 ,3.4 ,"Covington County, AL"
214,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.6 ",0.1 ,"Covington County, AL"
102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.8 ,0.9 ,"Covington County, AL"
139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,842.8 ",-1.2 ,"Covington County, AL"
65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,125.2 ,1.3 ,"Elmore County, AL"
410,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,505.7 ",0.4 ,"Elmore County, AL"
222,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.2 ,0.7 ,"Elmore County, AL"
253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,192.0 ",0.4 ,"Elmore County, AL"
47,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,124.6 ,1.5 ,"Walker County, AL"
399,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,535.6 ",0.4 ,"Walker County, AL"
194,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,277.8 ,0.9 ,"Walker County, AL"
253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,139.9 ",0.0 ,"Walker County, AL"
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,123.7 ,1.5 ,"Chambers County, AL"
212,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,511.1 ",0.4 ,"Chambers County, AL"
102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,273.8 ,0.7 ,"Chambers County, AL"
134,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,117.3 ",0.4 ,"Chambers County, AL"
38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,123.1 ,1.2 ,"Jackson County, AL"
287,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,322.1 ",0.4 ,"Jackson County, AL"
143,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.5 ,0.9 ,"Jackson County, AL"
182,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,847.3 ",0.1 ,"Jackson County, AL"
17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,122.7 ,0.8 ,"Clarke County, AL"
139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,390.2 ",-0.3 ,"Clarke County, AL"
68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,261.5 ,0.5 ,"Clarke County, AL"
89,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,921.3 ",-0.6 ,"Clarke County, AL"
7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.6 ,-2.1 ,"Wilcox County, AL"
62,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,413.3 ",0.2 ,"Wilcox County, AL"
31,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,273.2 ,-0.2 ,"Wilcox County, AL"
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,885.1 ",-0.4 ,"Wilcox County, AL"
67,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.2 ,1.8 ,"St. Clair County, AL"
442,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,404.5 ",-0.3 ,"St. Clair County, AL"
237,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.6 ,2.2 ,"St. Clair County, AL"
273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,991.7 ",-0.5 ,"St. Clair County, AL"
43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,0.0 ,"Autauga County, AL"
273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,475.7 ",0.6 ,"Autauga County, AL"
153,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,269.9 ,1.0 ,"Autauga County, AL"
162,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,044.2 ",0.1 ,"Autauga County, AL"
59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,121.0 ,1.4 ,"Talladega County, AL"
411,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,341.4 ",-1.3 ,"Talladega County, AL"
220,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,254.2 ,0.4 ,"Talladega County, AL"
251,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,857.7 ",-1.4 ,"Talladega County, AL"
58,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.5 ,2.0 ,"Cullman County, AL"
400,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,247.2 ",-0.3 ,"Cullman County, AL"
201,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.1 ,0.5 ,"Cullman County, AL"
258,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,766.3 ",-0.2 ,"Cullman County, AL"
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.6 ,0.4 ,"Lawrence County, AL"
189,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,436.2 ",-0.3 ,"Lawrence County, AL"
95,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.3 ,0.0 ,"Lawrence County, AL"
118,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,019.0 ",-0.5 ,"Lawrence County, AL"
26,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.6 ,2.3 ,"Dallas County, AL"
218,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,430.5 ",0.1 ,"Dallas County, AL"
117,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,1.3 ,"Dallas County, AL"
127,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,889.7 ",-2.5 ,"Dallas County, AL"
73,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.0 ,1.0 ,"Limestone County, AL"
433,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,360.2 ",-0.1 ,"Limestone County, AL"
253,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,254.5 ,0.9 ,"Limestone County, AL"
253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,883.8 ",-0.6 ,"Limestone County, AL"
67,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.5 ,0.8 ,"Marshall County, AL"
457,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,310.1 ",-0.6 ,"Marshall County, AL"
242,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.1 ,0.5 ,"Marshall County, AL"
283,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,797.1 ",-1.1 ,"Marshall County, AL"
7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.4 ,1.9 ,"Bullock County, AL"
54,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,464.6 ",-0.5 ,"Bullock County, AL"
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,227.1 ,0.0 ,"Bullock County, AL"
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,297.9 ",1.9 ,"Bullock County, AL"
14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.4 ,1.5 ,"Monroe County, AL"
107,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,194.2 ",0.3 ,"Monroe County, AL"
57,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.3 ,0.7 ,"Monroe County, AL"
65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,601.1 ",0.1 ,"Monroe County, AL"
13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.9 ,0.5 ,"Butler County, AL"
102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,248.8 ",0.5 ,"Butler County, AL"
52,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.5 ,0.8 ,"Butler County, AL"
63,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,663.9 ",0.2 ,"Butler County, AL"
34,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.4 ,1.8 ,"Dale County, AL"
242,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,364.3 ",-0.3 ,"Dale County, AL"
126,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,253.1 ,0.4 ,"Dale County, AL"
151,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,903.4 ",-0.3 ,"Dale County, AL"
62,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.3 ,1.9 ,"Lauderdale County, AL"
464,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,229.7 ",-1.0 ,"Lauderdale County, AL"
228,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,239.7 ,0.7 ,"Lauderdale County, AL"
298,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,698.1 ",-1.5 ,"Lauderdale County, AL"
17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.9 ,1.9 ,"Bibb County, AL"
112,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,391.4 ",0.0 ,"Bibb County, AL"
59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.1 ,0.3 ,"Bibb County, AL"
69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,952.0 ",0.3 ,"Bibb County, AL"
15,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.5 ,1.3 ,"Winston County, AL"
124,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,170.2 ",-2.5 ,"Winston County, AL"
59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,230.2 ,-0.3 ,"Winston County, AL"
80,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,610.7 ",-1.7 ,"Winston County, AL"
82,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.3 ,1.2 ,"Morgan County, AL"
634,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,434.3 ",-0.7 ,"Morgan County, AL"
304,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,240.3 ,-0.1 ,"Morgan County, AL"
413,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,118.2 ",-0.7 ,"Morgan County, AL"
8,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,114.0 ,1.4 ,"Choctaw County, AL"
81,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,327.7 ",1.2 ,"Choctaw County, AL"
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,255.0 ,1.4 ,"Choctaw County, AL"
51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,781.0 ",0.9 ,"Choctaw County, AL"
7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,112.4 ,2.7 ,"Coosa County, AL"
52,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,010.1 ",-1.7 ,"Coosa County, AL"
26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,202.0 ,0.1 ,"Coosa County, AL"
33,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,444.3 ",-1.8 ,"Coosa County, AL"
242,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.6 ,1.4 ,"Madison County, AL"
1610,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.1 ",-0.3 ,"Madison County, AL"
891,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,234.6 ,0.3 ,"Madison County, AL"
963,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,908.6 ",-0.2 ,"Madison County, AL"
20,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.2 ,-14.8 ,"Marion County, AL"
180,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,367.8 ",0.9 ,"Marion County, AL"
75,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,233.6 ,-7.7 ,"Marion County, AL"
125,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,000.3 ",1.1 ,"Marion County, AL"
35,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,111.1 ,2.0 ,"Colbert County, AL"
298,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,315.2 ",0.7 ,"Colbert County, AL"
143,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,241.8 ,1.1 ,"Colbert County, AL"
190,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,831.4 ",0.7 ,"Colbert County, AL"
75,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,110.9 ,0.6 ,"Calhoun County, AL"
611,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,419.5 ",0.1 ,"Calhoun County, AL"
305,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,249.4 ,0.0 ,"Calhoun County, AL"
381,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,009.5 ",0.3 ,"Calhoun County, AL"
68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,108.9 ,0.5 ,"Etowah County, AL"
565,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,396.2 ",-0.3 ,"Etowah County, AL"
276,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,250.3 ,0.3 ,"Etowah County, AL"
357,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,941.7 ",-4.9 ,"Etowah County, AL"
11,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,108.4 ,-0.3 ,"Henry County, AL"
105,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,378.0 ",-1.1 ,"Henry County, AL"
47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,248.9 ,-0.1 ,"Henry County, AL"
69,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,901.5 ",-1.7 ,"Henry County, AL"
14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,107.3 ,0.6 ,"Randolph County, AL"
117,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,216.8 ",-3.2 ,"Randolph County, AL"
59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.3 ,1.0 ,"Randolph County, AL"
73,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,615.9 ",-4.4 ,"Randolph County, AL"
20,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,105.4 ,1.7 ,"Franklin County, AL"
139,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,245.2 ",-0.4 ,"Franklin County, AL"
69,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,219.8 ,0.3 ,"Franklin County, AL"
91,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,810.7 ",-0.4 ,"Franklin County, AL"
127,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.9 ,0.9 ,"Baldwin County, AL"
1186,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,377.3 ",0.0 ,"Baldwin County, AL"
505,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,225.0 ,0.2 ,"Baldwin County, AL"
810,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,052.1 ",0.1 ,"Baldwin County, AL"
9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.3 ,1.4 ,"Macon County, AL"
114,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,489.8 ",1.3 ,"Macon County, AL"
54,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,271.4 ,1.4 ,"Macon County, AL"
70,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,979.2 ",1.3 ,"Macon County, AL"
416,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,104.1 ,-0.2 ,"Jefferson County, AL"
3100,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,363.1 ",-0.9 ,"Jefferson County, AL"
1652,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,239.0 ,-0.4 ,"Jefferson County, AL"
1869,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,919.7 ",-1.1 ,"Jefferson County, AL"
252,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.9 ,-0.2 ,"Mobile County, AL"
1925,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,326.6 ",-1.7 ,"Mobile County, AL"
1026,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.6 ,-1.4 ,"Mobile County, AL"
1152,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,837.3 ",-2.2 ,"Mobile County, AL"
140,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.8 ,0.4 ,"Montgomery County, AL"
1009,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,363.7 ",0.4 ,"Montgomery County, AL"
546,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,240.1 ,0.8 ,"Montgomery County, AL"
605,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,911.6 ",0.1 ,"Montgomery County, AL"
65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,103.7 ,-0.5 ,"Houston County, AL"
518,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,325.4 ",-1.1 ,"Houston County, AL"
247,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,225.9 ,-0.6 ,"Houston County, AL"
335,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,919.0 ",-1.3 ,"Houston County, AL"
33,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,101.8 ,2.0 ,"Coffee County, AL"
232,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,246.3 ",-0.2 ,"Coffee County, AL"
111,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,211.7 ,0.2 ,"Coffee County, AL"
154,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,840.3 ",0.1 ,"Coffee County, AL"
15,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,100.6 ,-0.8 ,"Geneva County, AL"
155,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,388.5 ",-1.3 ,"Geneva County, AL"
70,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,235.7 ,-0.1 ,"Geneva County, AL"
101,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,972.1 ",-0.7 ,"Geneva County, AL"
