Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
87,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.7 ,"Pike County, AL"
70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.2 ,"Pike County, AL"
127,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,547.6 ,"Dallas County, AL"
117,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 ,"Dallas County, AL"
51,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,544.3 ,"Choctaw County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,372.2 ,"Choctaw County, AL"
358,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,"Calhoun County, AL"
329,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.9 ,"Calhoun County, AL"
155,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,541.1 ,"Tallapoosa County, AL"
128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.0 ,"Tallapoosa County, AL"
65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.3 ,"Henry County, AL"
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.1 ,"Henry County, AL"
113,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,538.6 ,"Lawrence County, AL"
100,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.8 ,"Lawrence County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,532.6 ,"Bullock County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.1 ,"Bullock County, AL"
65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.7 ,"Marengo County, AL"
54,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.1 ,"Marengo County, AL"
593,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,528.6 ,"Montgomery County, AL"
558,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.2 ,"Montgomery County, AL"
1815,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.5 ,"Jefferson County, AL"
1705,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.5 ,"Jefferson County, AL"
254,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.2 ,"Talladega County, AL"
217,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.8 ,"Talladega County, AL"
268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.6 ,"St. Clair County, AL"
243,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.2 ,"St. Clair County, AL"
93,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,524.1 ,"Geneva County, AL"
78,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.2 ,"Geneva County, AL"
326,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,523.3 ,"Etowah County, AL"
307,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.0 ,"Etowah County, AL"
273,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.7 ,"Limestone County, AL"
233,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.3 ,"Limestone County, AL"
119,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,521.5 ,"Escambia County, AL"
96,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.7 ,"Escambia County, AL"
47,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,520.8 ,"Clay County, AL"
43,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,458.3 ,"Clay County, AL"
313,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,518.5 ,"Houston County, AL"
270,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,382.0 ,"Houston County, AL"
493,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 ,"Tuscaloosa County, AL"
433,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.4 ,"Tuscaloosa County, AL"
84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.8 ,"Winston County, AL"
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,326.8 ,"Winston County, AL"
84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.1 ,"Barbour County, AL"
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.0 ,"Barbour County, AL"
177,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,508.7 ,"Colbert County, AL"
156,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.3 ,"Colbert County, AL"
144,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.4 ,"Dale County, AL"
133,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.2 ,"Dale County, AL"
276,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.2 ,"Marshall County, AL"
249,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.7 ,"Marshall County, AL"
106,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.1 ,"Marion County, AL"
94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 ,"Marion County, AL"
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.5 ,"Cleburne County, AL"
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.5 ,"Cleburne County, AL"
704,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.3 ,"Baldwin County, AL"
610,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.2 ,"Baldwin County, AL"
1136,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.3 ,"Mobile County, AL"
1042,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.0 ,"Mobile County, AL"
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.7 ,"Fayette County, AL"
49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,391.5 ,"Fayette County, AL"
122,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,501.0 ,"Covington County, AL"
118,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.4 ,"Covington County, AL"
171,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.6 ,"Jackson County, AL"
154,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.1 ,"Jackson County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.1 ,"Greene County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.6 ,"Greene County, AL"
86,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,490.0 ,"Franklin County, AL"
75,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,377.3 ,"Franklin County, AL"
172,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,483.7 ,"Blount County, AL"
152,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.2 ,"Blount County, AL"
52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.5 ,"Washington County, AL"
40,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,353.4 ,"Washington County, AL"
138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.0 ,"Russell County, AL"
128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 ,"Russell County, AL"
535,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,480.7 ,"Shelby County, AL"
465,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.3 ,"Shelby County, AL"
61,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,479.8 ,"Pickens County, AL"
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,"Pickens County, AL"
58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.7 ,"Butler County, AL"
57,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.3 ,"Butler County, AL"
42,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.1 ,"Conecuh County, AL"
39,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.8 ,"Conecuh County, AL"
238,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.0 ,"Cullman County, AL"
221,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.5 ,"Cullman County, AL"
64,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,470.9 ,"Monroe County, AL"
58,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,379.9 ,"Monroe County, AL"
902,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.8 ,"Madison County, AL"
952,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.1 ,"Madison County, AL"
138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.7 ,"Coffee County, AL"
127,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.7 ,"Coffee County, AL"
268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.1 ,"Lauderdale County, AL"
259,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.4 ,"Lauderdale County, AL"
70,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,467.1 ,"Randolph County, AL"
61,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.4 ,"Randolph County, AL"
118,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,466.8 ,"Chilton County, AL"
101,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,368.3 ,"Chilton County, AL"
44,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,454.8 ,"Hale County, AL"
35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,324.6 ,"Hale County, AL"
304,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,453.8 ,"Lee County, AL"
262,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 ,"Lee County, AL"
84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.2 ,"Cherokee County, AL"
68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,352.5 ,"Cherokee County, AL"
176,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.8 ,"DeKalb County, AL"
173,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.2 ,"DeKalb County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,389.8 ,"Coosa County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 ,"Coosa County, AL"
869,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,447.6 ,"Mohave County, AZ"
696,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.3 ,"Mohave County, AZ"
912,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.3 ,"Yavapai County, AZ"
793,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.3 ,"Yavapai County, AZ"
2663,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,423.4 ,"Pima County, AZ"
2545,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.5 ,"Pima County, AZ"
377,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.4 ,"Cochise County, AZ"
315,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,354.8 ,"Cochise County, AZ"
9131,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,414.4 ,"Maricopa County, AZ"
9272,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,376.7 ,"Maricopa County, AZ"
500,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,399.5 ,"Yuma County, AZ"
421,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.2 ,"Yuma County, AZ"
18,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,385.2 ,"Greenlee County, AZ"
19,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.5 ,"Greenlee County, AZ"
245,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,382.7 ,"Coconino County, AZ"
238,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.1 ,"Coconino County, AZ"
1039,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,375.1 ,"Pinal County, AZ"
888,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,335.9 ,"Pinal County, AZ"
69,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,363.8 ,"Graham County, AZ"
74,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.4 ,"Graham County, AZ"
227,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,359.9 ,"Navajo County, AZ"
209,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,310.9 ,"Navajo County, AZ"
94,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,358.6 ,"Santa Cruz County, AZ"
92,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,308.7 ,"Santa Cruz County, AZ"
157,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,333.3 ,"Gila County, AZ"
145,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,325.9 ,"Gila County, AZ"
76,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,328.7 ,"La Paz County, AZ"
52,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,299.7 ,"La Paz County, AZ"
108,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,287.4 ,"Apache County, AZ"
105,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,260.6 ,"Apache County, AZ"
32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,711.1 ,"Woodruff County, AR"
29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,573.6 ,"Woodruff County, AR"
40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,707.0 ,"Cleveland County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 ,"Cleveland County, AR"
35,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,691.7 ,"Monroe County, AR"
27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.0 ,"Monroe County, AR"
107,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,678.2 ,"Ouachita County, AR"
75,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,414.8 ,"Ouachita County, AR"
68,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,657.4 ,"Lawrence County, AR"
59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,514.5 ,"Lawrence County, AR"
47,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,641.3 ,"Desha County, AR"
34,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.7 ,"Desha County, AR"
261,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,638.5 ,"Jefferson County, AR"
207,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,446.7 ,"Jefferson County, AR"
91,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,636.4 ,"Poinsett County, AR"
81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.3 ,"Poinsett County, AR"
66,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,629.3 ,"Drew County, AR"
51,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,428.1 ,"Drew County, AR"
77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,624.2 ,"Clark County, AR"
56,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.7 ,"Clark County, AR"
68,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,610.3 ,"Randolph County, AR"
61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,486.7 ,"Randolph County, AR"
215,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,609.3 ,"Lonoke County, AR"
187,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,460.8 ,"Lonoke County, AR"
71,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,608.6 ,"Arkansas County, AR"
58,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.6 ,"Arkansas County, AR"
59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,587.1 ,"Clay County, AR"
57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,505.1 ,"Clay County, AR"
42,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,583.6 ,"Chicot County, AR"
31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,375.6 ,"Chicot County, AR"
67,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,580.7 ,"Grant County, AR"
54,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.9 ,"Grant County, AR"
1171,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.3 ,"Pulaski County, AR"
1010,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.0 ,"Pulaski County, AR"
415,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.0 ,"Garland County, AR"
325,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.0 ,"Garland County, AR"
36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.8 ,"Prairie County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,365.9 ,"Prairie County, AR"
142,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.0 ,"Greene County, AR"
116,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.1 ,"Greene County, AR"
81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.3 ,"Van Buren County, AR"
63,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.8 ,"Van Buren County, AR"
79,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.2 ,"Ashley County, AR"
66,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,452.9 ,"Ashley County, AR"
122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,571.0 ,"Cleburne County, AR"
94,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,461.2 ,"Cleburne County, AR"
57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,570.1 ,"Cross County, AR"
55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.0 ,"Cross County, AR"
243,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,569.5 ,"White County, AR"
229,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.7 ,"White County, AR"
309,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.6 ,"Faulkner County, AR"
276,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 ,"Faulkner County, AR"
136,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,566.8 ,"Union County, AR"
120,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.4 ,"Union County, AR"
124,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,565.7 ,"Mississippi County, AR"
109,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.0 ,"Mississippi County, AR"
122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,554.0 ,"Independence County, AR"
108,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.5 ,"Independence County, AR"
29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,553.5 ,"Dallas County, AR"
25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.0 ,"Dallas County, AR"
268,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.4 ,"Craighead County, AR"
267,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,449.1 ,"Craighead County, AR"
387,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.2 ,"Saline County, AR"
333,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.4 ,"Saline County, AR"
56,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.6 ,"Jackson County, AR"
52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.6 ,"Jackson County, AR"
38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.0 ,"Bradley County, AR"
36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.8 ,"Bradley County, AR"
61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,"Phillips County, AR"
52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.5 ,"Phillips County, AR"
39,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.0 ,"Pike County, AR"
31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.7 ,"Pike County, AR"
76,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,536.9 ,"Sharp County, AR"
65,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,480.0 ,"Sharp County, AR"
78,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,531.7 ,"Polk County, AR"
57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.8 ,"Polk County, AR"
38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.1 ,"Perry County, AR"
33,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.5 ,"Perry County, AR"
115,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.0 ,"Hot Spring County, AR"
99,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.5 ,"Hot Spring County, AR"
181,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.9 ,"Pope County, AR"
160,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.0 ,"Pope County, AR"
31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.7 ,"Nevada County, AR"
23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.6 ,"Nevada County, AR"
77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.0 ,"Logan County, AR"
64,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,418.8 ,"Logan County, AR"
202,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,519.1 ,"Baxter County, AR"
169,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.1 ,"Baxter County, AR"
55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,517.6 ,"Stone County, AR"
37,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,363.4 ,"Stone County, AR"
19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,515.0 ,"Calhoun County, AR"
19,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,501.4 ,"Calhoun County, AR"
123,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,512.4 ,"Crittenden County, AR"
119,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,409.2 ,"Crittenden County, AR"
