average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019
77,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.1 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235
77,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.9 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,404.2 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235
98,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,473.9 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686
98,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,484.6 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686
52,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,374.9 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686
25,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,472.0 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373
25,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.3 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373
43,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,477.1 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373
631,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,471.3 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
8,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,262.3 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
623,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,479.4 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
70,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,526.9 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,429.5 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
464,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.5 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
463,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.6 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
36,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.1 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
348,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,469.0 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978
347,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,473.1 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978
113,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,412.0 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978
548,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.6 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
546,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,469.3 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
72,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,425.1 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,555.1 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,309.4 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
225,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.5 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,270.9 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
221,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,471.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,454.7 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,304.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
105,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,462.0 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
104,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,463.4 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
23,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,491.4 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
156,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,458.0 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271
156,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,464.0 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271
13,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,405.0 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271
109,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,457.3 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
108,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
47,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,428.8 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
209,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,456.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
208,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
71,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,567.6 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367
192,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.9 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
190,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,456.1 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
7,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,486.7 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
430,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.0 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,263.6 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
425,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
60,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,441.7 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,328.5 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
7,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,319.3 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
1200,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,453.0 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,188.7 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
1191,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
83,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,438.8 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,172.6 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,289.8 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.0 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
570,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,452.5 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
7,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,234.7 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
564,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.7 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
549,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,447.0 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
13,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,257.4 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
9,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,244.5 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
213,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,451.8 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
212,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,455.2 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
24,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.8 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
169,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,449.9 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961
167,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,460.8 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961
91,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,351.0 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961
48,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,449.8 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067
48,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,454.8 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067
32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,448.4 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067
151,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,448.0 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
151,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,453.4 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,422.0 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
7,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,436.6 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
304,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,447.3 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
302,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,449.5 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.8 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626
76,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,446.6 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930
75,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.0 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930
49,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,509.9 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930
92,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,445.7 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622
92,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,448.6 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622
63,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.7 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622
1430,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,445.6 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
17,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,217.0 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
1413,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.7 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
323,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,399.9 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
3,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,87.3 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
29,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,278.3 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
20,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,222.5 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
2085,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,442.6 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
22,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,213.6 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
2063,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,447.7 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
1351,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,449.8 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
4,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,185.2 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
25,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,288.1 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
32,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,278.2 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
1462,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,442.5 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,115.2 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
1453,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,450.8 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
672,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,443.0 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,113.0 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
18,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,236.1 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,130.0 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
278,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,441.4 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
277,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,444.6 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,432.6 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
500,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,440.8 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,181.4 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
491,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.2 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
9,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,467.2 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.1 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
21,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,440.5 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923
20,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,442.6 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923
31,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,432.4 ,"Perry County, AL",58.0,9640,9532,9302,9070,8923
453,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,439.2 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
451,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,445.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
121,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.4 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,476.6 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
3,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,157.0 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
82,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,433.2 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205
81,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,438.1 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205
32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,525.0 ,"Henry County, AL",60.0,17101,17072,17115,17173,17205
60,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,432.5 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
60,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,433.5 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,449.2 ,"Marengo County, AL",54.0,19766,19525,19396,19056,18863
70,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,428.9 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448
70,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,430.3 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448
42,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,420.6 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448
85,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,428.3 ,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910
84,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.2 ,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910
4,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,539.3 ,"Cleburne County, AL",61.0,14914,14848,14899,15010,14910
647,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,427.1 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,147.8 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
643,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,432.7 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
252,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,453.4 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,210.9 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,166.4 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
88,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,426.0 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302
88,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,425.5 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302
12,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,451.6 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302
311,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,425.6 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826
