Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
72,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,425.1 ,"Etowah County, AL"
3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,555.1 ,"Etowah County, AL"
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,309.4 ,"Etowah County, AL"
225,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,464.5 ,"Dale County, AL"
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,270.9 ,"Dale County, AL"
221,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,471.4 ,"Dale County, AL"
46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,454.7 ,"Dale County, AL"
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,304.4 ,"Dale County, AL"
105,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,462.0 ,"Bibb County, AL"
104,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,463.4 ,"Bibb County, AL"
23,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,491.4 ,"Bibb County, AL"
156,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,458.0 ,"Geneva County, AL"
156,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,464.0 ,"Geneva County, AL"
13,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,405.0 ,"Geneva County, AL"
109,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,457.3 ,"Pike County, AL"
108,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 ,"Pike County, AL"
47,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,428.8 ,"Pike County, AL"
209,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,456.7 ,"Tallapoosa County, AL"
208,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 ,"Tallapoosa County, AL"
71,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,567.6 ,"Tallapoosa County, AL"
192,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.9 ,"Marion County, AL"
190,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,456.1 ,"Marion County, AL"
7,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,486.7 ,"Marion County, AL"
430,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,454.0 ,"Limestone County, AL"
5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,263.6 ,"Limestone County, AL"
425,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 ,"Limestone County, AL"
60,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,441.7 ,"Limestone County, AL"
4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,328.5 ,"Limestone County, AL"
7,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,319.3 ,"Limestone County, AL"
1200,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,453.0 ,"Baldwin County, AL"
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,188.7 ,"Baldwin County, AL"
1191,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.6 ,"Baldwin County, AL"
83,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,438.8 ,"Baldwin County, AL"
5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,172.6 ,"Baldwin County, AL"
5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,289.8 ,"Baldwin County, AL"
11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.0 ,"Baldwin County, AL"
570,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,452.5 ,"Montgomery County, AL"
7,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,234.7 ,"Montgomery County, AL"
564,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.7 ,"Montgomery County, AL"
549,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,447.0 ,"Montgomery County, AL"
13,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,257.4 ,"Montgomery County, AL"
9,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,244.5 ,"Montgomery County, AL"
213,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,451.8 ,"Covington County, AL"
212,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,455.2 ,"Covington County, AL"
24,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.8 ,"Covington County, AL"
169,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,449.9 ,"Russell County, AL"
167,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,460.8 ,"Russell County, AL"
91,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,351.0 ,"Russell County, AL"
48,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,449.8 ,"Conecuh County, AL"
48,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,454.8 ,"Conecuh County, AL"
32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,448.4 ,"Conecuh County, AL"
151,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,448.0 ,"Escambia County, AL"
151,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,453.4 ,"Escambia County, AL"
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,422.0 ,"Escambia County, AL"
7,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,436.6 ,"Escambia County, AL"
304,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,447.3 ,"Jackson County, AL"
302,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,449.5 ,"Jackson County, AL"
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.8 ,"Jackson County, AL"
76,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,446.6 ,"Pickens County, AL"
75,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.0 ,"Pickens County, AL"
49,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,509.9 ,"Pickens County, AL"
92,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,445.7 ,"Clarke County, AL"
92,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,448.6 ,"Clarke County, AL"
63,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.7 ,"Clarke County, AL"
1430,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,445.6 ,"Madison County, AL"
17,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,217.0 ,"Madison County, AL"
1413,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.7 ,"Madison County, AL"
323,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,399.9 ,"Madison County, AL"
3,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,87.3 ,"Madison County, AL"
29,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,278.3 ,"Madison County, AL"
20,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,222.5 ,"Madison County, AL"
2085,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,442.6 ,"Jefferson County, AL"
22,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,213.6 ,"Jefferson County, AL"
2063,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,447.7 ,"Jefferson County, AL"
1351,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,449.8 ,"Jefferson County, AL"
4,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,185.2 ,"Jefferson County, AL"
25,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,288.1 ,"Jefferson County, AL"
32,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,278.2 ,"Jefferson County, AL"
1462,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,442.5 ,"Mobile County, AL"
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,115.2 ,"Mobile County, AL"
1453,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,450.8 ,"Mobile County, AL"
672,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,443.0 ,"Mobile County, AL"
5,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,113.0 ,"Mobile County, AL"
18,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,236.1 ,"Mobile County, AL"
11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,130.0 ,"Mobile County, AL"
278,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,441.4 ,"Colbert County, AL"
277,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,444.6 ,"Colbert County, AL"
50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,432.6 ,"Colbert County, AL"
500,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,440.8 ,"Marshall County, AL"
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,181.4 ,"Marshall County, AL"
491,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.2 ,"Marshall County, AL"
9,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,467.2 ,"Marshall County, AL"
13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.1 ,"Marshall County, AL"
21,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,440.5 ,"Perry County, AL"
20,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,442.6 ,"Perry County, AL"
31,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,432.4 ,"Perry County, AL"
453,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,439.2 ,"Houston County, AL"
451,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,445.1 ,"Houston County, AL"
121,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,442.4 ,"Houston County, AL"
4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,476.6 ,"Houston County, AL"
3,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,157.0 ,"Houston County, AL"
82,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,433.2 ,"Henry County, AL"
81,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,438.1 ,"Henry County, AL"
32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,525.0 ,"Henry County, AL"
60,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,432.5 ,"Marengo County, AL"
60,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,433.5 ,"Marengo County, AL"
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,449.2 ,"Marengo County, AL"
70,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,428.9 ,"Butler County, AL"
70,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,430.3 ,"Butler County, AL"
42,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,420.6 ,"Butler County, AL"
85,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,428.3 ,"Cleburne County, AL"
84,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.2 ,"Cleburne County, AL"
4,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,539.3 ,"Cleburne County, AL"
647,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,427.1 ,"Tuscaloosa County, AL"
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,147.8 ,"Tuscaloosa County, AL"
643,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,432.7 ,"Tuscaloosa County, AL"
252,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,453.4 ,"Tuscaloosa County, AL"
5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,210.9 ,"Tuscaloosa County, AL"
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,166.4 ,"Tuscaloosa County, AL"
88,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,426.0 ,"Fayette County, AL"
88,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,425.5 ,"Fayette County, AL"
12,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,451.6 ,"Fayette County, AL"
311,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,425.6 ,"Blount County, AL"
5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,168.4 ,"Blount County, AL"
307,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,434.8 ,"Blount County, AL"
4,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,356.1 ,"Blount County, AL"
6,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,188.2 ,"Blount County, AL"
152,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,424.8 ,"Franklin County, AL"
3,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,181.8 ,"Franklin County, AL"
149,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,443.7 ,"Franklin County, AL"
5,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,269.0 ,"Franklin County, AL"
4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,173.3 ,"Franklin County, AL"
442,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,424.2 ,"Cullman County, AL"
440,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.7 ,"Cullman County, AL"
219,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,424.1 ,"Coffee County, AL"
5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,338.8 ,"Coffee County, AL"
215,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.1 ,"Coffee County, AL"
40,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,408.3 ,"Coffee County, AL"
6,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,382.8 ,"Coffee County, AL"
66,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,424.1 ,"Washington County, AL"
66,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,428.3 ,"Washington County, AL"
24,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,458.4 ,"Washington County, AL"
473,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,417.1 ,"Lauderdale County, AL"
472,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,420.7 ,"Lauderdale County, AL"
46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,466.2 ,"Lauderdale County, AL"
17,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,414.2 ,"Bullock County, AL"
17,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,422.0 ,"Bullock County, AL"
43,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,521.3 ,"Bullock County, AL"
109,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,411.1 ,"Randolph County, AL"
108,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,414.5 ,"Randolph County, AL"
20,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,396.7 ,"Randolph County, AL"
881,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,410.6 ,"Shelby County, AL"
16,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,298.2 ,"Shelby County, AL"
865,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,414.3 ,"Shelby County, AL"
89,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,443.1 ,"Shelby County, AL"
9,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,223.4 ,"Shelby County, AL"
19,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,314.6 ,"Shelby County, AL"
49,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,410.3 ,"Choctaw County, AL"
49,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,413.2 ,"Choctaw County, AL"
39,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,497.5 ,"Choctaw County, AL"
137,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,406.4 ,"Winston County, AL"
137,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,411.4 ,"Winston County, AL"
197,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,403.8 ,"Chilton County, AL"
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,498.4 ,"Chilton County, AL"
193,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,407.5 ,"Chilton County, AL"
19,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,417.8 ,"Chilton County, AL"
4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,487.1 ,"Chilton County, AL"
73,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,395.4 ,"Monroe County, AL"
72,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,395.7 ,"Monroe County, AL"
46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,437.9 ,"Monroe County, AL"
332,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,390.6 ,"DeKalb County, AL"
9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,258.8 ,"DeKalb County, AL"
323,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,396.6 ,"DeKalb County, AL"
5,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,387.7 ,"DeKalb County, AL"
11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,331.1 ,"DeKalb County, AL"
144,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,382.9 ,"Cherokee County, AL"
144,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,383.4 ,"Cherokee County, AL"
6,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,354.4 ,"Cherokee County, AL"
413,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,373.5 ,"Lee County, AL"
411,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,379.2 ,"Lee County, AL"
132,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,412.9 ,"Lee County, AL"
13,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,392.7 ,"Lee County, AL"
4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,139.2 ,"Lee County, AL"
35,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,363.5 ,"Hale County, AL"
35,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,365.6 ,"Hale County, AL"
41,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,384.1 ,"Hale County, AL"
