Average Annual Count,Primary_State_Name,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
107,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.9 ,"Tallapoosa County, AL"
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,"Tallapoosa County, AL"
79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,987.7 ,"Tallapoosa County, AL"
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.7 ,"Bibb County, AL"
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.2 ,"Bibb County, AL"
16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.4 ,"Bibb County, AL"
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.3 ,"Bibb County, AL"
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.6 ,"Franklin County, AL"
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.7 ,"Franklin County, AL"
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.3 ,"Franklin County, AL"
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,944.1 ,"Franklin County, AL"
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.9 ,"Pike County, AL"
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,"Pike County, AL"
24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.8 ,"Pike County, AL"
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,899.4 ,"Pike County, AL"
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,"Chambers County, AL"
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,620.1 ,"Chambers County, AL"
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Chambers County, AL"
64,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,031.8 ","Chambers County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.4 ,"Walker County, AL"
183,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,719.4 ,"Walker County, AL"
59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.5 ,"Walker County, AL"
133,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,159.0 ","Walker County, AL"
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 ,"Covington County, AL"
103,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.2 ,"Covington County, AL"
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.0 ,"Covington County, AL"
74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.3 ,"Covington County, AL"
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.9 ,"Cherokee County, AL"
66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.4 ,"Cherokee County, AL"
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.2 ,"Cherokee County, AL"
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,883.1 ,"Cherokee County, AL"
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 ,"Colbert County, AL"
134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.2 ,"Colbert County, AL"
45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.9 ,"Colbert County, AL"
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.7 ,"Colbert County, AL"
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.6 ,"Lawrence County, AL"
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.5 ,"Lawrence County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.1 ,"Lawrence County, AL"
55,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,951.6 ,"Lawrence County, AL"
10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Cullman County, AL"
178,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.8 ,"Cullman County, AL"
58,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.5 ,"Cullman County, AL"
131,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,910.9 ,"Cullman County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Marshall County, AL"
195,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.3 ,"Marshall County, AL"
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.5 ,"Marshall County, AL"
143,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,919.1 ,"Marshall County, AL"
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Mobile County, AL"
842,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.5 ,"Mobile County, AL"
313,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.1 ,"Mobile County, AL"
578,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.3 ,"Mobile County, AL"
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.3 ,"Elmore County, AL"
150,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.5 ,"Elmore County, AL"
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.7 ,"Elmore County, AL"
112,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,001.0 ","Elmore County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.1 ,"Houston County, AL"
208,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,533.1 ,"Houston County, AL"
67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 ,"Houston County, AL"
153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,876.1 ,"Houston County, AL"
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Morgan County, AL"
249,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,567.1 ,"Morgan County, AL"
79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Morgan County, AL"
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,948.0 ,"Morgan County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Etowah County, AL"
245,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 ,"Etowah County, AL"
77,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 ,"Etowah County, AL"
180,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,980.3 ,"Etowah County, AL"
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 ,"Marion County, AL"
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 ,"Marion County, AL"
22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Marion County, AL"
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 ,"Marion County, AL"
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Montgomery County, AL"
410,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.6 ,"Montgomery County, AL"
138,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.6 ,"Montgomery County, AL"
298,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,935.4 ,"Montgomery County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Calhoun County, AL"
256,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,603.1 ,"Calhoun County, AL"
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.0 ,"Calhoun County, AL"
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.9 ,"Calhoun County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Talladega County, AL"
188,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,619.6 ,"Talladega County, AL"
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Talladega County, AL"
135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,006.5 ","Talladega County, AL"
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.7 ,"St. Clair County, AL"
181,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,592.4 ,"St. Clair County, AL"
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.3 ,"St. Clair County, AL"
130,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,978.9 ,"St. Clair County, AL"
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.6 ,"Chilton County, AL"
90,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,574.5 ,"Chilton County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 ,"Chilton County, AL"
66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,953.9 ,"Chilton County, AL"
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.4 ,"Autauga County, AL"
99,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,536.1 ,"Autauga County, AL"
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,"Autauga County, AL"
72,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,889.0 ,"Autauga County, AL"
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.3 ,"Escambia County, AL"
91,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.1 ,"Escambia County, AL"
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.1 ,"Escambia County, AL"
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.4 ,"Escambia County, AL"
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.6 ,"Russell County, AL"
123,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.3 ,"Russell County, AL"
44,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.3 ,"Russell County, AL"
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.9 ","Russell County, AL"
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.4 ,"Blount County, AL"
135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,613.6 ,"Blount County, AL"
42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.8 ,"Blount County, AL"
100,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,000.5 ","Blount County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.3 ,"Lauderdale County, AL"
201,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.0 ,"Lauderdale County, AL"
57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.4 ,"Lauderdale County, AL"
153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.0 ,"Lauderdale County, AL"
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"Coffee County, AL"
101,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.6 ,"Coffee County, AL"
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 ,"Coffee County, AL"
74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,895.5 ,"Coffee County, AL"
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"DeKalb County, AL"
140,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.5 ,"DeKalb County, AL"
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.7 ,"DeKalb County, AL"
105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,906.0 ,"DeKalb County, AL"
16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.1 ,"Lee County, AL"
233,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.6 ,"Lee County, AL"
81,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.9 ,"Lee County, AL"
169,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,003.8 ","Lee County, AL"
68,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.9 ,"Jefferson County, AL"
1299,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.7 ,"Jefferson County, AL"
428,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Jefferson County, AL"
939,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,952.9 ,"Jefferson County, AL"
38,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.8 ,"Madison County, AL"
608,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,509.2 ,"Madison County, AL"
198,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 ,"Madison County, AL"
447,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.3 ,"Madison County, AL"
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.4 ,"Baldwin County, AL"
466,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,532.2 ,"Baldwin County, AL"
128,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.9 ,"Baldwin County, AL"
358,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,900.1 ,"Baldwin County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.3 ,"Tuscaloosa County, AL"
310,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,525.5 ,"Tuscaloosa County, AL"
105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,52.4 ,"Tuscaloosa County, AL"
223,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,873.8 ,"Tuscaloosa County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.7 ,"Limestone County, AL"
156,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,495.9 ,"Limestone County, AL"
57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,51.2 ,"Limestone County, AL"
109,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,808.9 ,"Limestone County, AL"
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,11.3 ,"Dale County, AL"
104,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,590.6 ,"Dale County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.9 ,"Dale County, AL"
75,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.3 ,"Dale County, AL"
15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,10.6 ,"Shelby County, AL"
296,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,436.4 ,"Shelby County, AL"
93,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,38.6 ,"Shelby County, AL"
218,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,748.0 ,"Shelby County, AL"
25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,699.1 ,"Bullock County, AL"
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,43.2 ,"Bullock County, AL"
22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,338.4 ","Bullock County, AL"
30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,688.1 ,"Wilcox County, AL"
10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.3 ,"Wilcox County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,064.5 ","Wilcox County, AL"
51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.9 ,"Macon County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,88.6 ,"Macon County, AL"
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,018.3 ","Macon County, AL"
37,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.1 ,"Crenshaw County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.2 ,"Crenshaw County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,077.9 ","Crenshaw County, AL"
45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,641.0 ,"Fayette County, AL"
15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.4 ,"Fayette County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,984.1 ,"Fayette County, AL"
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,634.1 ,"Lowndes County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,86.9 ,"Lowndes County, AL"
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,002.7 ","Lowndes County, AL"
39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.1 ,"Lamar County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.4 ,"Lamar County, AL"
28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,936.3 ,"Lamar County, AL"
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.0 ,"Barbour County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.9 ,"Barbour County, AL"
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,955.4 ,"Barbour County, AL"
70,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,625.8 ,"Geneva County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Geneva County, AL"
52,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,017.6 ","Geneva County, AL"
36,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,617.0 ,"Clay County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.3 ,"Clay County, AL"
25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,929.7 ,"Clay County, AL"
40,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,609.5 ,"Washington County, AL"
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,71.7 ,"Washington County, AL"
28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,967.0 ,"Washington County, AL"
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,599.5 ,"Henry County, AL"
17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,82.6 ,"Henry County, AL"
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,898.3 ,"Henry County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,597.5 ,"Sumter County, AL"
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.2 ,"Sumter County, AL"
19,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,907.8 ,"Sumter County, AL"
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.9 ,"Conecuh County, AL"
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.4 ,"Conecuh County, AL"
24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,909.9 ,"Conecuh County, AL"
59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,587.9 ,"Clarke County, AL"
17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.1 ,"Clarke County, AL"
45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.4 ,"Clarke County, AL"
51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,558.1 ,"Monroe County, AL"
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,"Monroe County, AL"
40,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,974.1 ,"Monroe County, AL"
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,548.0 ,"Perry County, AL"
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.5 ,"Perry County, AL"
15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,837.5 ,"Perry County, AL"
56,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.6 ,"Winston County, AL"
17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,"Winston County, AL"
42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,853.3 ,"Winston County, AL"
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,521.6 ,"Butler County, AL"
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.6 ,"Butler County, AL"
32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,838.5 ,"Butler County, AL"
27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.8 ,"Coosa County, AL"
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.7 ,"Coosa County, AL"
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,850.8 ,"Coosa County, AL"
31,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.0 ,"Hale County, AL"
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,"Hale County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,778.6 ,"Hale County, AL"
31,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,500.0 ,"Cleburne County, AL"
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.8 ,"Cleburne County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,736.0 ,"Cleburne County, AL"
19,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,498.7 ,"Greene County, AL"
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,"Greene County, AL"
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,788.7 ,"Greene County, AL"
41,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,496.5 ,"Pickens County, AL"
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.3 ,"Pickens County, AL"
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,797.7 ,"Pickens County, AL"
30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,492.9 ,"Choctaw County, AL"
10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.6 ,"Choctaw County, AL"
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,750.7 ,"Choctaw County, AL"
23,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,"Mohave County, AZ"
733,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,"Mohave County, AZ"
169,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.2 ,"Mohave County, AZ"
587,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,989.7 ,"Mohave County, AZ"
5,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.8 ,"Gila County, AZ"
140,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,464.7 ,"Gila County, AZ"
30,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.8 ,"Gila County, AZ"
115,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,795.7 ,"Gila County, AZ"
17,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.5 ,"Yavapai County, AZ"
681,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,502.4 ,"Yavapai County, AZ"
139,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 ,"Yavapai County, AZ"
559,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,860.9 ,"Yavapai County, AZ"
