average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.2 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.4 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.3 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,25.6 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.7 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.3 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362
47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,944.1 ,"Franklin County, AL",59.0,31515,31611,31542,31298,31362
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,24.9 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.8 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,899.4 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,620.1 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Chambers County, AL",59.5,33996,33745,33707,33600,33254
64,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,031.8 ","Chambers County, AL",59.5,33996,33745,33707,33600,33254
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.4 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521
183,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,719.4 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521
59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.5 ,"Walker County, AL",61.0,64931,64533,63895,63669,63521
133,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,159.0 ","Walker County, AL",61.0,64931,64533,63895,63669,63521
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,22.3 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
103,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.2 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.0 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.3 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.9 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196
66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.4 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.2 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,883.1 ,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,21.5 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
134,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.2 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.9 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
96,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.7 ,"Colbert County, AL",57.0,54417,54497,54695,55004,55241
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.6 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.5 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.1 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
55,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,951.6 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924
10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768
178,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.8 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768
58,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.5 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768
131,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,910.9 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
195,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.3 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.5 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
143,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,919.1 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.4 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
842,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.5 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
313,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.1 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
578,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,928.3 ,"Mobile County, AL",57.0,414462,414945,414045,413908,413210
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.3 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
150,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.5 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
49,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.7 ,"Elmore County, AL",48.0,80872,81204,81422,81011,81209
112,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,001.0 ","Elmore County, AL",48.0,80872,81204,81422,81011,81209
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,20.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
208,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,533.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
67,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,876.1 ,"Houston County, AL",57.0,104260,104218,104378,104770,105882
14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
249,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,567.1 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
79,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,948.0 ,"Morgan County, AL",59.0,119257,119006,118918,119203,119679
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.7 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
245,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
77,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
180,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,980.3 ,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268
3,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,19.5 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
80,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 ,"Marion County, AL",50.0,30119,29960,29792,29750,29709
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
410,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.6 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
138,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.6 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
298,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,935.4 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486
13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
256,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,603.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.0 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
184,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,976.9 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.8 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978
188,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,619.6 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978
63,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978
135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,006.5 ","Talladega County, AL",45.0,81128,80552,80142,80137,79978
11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.7 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
181,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,592.4 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.3 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
130,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,978.9 ,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.6 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428
90,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,574.5 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428
29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428
66,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,953.9 ,"Chilton County, AL",57.0,43700,43866,44120,44163,44428
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.4 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
99,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,536.1 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
72,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,889.0 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,18.3 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
91,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.1 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.1 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.4 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.6 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961
123,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.3 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961
44,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.3 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961
85,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.9 ","Russell County, AL",46.0,58844,58185,56985,57784,57961
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.4 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826
135,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,613.6 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826
42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.8 ,"Blount County, AL",56.0,57526,57494,57787,57771,57826
100,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,000.5 ","Blount County, AL",56.0,57526,57494,57787,57771,57826
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.3 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729
201,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.0 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729
57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.4 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729
153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.0 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342
101,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.6 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342
74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,895.5 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513
140,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.5 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.7 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513
105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,906.0 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513
16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.1 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542
233,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.6 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542
81,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.9 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542
169,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,003.8 ","Lee County, AL",55.0,156954,159168,161440,163656,164542
68,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.9 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
1299,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.7 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
428,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
939,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,952.9 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573
38,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.8 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
608,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,509.2 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
198,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
447,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.3 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909
20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.4 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
466,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,532.2 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
128,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.9 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
358,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,900.1 ,"Baldwin County, AL",,202939,207601,212521,217855,223234
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.3 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
310,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,525.5 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,52.4 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
223,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,873.8 ,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.7 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
156,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,495.9 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,51.2 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
109,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,808.9 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915
4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,11.3 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
104,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,590.6 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.9 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
75,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.3 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172
15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,10.6 ,"Shelby County, AL",49.0,208959,211282,213633,215583,217702
296,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,436.4 ,"Shelby County, AL",49.0,208959,211282,213633,215583,217702
93,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,38.6 ,"Shelby County, AL",49.0,208959,211282,213633,215583,217702
218,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,748.0 ,"Shelby County, AL",49.0,208959,211282,213633,215583,217702
25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,699.1 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101
5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,43.2 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101
22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,338.4 ","Bullock County, AL",61.0,10400,10389,10176,10174,10101
30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,688.1 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373
10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.3 ,"Wilcox County, AL",51.0,10896,10844,10691,10599,10373
21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,064.5 ","Wilcox County, AL",51.0,10896,10844,10691,10599,10373
51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.9 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,88.6 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068
35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,018.3 ","Macon County, AL",28.0,19296,19060,18793,18321,18068
37,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.1 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.2 ,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772
27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,077.9 ","Crenshaw County, AL",58.0,13850,13916,13858,13825,13772
45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,641.0 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302
15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.4 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302
32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,984.1 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302
26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,634.1 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726
9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,86.9 ,"Lowndes County, AL",54.0,10350,10248,10097,9974,9726
18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,002.7 ","Lowndes County, AL",54.0,10350,10248,10097,9974,9726
39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.1 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805
12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.4 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805
28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,936.3 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805
62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.0 ,"Barbour County, AL",61.0,26283,25806,25157,24872,24686
