,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",County_State
64,313,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,518.5 ,"Houston County, AL"
65,270,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,382.0 ,"Houston County, AL"
66,493,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 ,"Tuscaloosa County, AL"
67,433,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.4 ,"Tuscaloosa County, AL"
68,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.8 ,"Winston County, AL"
69,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,326.8 ,"Winston County, AL"
70,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.1 ,"Barbour County, AL"
71,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.0 ,"Barbour County, AL"
72,177,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,508.7 ,"Colbert County, AL"
73,156,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.3 ,"Colbert County, AL"
74,144,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.4 ,"Dale County, AL"
75,133,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.2 ,"Dale County, AL"
76,276,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.2 ,"Marshall County, AL"
77,249,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.7 ,"Marshall County, AL"
78,106,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.1 ,"Marion County, AL"
79,94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 ,"Marion County, AL"
80,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.5 ,"Cleburne County, AL"
81,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.5 ,"Cleburne County, AL"
82,704,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.3 ,"Baldwin County, AL"
83,610,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.2 ,"Baldwin County, AL"
84,1136,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.3 ,"Mobile County, AL"
85,1042,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.0 ,"Mobile County, AL"
86,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.7 ,"Fayette County, AL"
87,49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,391.5 ,"Fayette County, AL"
88,122,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,501.0 ,"Covington County, AL"
89,118,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.4 ,"Covington County, AL"
90,171,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.6 ,"Jackson County, AL"
91,154,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.1 ,"Jackson County, AL"
92,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.1 ,"Greene County, AL"
93,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.6 ,"Greene County, AL"
94,86,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,490.0 ,"Franklin County, AL"
95,75,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,377.3 ,"Franklin County, AL"
96,172,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,483.7 ,"Blount County, AL"
97,152,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.2 ,"Blount County, AL"
98,52,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.5 ,"Washington County, AL"
99,40,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,353.4 ,"Washington County, AL"
100,138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.0 ,"Russell County, AL"
101,128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 ,"Russell County, AL"
102,535,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,480.7 ,"Shelby County, AL"
103,465,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.3 ,"Shelby County, AL"
104,61,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,479.8 ,"Pickens County, AL"
105,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,"Pickens County, AL"
106,58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.7 ,"Butler County, AL"
107,57,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.3 ,"Butler County, AL"
108,42,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.1 ,"Conecuh County, AL"
109,39,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.8 ,"Conecuh County, AL"
110,238,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.0 ,"Cullman County, AL"
111,221,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.5 ,"Cullman County, AL"
112,64,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,470.9 ,"Monroe County, AL"
113,58,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,379.9 ,"Monroe County, AL"
114,902,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.8 ,"Madison County, AL"
115,952,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.1 ,"Madison County, AL"
116,138,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.7 ,"Coffee County, AL"
117,127,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.7 ,"Coffee County, AL"
118,268,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.1 ,"Lauderdale County, AL"
119,259,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.4 ,"Lauderdale County, AL"
120,70,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,467.1 ,"Randolph County, AL"
121,61,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.4 ,"Randolph County, AL"
122,118,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,466.8 ,"Chilton County, AL"
123,101,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,368.3 ,"Chilton County, AL"
124,44,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,454.8 ,"Hale County, AL"
125,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,324.6 ,"Hale County, AL"
126,304,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,453.8 ,"Lee County, AL"
127,262,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 ,"Lee County, AL"
128,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.2 ,"Cherokee County, AL"
129,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,352.5 ,"Cherokee County, AL"
130,176,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.8 ,"DeKalb County, AL"
131,173,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.2 ,"DeKalb County, AL"
132,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,389.8 ,"Coosa County, AL"
133,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 ,"Coosa County, AL"
134,869,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,447.6 ,"Mohave County, AZ"
135,696,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.3 ,"Mohave County, AZ"
136,912,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.3 ,"Yavapai County, AZ"
137,793,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.3 ,"Yavapai County, AZ"
138,2663,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,423.4 ,"Pima County, AZ"
139,2545,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.5 ,"Pima County, AZ"
140,377,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.4 ,"Cochise County, AZ"
141,315,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,354.8 ,"Cochise County, AZ"
142,9131,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,414.4 ,"Maricopa County, AZ"
143,9272,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,376.7 ,"Maricopa County, AZ"
144,500,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,399.5 ,"Yuma County, AZ"
145,421,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.2 ,"Yuma County, AZ"
146,18,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,385.2 ,"Greenlee County, AZ"
147,19,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.5 ,"Greenlee County, AZ"
148,245,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,382.7 ,"Coconino County, AZ"
149,238,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.1 ,"Coconino County, AZ"
150,1039,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,375.1 ,"Pinal County, AZ"
151,888,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,335.9 ,"Pinal County, AZ"
152,69,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,363.8 ,"Graham County, AZ"
153,74,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.4 ,"Graham County, AZ"
154,227,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,359.9 ,"Navajo County, AZ"
155,209,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,310.9 ,"Navajo County, AZ"
156,94,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,358.6 ,"Santa Cruz County, AZ"
157,92,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,308.7 ,"Santa Cruz County, AZ"
158,157,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,333.3 ,"Gila County, AZ"
159,145,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,325.9 ,"Gila County, AZ"
160,76,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,328.7 ,"La Paz County, AZ"
161,52,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,299.7 ,"La Paz County, AZ"
162,108,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,287.4 ,"Apache County, AZ"
163,105,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,260.6 ,"Apache County, AZ"
164,32,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,711.1 ,"Woodruff County, AR"
165,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,573.6 ,"Woodruff County, AR"
166,40,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,707.0 ,"Cleveland County, AR"
167,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 ,"Cleveland County, AR"
168,35,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,691.7 ,"Monroe County, AR"
169,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.0 ,"Monroe County, AR"
170,107,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,678.2 ,"Ouachita County, AR"
171,75,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,414.8 ,"Ouachita County, AR"
172,68,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,657.4 ,"Lawrence County, AR"
173,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,514.5 ,"Lawrence County, AR"
174,47,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,641.3 ,"Desha County, AR"
175,34,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.7 ,"Desha County, AR"
176,261,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,638.5 ,"Jefferson County, AR"
177,207,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,446.7 ,"Jefferson County, AR"
178,91,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,636.4 ,"Poinsett County, AR"
179,81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.3 ,"Poinsett County, AR"
180,66,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,629.3 ,"Drew County, AR"
181,51,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,428.1 ,"Drew County, AR"
182,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,624.2 ,"Clark County, AR"
183,56,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.7 ,"Clark County, AR"
184,68,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,610.3 ,"Randolph County, AR"
185,61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,486.7 ,"Randolph County, AR"
186,215,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,609.3 ,"Lonoke County, AR"
187,187,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,460.8 ,"Lonoke County, AR"
188,71,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,608.6 ,"Arkansas County, AR"
189,58,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.6 ,"Arkansas County, AR"
190,59,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,587.1 ,"Clay County, AR"
191,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,505.1 ,"Clay County, AR"
192,42,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,583.6 ,"Chicot County, AR"
193,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,375.6 ,"Chicot County, AR"
194,67,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,580.7 ,"Grant County, AR"
195,54,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.9 ,"Grant County, AR"
196,1171,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.3 ,"Pulaski County, AR"
197,1010,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.0 ,"Pulaski County, AR"
198,415,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.0 ,"Garland County, AR"
199,325,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.0 ,"Garland County, AR"
200,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.8 ,"Prairie County, AR"
201,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,365.9 ,"Prairie County, AR"
202,142,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.0 ,"Greene County, AR"
203,116,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,422.1 ,"Greene County, AR"
204,81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.3 ,"Van Buren County, AR"
205,63,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.8 ,"Van Buren County, AR"
206,79,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.2 ,"Ashley County, AR"
207,66,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,452.9 ,"Ashley County, AR"
208,122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,571.0 ,"Cleburne County, AR"
209,94,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,461.2 ,"Cleburne County, AR"
210,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,570.1 ,"Cross County, AR"
211,55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,487.0 ,"Cross County, AR"
212,243,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,569.5 ,"White County, AR"
213,229,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.7 ,"White County, AR"
214,309,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.6 ,"Faulkner County, AR"
215,276,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 ,"Faulkner County, AR"
216,136,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,566.8 ,"Union County, AR"
217,120,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.4 ,"Union County, AR"
218,124,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,565.7 ,"Mississippi County, AR"
219,109,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.0 ,"Mississippi County, AR"
220,122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,554.0 ,"Independence County, AR"
221,108,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.5 ,"Independence County, AR"
222,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,553.5 ,"Dallas County, AR"
223,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.0 ,"Dallas County, AR"
224,268,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.4 ,"Craighead County, AR"
225,267,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,449.1 ,"Craighead County, AR"
226,387,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.2 ,"Saline County, AR"
227,333,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.4 ,"Saline County, AR"
228,56,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.6 ,"Jackson County, AR"
229,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.6 ,"Jackson County, AR"
230,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.0 ,"Bradley County, AR"
231,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.8 ,"Bradley County, AR"
232,61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,"Phillips County, AR"
233,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.5 ,"Phillips County, AR"
234,39,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.0 ,"Pike County, AR"
235,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.7 ,"Pike County, AR"
236,76,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,536.9 ,"Sharp County, AR"
237,65,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,480.0 ,"Sharp County, AR"
238,78,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,531.7 ,"Polk County, AR"
239,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.8 ,"Polk County, AR"
240,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.1 ,"Perry County, AR"
241,33,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.5 ,"Perry County, AR"
242,115,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.0 ,"Hot Spring County, AR"
243,99,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.5 ,"Hot Spring County, AR"
244,181,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.9 ,"Pope County, AR"
245,160,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.0 ,"Pope County, AR"
246,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.7 ,"Nevada County, AR"
247,23,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.6 ,"Nevada County, AR"
248,77,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.0 ,"Logan County, AR"
