,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",County_State
122,42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.8 ,"Blount County, AL"
123,100,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,000.5 ","Blount County, AL"
124,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.3 ,"Lauderdale County, AL"
125,201,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.0 ,"Lauderdale County, AL"
126,57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.4 ,"Lauderdale County, AL"
127,153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.0 ,"Lauderdale County, AL"
128,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"Coffee County, AL"
129,101,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.6 ,"Coffee County, AL"
130,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 ,"Coffee County, AL"
131,74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,895.5 ,"Coffee County, AL"
132,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"DeKalb County, AL"
133,140,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.5 ,"DeKalb County, AL"
134,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.7 ,"DeKalb County, AL"
135,105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,906.0 ,"DeKalb County, AL"
136,16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.1 ,"Lee County, AL"
137,233,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.6 ,"Lee County, AL"
138,81,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.9 ,"Lee County, AL"
139,169,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,003.8 ","Lee County, AL"
140,68,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.9 ,"Jefferson County, AL"
141,1299,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.7 ,"Jefferson County, AL"
142,428,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Jefferson County, AL"
143,939,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,952.9 ,"Jefferson County, AL"
144,38,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.8 ,"Madison County, AL"
145,608,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,509.2 ,"Madison County, AL"
146,198,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 ,"Madison County, AL"
147,447,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.3 ,"Madison County, AL"
148,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.4 ,"Baldwin County, AL"
149,466,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,532.2 ,"Baldwin County, AL"
150,128,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.9 ,"Baldwin County, AL"
151,358,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,900.1 ,"Baldwin County, AL"
152,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.3 ,"Tuscaloosa County, AL"
153,310,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,525.5 ,"Tuscaloosa County, AL"
154,105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,52.4 ,"Tuscaloosa County, AL"
155,223,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,873.8 ,"Tuscaloosa County, AL"
156,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.7 ,"Limestone County, AL"
157,156,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,495.9 ,"Limestone County, AL"
158,57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,51.2 ,"Limestone County, AL"
159,109,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,808.9 ,"Limestone County, AL"
160,4,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,11.3 ,"Dale County, AL"
161,104,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,590.6 ,"Dale County, AL"
162,32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.9 ,"Dale County, AL"
163,75,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,963.3 ,"Dale County, AL"
164,15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,10.6 ,"Shelby County, AL"
165,296,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,436.4 ,"Shelby County, AL"
166,93,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,38.6 ,"Shelby County, AL"
167,218,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,748.0 ,"Shelby County, AL"
168,25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,699.1 ,"Bullock County, AL"
169,5,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,43.2 ,"Bullock County, AL"
170,22,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,338.4 ","Bullock County, AL"
171,30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,688.1 ,"Wilcox County, AL"
172,10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.3 ,"Wilcox County, AL"
173,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,064.5 ","Wilcox County, AL"
174,51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.9 ,"Macon County, AL"
175,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,88.6 ,"Macon County, AL"
176,35,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,018.3 ","Macon County, AL"
177,37,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.1 ,"Crenshaw County, AL"
178,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.2 ,"Crenshaw County, AL"
179,27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,077.9 ","Crenshaw County, AL"
180,45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,641.0 ,"Fayette County, AL"
181,15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.4 ,"Fayette County, AL"
182,32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,984.1 ,"Fayette County, AL"
183,26,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,634.1 ,"Lowndes County, AL"
184,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,86.9 ,"Lowndes County, AL"
185,18,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,002.7 ","Lowndes County, AL"
186,39,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.1 ,"Lamar County, AL"
187,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.4 ,"Lamar County, AL"
188,28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,936.3 ,"Lamar County, AL"
189,62,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.0 ,"Barbour County, AL"
190,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.9 ,"Barbour County, AL"
191,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,955.4 ,"Barbour County, AL"
192,70,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,625.8 ,"Geneva County, AL"
193,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,"Geneva County, AL"
194,52,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,017.6 ","Geneva County, AL"
195,36,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,617.0 ,"Clay County, AL"
196,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.3 ,"Clay County, AL"
197,25,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,929.7 ,"Clay County, AL"
198,40,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,609.5 ,"Washington County, AL"
199,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,71.7 ,"Washington County, AL"
200,28,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,967.0 ,"Washington County, AL"
201,47,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,599.5 ,"Henry County, AL"
202,17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,82.6 ,"Henry County, AL"
203,33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,898.3 ,"Henry County, AL"
204,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,597.5 ,"Sumter County, AL"
205,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.2 ,"Sumter County, AL"
206,19,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,907.8 ,"Sumter County, AL"
207,34,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.9 ,"Conecuh County, AL"
208,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.4 ,"Conecuh County, AL"
209,24,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,909.9 ,"Conecuh County, AL"
210,59,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,587.9 ,"Clarke County, AL"
211,17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.1 ,"Clarke County, AL"
212,45,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,975.4 ,"Clarke County, AL"
213,51,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,558.1 ,"Monroe County, AL"
214,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,"Monroe County, AL"
215,40,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,974.1 ,"Monroe County, AL"
216,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,548.0 ,"Perry County, AL"
217,7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.5 ,"Perry County, AL"
218,15,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,837.5 ,"Perry County, AL"
219,56,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.6 ,"Winston County, AL"
220,17,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,"Winston County, AL"
221,42,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,853.3 ,"Winston County, AL"
222,43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,521.6 ,"Butler County, AL"
223,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.6 ,"Butler County, AL"
224,32,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,838.5 ,"Butler County, AL"
225,27,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.8 ,"Coosa County, AL"
226,9,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.7 ,"Coosa County, AL"
227,20,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,850.8 ,"Coosa County, AL"
228,31,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.0 ,"Hale County, AL"
229,12,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,"Hale County, AL"
230,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,778.6 ,"Hale County, AL"
231,31,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,500.0 ,"Cleburne County, AL"
232,11,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.8 ,"Cleburne County, AL"
233,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,736.0 ,"Cleburne County, AL"
234,19,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,498.7 ,"Greene County, AL"
235,6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,"Greene County, AL"
236,14,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,788.7 ,"Greene County, AL"
237,41,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,496.5 ,"Pickens County, AL"
238,13,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.3 ,"Pickens County, AL"
239,29,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,797.7 ,"Pickens County, AL"
240,30,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,492.9 ,"Choctaw County, AL"
241,10,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.6 ,"Choctaw County, AL"
242,21,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,750.7 ,"Choctaw County, AL"
243,23,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,23.1 ,"Mohave County, AZ"
244,733,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,"Mohave County, AZ"
245,169,Arizona,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,67.2 ,"Mohave County, AZ"
