County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
Etowah County,***,"182.2 (171.4, 193.4)","20 (6, 44)",226,falling,"-0.6 (-0.9, -0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Marion County,***,"182.0 (164.3, 201.5)","21 (3, 57)",81,stable,"-0.4 (-1.0, 0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Covington County,***,"181.7 (164.9, 199.9)","22 (3, 55)",93,stable,"-0.5 (-1.1, 0.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Calhoun County,***,"181.4 (170.7, 192.7)","23 (7, 45)",224,falling,"-1.1 (-1.5, -0.8)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Colbert County,***,"181.1 (166.6, 196.6)","24 (4, 52)",121,falling,"-0.7 (-1.0, -0.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
St. Clair County,***,"179.9 (168.1, 192.3)","25 (7, 49)",180,falling,"-1.2 (-1.6, -0.8)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Conecuh County,***,"178.2 (144.5, 219.4)","26 (1, 67)",22,falling,"-1.5 (-2.2, -0.7)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lowndes County,***,"177.1 (125.2, 249.2)","27 (1, 67)",9,stable,"-0.2 (-1.8, 1.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Franklin County,***,"176.2 (157.2, 196.8)","28 (4, 61)",65,falling,"-0.9 (-1.5, -0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Pike County,***,"175.8 (152.5, 202.0)","29 (2, 63)",43,falling,"-0.9 (-1.6, -0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Mobile County,***,"173.7 (167.4, 180.3)","30 (18, 47)",592,falling,"-1.4 (-1.7, -1.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Perry County,***,"172.9 (120.4, 246.5)","31 (1, 67)",9,stable,"-0.8 (-2.1, 0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Tallapoosa County,***,"172.7 (155.6, 191.6)","32 (6, 62)",82,stable,"-0.4 (-1.1, 0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Randolph County,***,"172.6 (150.6, 197.3)","33 (3, 64)",48,stable,"-0.4 (-1.2, 0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Cullman County,***,"171.7 (160.6, 183.4)","34 (12, 57)",187,falling,"-0.7 (-1.0, -0.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Marshall County,***,"171.4 (160.8, 182.5)","35 (14, 55)",202,falling,"-0.8 (-1.1, -0.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Dale County,***,"171.2 (155.5, 188.3)","36 (7, 61)",89,falling,"-0.9 (-1.3, -0.6)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Chilton County,***,"171.0 (154.9, 188.4)","37 (9, 61)",86,falling,"-0.8 (-1.4, -0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Morgan County,***,"170.1 (160.4, 180.3)","38 (16, 56)",236,falling,"-0.4 (-0.7, -0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Elmore County,***,"170.0 (157.2, 183.8)","39 (11, 58)",135,falling,"-1.0 (-1.4, -0.7)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Coffee County,***,"169.2 (153.7, 185.8)","40 (10, 61)",90,falling,"-0.9 (-1.4, -0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Cherokee County,***,"168.3 (150.0, 188.5)","41 (7, 63)",67,stable,"-0.5 (-1.1, 0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lee County,***,"167.7 (156.9, 179.1)","42 (15, 59)",186,falling,"-0.8 (-1.2, -0.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Sumter County,***,"167.7 (110.5, 246.5)","43 (1, 67)",8,stable,"-0.7 (-2.1, 0.7)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Washington County,***,"167.4 (140.3, 199.0)","44 (3, 66)",28,falling,"-1.0 (-1.8, -0.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Monroe County,***,"166.7 (141.2, 196.2)","45 (4, 66)",33,falling,"-1.0 (-1.7, -0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Coosa County,***,"165.3 (133.6, 204.1)","46 (2, 67)",21,stable,"-0.5 (-1.4, 0.4)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
DeKalb County,***,"165.2 (153.1, 178.0)","47 (17, 61)",145,stable,"1.5 (-1.1, 4.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Jefferson County,***,"164.5 (159.4, 169.8)","48 (31, 56)",817,falling,"-1.3 (-1.5, -1.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Winston County,***,"161.9 (143.5, 182.3)","49 (10, 65)",59,falling,"-1.1 (-1.6, -0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Wilcox County,***,"160.5 (118.3, 219.7)","50 (1, 67)",10,stable,"-0.4 (-1.4, 0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Autauga County,***,"160.3 (145.5, 176.4)","51 (18, 65)",87,falling,"-1.7 (-2.3, -1.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Montgomery County,***,"157.9 (148.3, 168.0)","52 (32, 63)",216,falling,"-1.4 (-1.7, -1.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Houston County,***,"157.1 (146.5, 168.4)","53 (30, 64)",170,stable,"-8.3 (-16.5, 0.8)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Lauderdale County,***,"156.9 (146.9, 167.6)","54 (32, 64)",191,falling,"-2.9 (-5.1, -0.7)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Madison County,***,"156.9 (150.8, 163.1)","55 (39, 62)",524,falling,"-1.5 (-1.9, -1.1)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Baldwin County,***,"155.8 (149.2, 162.6)","56 (40, 63)",445,falling,"-1.2 (-1.4, -0.9)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Greene County,***,"152.3 (100.9, 241.2)","57 (1, 67)",6,stable,"-0.5 (-2.3, 1.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Bullock County,***,"151.6 (104.3, 217.6)","58 (1, 67)",7,stable,"-0.3 (-1.8, 1.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Tuscaloosa County,***,"149.5 (140.8, 158.5)","59 (44, 65)",232,falling,"-2.6 (-3.5, -1.6)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Butler County,***,"148.2 (123.1, 177.9)","60 (11, 67)",27,falling,"-1.1 (-1.8, -0.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Limestone County,***,"147.2 (136.4, 158.6)","61 (43, 66)",144,falling,"-2.5 (-3.6, -1.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Cleburne County,***,"146.0 (123.3, 172.2)","62 (17, 67)",30,falling,"-1.2 (-2.2, -0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Clarke County,***,"144.6 (123.0, 169.8)","63 (24, 67)",33,falling,"-1.2 (-2.0, -0.5)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Hale County,***,"144.0 (111.0, 185.2)","64 (4, 67)",14,stable,"-1.1 (-2.4, 0.2)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Choctaw County,***,"141.4 (113.6, 175.4)","65 (13, 67)",19,falling,"-2.0 (-3.2, -0.8)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Pickens County,***,"137.6 (114.7, 164.6)","66 (28, 67)",26,falling,"-4.0 (-5.7, -2.3)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Shelby County,***,"129.4 (122.7, 136.5)","67 (60, 67)",285,falling,"-1.4 (-1.9, -1.0)",Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,,
Alabama,***,"63.2 (55.1, 72.2)",,52,stable,"-0.1 (-2.3, 2.1)",Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
United States  6,***,"116.2 (115.6, 116.7)",,39492,falling,"-1.5 (-2.2, -0.8)",Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Madison County,***,"93.6 (60.0, 137.0)","1 (1, 4)",6,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jefferson County,***,"80.2 (52.5, 115.6)","2 (1, 4)",7,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Baldwin County,***,"68.1 (37.3, 111.9)","3 (1, 4)",3,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Shelby County,***,"58.2 (31.7, 96.4)","4 (1, 4)",4,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Autauga County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Barbour County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Bibb County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Blount County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Bullock County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Butler County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Calhoun County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Chambers County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Cherokee County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Chilton County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Choctaw County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Clarke County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Clay County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Cleburne County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Coffee County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Colbert County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Conecuh County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Coosa County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Covington County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Crenshaw County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Cullman County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Dale County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Dallas County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
DeKalb County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Elmore County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Escambia County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Etowah County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Fayette County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Franklin County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Geneva County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Greene County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Hale County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Henry County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Houston County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Jackson County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lamar County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lauderdale County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lawrence County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lee County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Limestone County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Lowndes County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Macon County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Marengo County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Marion County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Marshall County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Mobile County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Monroe County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Montgomery County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Morgan County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Perry County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Pickens County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Pike County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Randolph County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Russell County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
St. Clair County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Sumter County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Talladega County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Tallapoosa County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Tuscaloosa County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Walker County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Washington County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Wilcox County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Winston County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,,
Alabama,***,"169.2 (167.5, 170.9)",,7894,falling,"-1.3 (-1.5, -1.2)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
United States  6,***,"157.2 (157.0, 157.4)",,465073,falling,"-2.0 (-2.2, -1.7)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Crenshaw County,***,"214.0 (180.9, 252.2)","1 (1, 50)",32,stable,"0.1 (-0.6, 0.8)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Walker County,***,"213.9 (199.8, 228.9)","2 (1, 14)",180,stable,"-0.2 (-0.5, 0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Macon County,***,"204.9 (149.7, 277.9)","3 (1, 67)",10,stable,"-0.2 (-1.5, 1.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Russell County,***,"203.6 (183.3, 225.8)","4 (1, 37)",77,falling,"-0.6 (-1.1, -0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Escambia County,***,"201.0 (180.0, 224.0)","5 (1, 42)",70,stable,"-0.4 (-0.8, 0.0)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Jackson County,***,"200.7 (185.5, 217.0)","6 (1, 31)",138,falling,"-0.5 (-0.9, -0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Chambers County,***,"199.4 (177.0, 224.4)","7 (1, 46)",62,stable,"-0.5 (-1.0, 0.0)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Dallas County,***,"198.8 (170.7, 231.3)","8 (1, 55)",41,stable,"-0.3 (-0.8, 0.3)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Lawrence County,***,"194.3 (174.4, 216.1)","9 (1, 47)",73,stable,"-0.5 (-1.1, 0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Barbour County,***,"192.6 (165.9, 223.3)","10 (1, 60)",40,stable,"-0.7 (-1.6, 0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Geneva County,***,"190.5 (170.2, 212.9)","11 (1, 53)",67,stable,"-0.3 (-1.0, 0.4)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Henry County,***,"188.1 (161.1, 219.2)","12 (1, 62)",38,stable,"-0.2 (-1.0, 0.5)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Fayette County,***,"188.0 (162.4, 217.1)","13 (1, 60)",40,stable,"-0.3 (-1.0, 0.4)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Talladega County,***,"186.9 (173.2, 201.5)","14 (4, 45)",147,falling,"-0.6 (-0.9, -0.3)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Blount County,***,"186.8 (172.8, 201.7)","15 (3, 46)",138,falling,"-0.8 (-1.2, -0.4)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Bibb County,***,"186.7 (161.8, 214.6)","16 (1, 59)",42,falling,"-0.8 (-1.4, -0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Lamar County,***,"186.3 (159.1, 217.5)","17 (1, 62)",36,stable,"-0.4 (-1.1, 0.3)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Clay County,***,"185.0 (156.9, 217.6)","18 (1, 63)",32,stable,"-0.4 (-1.5, 0.7)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Covington County,***,"183.2 (166.3, 201.7)","19 (3, 56)",92,stable,"-0.5 (-1.1, 0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Calhoun County,***,"183.1 (172.3, 194.6)","20 (7, 45)",223,falling,"-1.4 (-1.8, -1.0)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Marengo County,***,"183.0 (151.9, 219.7)","21 (1, 65)",27,falling,"-0.9 (-1.6, -0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Colbert County,***,"182.9 (168.3, 198.7)","22 (4, 52)",121,falling,"-0.7 (-1.0, -0.4)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Etowah County,***,"182.9 (172.0, 194.3)","23 (7, 45)",224,falling,"-0.6 (-0.9, -0.2)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Marion County,***,"182.3 (164.4, 201.9)","24 (2, 56)",80,stable,"-0.4 (-1.0, 0.2)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
St. Clair County,***,"181.2 (169.2, 193.7)","25 (7, 49)",180,falling,"-1.2 (-1.6, -0.8)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Franklin County,***,"181.1 (161.3, 202.9)","26 (2, 59)",64,falling,"-0.8 (-1.4, -0.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Conecuh County,***,"179.3 (145.2, 221.2)","27 (1, 66)",22,falling,"-1.4 (-2.2, -0.6)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Pike County,***,"177.0 (153.4, 203.5)","28 (2, 64)",43,falling,"-0.9 (-1.5, -0.2)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Mobile County,***,"176.8 (170.3, 183.5)","29 (16, 45)",589,falling,"-1.4 (-1.6, -1.1)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Marshall County,***,"174.6 (163.7, 186.2)","30 (13, 53)",200,falling,"-0.7 (-1.1, -0.3)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
Perry County,***,"174.5 (121.5, 249.5)","31 (1, 67)",9,stable,"-0.8 (-2.1, 0.5)",Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,,
