County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
Coffee County,***,"17.2 (11.5, 24.8)","33 (5, 42)",6,falling,"-1.9 (-3.3, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
DeKalb County,***,"17.2 (12.1, 23.7)","34 (6, 42)",7,falling,"-2.4 (-3.3, -1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lee County,***,"17.1 (13.6, 21.2)","35 (10, 41)",16,falling,"-1.6 (-2.4, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Jefferson County,***,"16.9 (15.2, 18.9)","36 (18, 38)",68,falling,"-1.9 (-2.4, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Madison County,***,"16.8 (14.5, 19.4)","37 (15, 40)",38,falling,"-1.5 (-2.2, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Baldwin County,***,"15.4 (12.6, 18.8)","38 (16, 41)",20,falling,"-1.8 (-2.7, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Tuscaloosa County,***,"15.3 (12.3, 18.7)","39 (17, 42)",18,falling,"-2.4 (-3.3, -1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Limestone County,***,"13.7 (10.0, 18.5)","40 (19, 42)",9,falling,"-1.8 (-3.5, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Dale County,***,"11.3 (6.7, 18.0)","41 (18, 42)",4,falling,"-7.6 (-10.6, -4.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Shelby County,***,"10.6 (8.3, 13.3)","42 (37, 42)",15,falling,"-2.1 (-3.3, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Barbour County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Bullock County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Butler County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Choctaw County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Clarke County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Clay County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cleburne County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Conecuh County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Coosa County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Crenshaw County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Fayette County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Geneva County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Greene County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Hale County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Henry County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lamar County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lowndes County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Macon County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Monroe County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Perry County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Pickens County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Sumter County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Washington County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Wilcox County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Winston County,***,*,*,3 or fewer,*,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Alabama,***,"566.9 (561.9, 572.0)",,9873,falling,"-1.7 (-1.9, -1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
United States,***,"512.0 (511.4, 512.6)",,568048,falling,"-2.1 (-2.4, -1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Walker County,***,"719.4 (672.8, 768.3)","1 (1, 12)",183,stable,"-0.2 (-0.5, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Bullock County,***,"699.1 (580.7, 834.4)","2 (1, 58)",25,stable,"-0.1 (-1.0, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Wilcox County,***,"688.1 (580.3, 810.3)","3 (1, 57)",30,stable,"0.2 (-0.7, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Russell County,***,"685.3 (631.2, 742.8)","4 (1, 26)",123,falling,"-0.7 (-1.1, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Macon County,***,"664.9 (584.4, 753.5)","5 (1, 54)",51,falling,"-0.9 (-1.5, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Crenshaw County,***,"664.1 (570.1, 769.3)","6 (1, 57)",37,stable,"-0.2 (-1.0, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Escambia County,***,"651.1 (592.2, 714.2)","7 (1, 45)",91,falling,"-1.0 (-1.3, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Dallas County,***,"645.7 (588.3, 707.1)","8 (1, 46)",96,falling,"-0.9 (-1.3, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Fayette County,***,"641.0 (559.2, 731.5)","9 (1, 59)",45,stable,"-0.4 (-1.1, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lowndes County,***,"634.1 (528.1, 755.2)","10 (1, 65)",26,stable,"-0.6 (-1.4, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Covington County,***,"628.2 (574.5, 685.5)","11 (2, 50)",103,stable,"-0.5 (-1.1, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lamar County,***,"628.1 (541.4, 724.8)","12 (1, 62)",39,stable,"-0.3 (-0.9, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Barbour County,***,"628.0 (559.0, 703.3)","13 (1, 58)",62,falling,"-1.1 (-1.9, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Jackson County,***,"626.1 (578.9, 676.1)","14 (2, 47)",134,falling,"-0.7 (-1.1, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Geneva County,***,"625.8 (561.4, 695.6)","15 (1, 57)",70,stable,"-0.4 (-1.0, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Chambers County,***,"620.1 (562.0, 682.5)","16 (2, 57)",85,falling,"-0.7 (-1.1, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Talladega County,***,"619.6 (580.0, 661.3)","17 (4, 47)",188,falling,"-0.8 (-1.1, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Clay County,***,"617.0 (529.3, 715.0)","18 (1, 65)",36,stable,"-0.5 (-1.3, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Blount County,***,"613.6 (567.7, 662.2)","19 (3, 51)",135,falling,"-0.9 (-1.3, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lawrence County,***,"612.5 (553.1, 676.6)","20 (2, 58)",80,stable,"-0.6 (-1.3, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Washington County,***,"609.5 (526.9, 701.3)","21 (1, 64)",40,stable,"-0.7 (-1.5, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Marengo County,***,"606.5 (531.5, 689.3)","22 (1, 63)",48,falling,"-0.9 (-1.5, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Tallapoosa County,***,"605.9 (554.7, 660.6)","23 (3, 57)",107,stable,"-0.6 (-1.2, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Marion County,***,"605.8 (547.5, 668.6)","24 (3, 59)",80,stable,"-0.2 (-0.8, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Pike County,***,"604.7 (538.8, 676.4)","25 (1, 62)",63,falling,"-1.0 (-1.6, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Etowah County,***,"604.0 (570.2, 639.3)","26 (7, 48)",245,falling,"-1.0 (-1.4, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Calhoun County,***,"603.1 (570.0, 637.5)","27 (8, 48)",256,falling,"-1.7 (-2.1, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Henry County,***,"599.5 (523.5, 683.6)","28 (1, 65)",47,stable,"-0.5 (-1.0, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Sumter County,***,"597.5 (501.4, 706.6)","29 (1, 66)",29,stable,"-0.4 (-1.3, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Bibb County,***,"595.2 (520.4, 677.6)","30 (2, 65)",47,falling,"-0.7 (-1.3, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
St. Clair County,***,"592.4 (553.6, 633.1)","31 (8, 54)",181,stable,"-0.7 (-1.7, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Dale County,***,"590.6 (540.4, 644.2)","32 (4, 60)",104,falling,"-0.9 (-1.2, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Conecuh County,***,"589.9 (503.7, 686.9)","33 (1, 66)",34,falling,"-1.3 (-2.0, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Mobile County,***,"589.5 (571.6, 607.9)","34 (17, 45)",842,falling,"-1.7 (-2.0, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Colbert County,***,"589.2 (545.2, 635.9)","35 (6, 58)",134,falling,"-0.8 (-1.1, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Clarke County,***,"587.9 (522.5, 659.2)","36 (3, 64)",59,falling,"-0.8 (-1.5, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lee County,***,"584.6 (550.7, 620.1)","37 (11, 55)",233,falling,"-0.8 (-1.2, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Elmore County,***,"577.5 (536.0, 621.3)","38 (9, 60)",150,falling,"-1.0 (-1.3, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Jefferson County,***,"576.7 (562.5, 591.2)","39 (24, 48)",1299,falling,"-1.3 (-1.5, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Chilton County,***,"574.5 (521.9, 630.9)","40 (6, 63)",90,falling,"-0.8 (-1.4, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Morgan County,***,"567.1 (535.7, 599.8)","41 (18, 59)",249,falling,"-0.6 (-0.9, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Franklin County,***,"561.7 (500.9, 627.9)","42 (7, 66)",63,falling,"-1.0 (-1.6, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Marshall County,***,"561.3 (526.3, 598.1)","43 (17, 62)",195,falling,"-0.8 (-1.2, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cullman County,***,"560.8 (524.2, 599.3)","44 (15, 62)",178,falling,"-0.7 (-1.1, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Montgomery County,***,"560.6 (536.3, 585.8)","45 (24, 58)",410,falling,"-1.4 (-1.6, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Monroe County,***,"558.1 (490.8, 632.1)","46 (5, 66)",51,falling,"-1.1 (-1.8, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cherokee County,***,"549.4 (490.9, 613.0)","47 (10, 66)",66,falling,"-0.7 (-1.3, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Perry County,***,"548.0 (445.2, 667.6)","48 (1, 67)",20,stable,"-0.3 (-1.3, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Coffee County,***,"545.6 (498.6, 595.9)","49 (15, 65)",101,falling,"-1.0 (-1.5, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
DeKalb County,***,"545.5 (505.4, 588.0)","50 (21, 65)",140,stable,"1.4 (-1.2, 4.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Randolph County,***,"542.7 (478.8, 612.9)","51 (7, 66)",53,stable,"-0.6 (-1.2, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Autauga County,***,"536.1 (489.4, 586.0)","52 (18, 66)",99,falling,"-1.8 (-2.5, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Houston County,***,"533.1 (500.8, 566.9)","53 (31, 65)",208,stable,"-7.1 (-15.5, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Baldwin County,***,"532.2 (510.5, 554.6)","54 (39, 64)",466,falling,"-1.1 (-1.4, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Winston County,***,"531.6 (470.8, 598.1)","55 (12, 67)",56,falling,"-1.2 (-1.8, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lauderdale County,***,"531.0 (498.4, 565.2)","56 (33, 65)",201,falling,"-3.2 (-5.3, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Tuscaloosa County,***,"525.5 (499.1, 552.9)","57 (39, 65)",310,falling,"-2.2 (-2.9, -1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Butler County,***,"521.6 (453.3, 597.3)","58 (13, 67)",43,falling,"-0.7 (-1.3, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Coosa County,***,"511.8 (427.7, 607.7)","59 (7, 67)",27,falling,"-1.3 (-2.1, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Hale County,***,"511.0 (432.5, 599.6)","60 (11, 67)",31,falling,"-1.4 (-2.4, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Madison County,***,"509.2 (491.0, 527.8)","61 (49, 66)",608,falling,"-1.8 (-2.1, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cleburne County,***,"500.0 (423.3, 586.7)","62 (13, 67)",31,falling,"-1.4 (-2.4, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Greene County,***,"498.7 (401.8, 612.4)","63 (7, 67)",19,falling,"-1.4 (-2.4, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Pickens County,***,"496.5 (430.1, 570.3)","64 (18, 67)",41,falling,"-3.0 (-4.7, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Limestone County,***,"495.9 (461.1, 532.6)","65 (45, 67)",156,falling,"-2.4 (-3.3, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Choctaw County,***,"492.9 (417.1, 578.7)","66 (18, 67)",30,falling,"-1.9 (-2.6, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Shelby County,***,"436.4 (414.0, 459.7)","67 (63, 67)",296,falling,"-1.5 (-1.9, -1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Alabama,***,"59.9 (59.0, 60.9)",,3255,falling,"-3.4 (-5.1, -1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
United States,***,"48.4 (48.3, 48.5)",,171025,falling,"-2.4 (-2.7, -2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Macon County,***,"88.6 (70.0, 111.0)","1 (1, 43)",18,falling,"-1.5 (-2.4, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Lowndes County,***,"86.9 (62.2, 118.6)","2 (1, 62)",9,stable,"-0.7 (-1.9, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Marengo County,***,"84.7 (67.0, 105.9)","3 (1, 51)",18,stable,"-0.1 (-1.2, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Wilcox County,***,"84.3 (61.5, 113.5)","4 (1, 62)",10,stable,"-0.5 (-2.3, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Sumter County,***,"84.2 (60.9, 113.8)","5 (1, 63)",11,stable,"-0.8 (-2.4, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Henry County,***,"82.6 (64.8, 104.3)","6 (1, 55)",17,stable,"-0.9 (-2.0, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Pike County,***,"81.8 (67.2, 98.6)","7 (1, 43)",24,stable,"-0.4 (-1.4, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Perry County,***,"80.5 (55.2, 113.9)","8 (1, 66)",7,stable,"-0.6 (-1.9, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Jackson County,***,"80.3 (69.8, 91.9)","9 (1, 35)",48,stable,"-0.3 (-1.1, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Fayette County,***,"79.4 (61.7, 101.1)","10 (1, 60)",15,stable,"-0.6 (-1.6, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Dallas County,***,"79.0 (66.9, 92.7)","11 (1, 43)",35,falling,"-0.6 (-1.2, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Walker County,***,"78.5 (69.4, 88.5)","12 (1, 35)",59,stable,"-0.6 (-1.1, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Escambia County,***,"78.1 (66.3, 91.6)","13 (1, 47)",33,stable,"-0.2 (-1.0, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Crenshaw County,***,"77.2 (58.1, 101.1)","14 (1, 63)",12,stable,"-1.1 (-2.5, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Lamar County,***,"76.4 (57.5, 100.3)","15 (1, 64)",12,stable,"-1.0 (-2.2, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Covington County,***,"76.0 (64.1, 89.5)","16 (1, 49)",33,stable,"-0.4 (-1.1, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Conecuh County,***,"75.4 (55.6, 100.8)","17 (1, 66)",11,falling,"-1.2 (-2.3, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
