County,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate†cases per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Incidence Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Area,Parish
Tallapoosa County  6,***,"130.4 (109.9, 153.6)","7 (1, 55)",29,stable,"1.9 (0.0, 3.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Clay County  6,***,"130.4 (96.0, 172.9)","10 (1, 66)",10,stable,"0.5 (-2.7, 3.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Sumter County  6,***,"130.2 (91.7, 178.7)","11 (1, 67)",8,stable,"3.0 (-0.5, 6.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Marengo County  6,***,"126.5 (98.1, 160.4)","12 (1, 65)",14,stable,"2.3 (-0.4, 5.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Covington County  6,***,"126.4 (105.6, 150.1)","13 (2, 61)",26,stable,"3.4 (-0.2, 7.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Elmore County  6,***,"125.2 (111.9, 139.7)","15 (3, 47)",65,stable,"1.3 (-0.5, 3.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Walker County  6,***,"124.6 (109.0, 141.6)","16 (3, 53)",47,rising,"1.5 (0.1, 2.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Chambers County  6,***,"123.7 (102.4, 147.9)","14 (2, 60)",24,stable,"1.5 (0.0, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Jackson County  6,***,"123.1 (106.0, 142.1)","17 (3, 58)",38,stable,"1.2 (-0.8, 3.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Clarke County  6,***,"122.7 (98.0, 151.6)","18 (2, 65)",17,stable,"0.8 (-0.7, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Wilcox County  6,***,"121.6 (84.5, 168.9)","23 (1, 67)",7,stable,"-2.1 (-5.6, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
St. Clair County  6,***,"121.2 (108.6, 134.9)","19 (5, 50)",67,rising,"1.8 (0.3, 3.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Autauga County  6,***,"121.0 (105.3, 138.4)","22 (3, 59)",43,stable,"0.0 (-1.3, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Talladega County  6,***,"121.0 (107.5, 135.6)","24 (4, 54)",59,stable,"1.4 (-0.1, 2.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cullman County  6,***,"120.5 (106.9, 135.2)","21 (5, 54)",58,stable,"2.0 (0.0, 4.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lawrence County  6,***,"119.6 (99.0, 143.3)","25 (3, 63)",24,stable,"0.4 (-1.2, 2.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Dallas County  6,***,"119.6 (99.7, 142.2)","26 (3, 63)",26,rising,"2.3 (0.3, 4.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Limestone County  6,***,"119.0 (107.1, 132.0)","30 (6, 55)",73,stable,"1.0 (-0.2, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Marshall County  6,***,"118.5 (106.0, 132.0)","27 (5, 56)",67,stable,"0.8 (-0.6, 2.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Bullock County  6,***,"118.4 (83.3, 163.4)","32 (1, 67)",7,stable,"1.9 (-2.3, 6.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Monroe County  6,***,"118.4 (92.5, 149.3)","20 (1, 66)",14,stable,"1.5 (-1.8, 5.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Butler County  6,***,"117.9 (90.9, 150.3)","28 (1, 66)",13,stable,"0.5 (-2.4, 3.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Dale County  6,***,"117.4 (100.2, 136.6)","29 (4, 61)",34,stable,"1.8 (-0.6, 4.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lauderdale County  6,***,"117.3 (104.4, 131.3)","31 (6, 58)",62,rising,"1.9 (0.5, 3.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Bibb County  6,***,"114.9 (91.6, 142.3)","33 (3, 66)",17,stable,"1.9 (-0.5, 4.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Winston County  6,***,"114.5 (90.2, 143.4)","34 (2, 66)",15,stable,"1.3 (-1.1, 3.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Morgan County  6,***,"114.3 (103.4, 125.9)","35 (10, 57)",82,stable,"1.2 (-0.2, 2.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Choctaw County  6,***,"114.0 (81.3, 155.5)","36 (1, 67)",8,stable,"1.4 (-2.8, 5.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Coosa County  6,***,"112.4 (78.2, 157.1)","37 (1, 67)",7,stable,"2.7 (-2.5, 8.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Madison County  6,***,"111.6 (105.4, 118.1)","38 (19, 53)",242,rising,"1.4 (0.4, 2.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Marion County  6,***,"111.2 (90.1, 135.7)","41 (4, 66)",20,stable,"-14.8 (-29.0, 2.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Colbert County  6,***,"111.1 (95.1, 128.9)","40 (7, 64)",35,rising,"2.0 (0.2, 3.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Calhoun County  6,***,"110.9 (99.9, 122.8)","39 (12, 60)",75,stable,"0.6 (-0.7, 1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Etowah County  6,***,"108.9 (97.5, 121.2)","42 (13, 62)",68,stable,"0.5 (-1.0, 2.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Henry County  6,***,"108.4 (81.1, 142.0)","43 (3, 67)",11,stable,"-0.3 (-2.6, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Randolph County  6,***,"107.3 (83.3, 136.1)","45 (4, 67)",14,stable,"0.6 (-2.1, 3.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Franklin County  6,***,"105.4 (85.8, 128.1)","44 (5, 66)",20,stable,"1.7 (-0.6, 4.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Baldwin County  6,***,"104.9 (96.9, 113.5)","47 (25, 61)",127,rising,"0.9 (0.2, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Macon County  6,***,"104.3 (76.1, 139.1)","46 (3, 67)",9,stable,"1.4 (-0.9, 3.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Jefferson County  6,***,"104.1 (99.7, 108.8)","48 (33, 58)",416,stable,"-0.2 (-0.8, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Mobile County  6,***,"103.9 (98.2, 109.8)","50 (30, 60)",252,stable,"-0.2 (-1.0, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Montgomery County  6,***,"103.8 (96.2, 111.9)","49 (26, 62)",140,stable,"0.4 (-0.5, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Houston County  6,***,"103.7 (92.6, 115.7)","51 (21, 65)",65,stable,"-0.5 (-2.0, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Coffee County  6,***,"101.8 (86.7, 118.6)","52 (12, 66)",33,rising,"2.0 (0.3, 3.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Geneva County  6,***,"100.6 (79.3, 125.9)","54 (7, 67)",15,stable,"-0.8 (-3.3, 1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Washington County  6,***,"100.5 (74.1, 133.3)","55 (4, 67)",10,stable,"1.5 (-1.3, 4.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Pike County  6,***,"100.1 (79.5, 124.2)","56 (9, 67)",17,stable,"0.4 (-2.3, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Shelby County  6,***,"100.0 (92.7, 107.7)","53 (32, 63)",139,stable,"0.2 (-0.7, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Chilton County  6,***,"99.1 (82.8, 117.6)","60 (16, 67)",26,stable,"-1.1 (-3.2, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Tuscaloosa County  6,***,"98.5 (90.5, 106.9)","58 (34, 65)",118,stable,"-0.2 (-1.3, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Russell County  6,***,"98.3 (84.2, 114.1)","61 (20, 67)",35,stable,"-0.4 (-2.5, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
DeKalb County  6,***,"98.1 (85.3, 112.3)","57 (21, 66)",42,stable,"1.0 (-1.0, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cleburne County  6,***,"97.8 (70.6, 131.9)","62 (4, 67)",9,stable,"1.0 (-2.1, 4.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Blount County  6,***,"97.3 (83.2, 113.2)","59 (21, 66)",34,stable,"0.3 (-1.4, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Cherokee County  6,***,"95.1 (74.1, 120.4)","63 (10, 67)",14,stable,"0.2 (-3.6, 4.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Lee County  6,***,"85.8 (77.6, 94.7)","65 (53, 67)",83,stable,"0.2 (-0.9, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Escambia County  6,***,"83.9 (67.9, 102.5)","66 (33, 67)",19,stable,"-1.7 (-3.8, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Hale County  6,***,"83.5 (57.0, 117.7)","64 (8, 67)",6,stable,"-1.0 (-4.9, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Barbour County  6,***,"71.5 (53.9, 93.0)","67 (49, 67)",11,stable,"-2.0 (-4.5, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,,
Alabama  6,***,"1,349.8 (1,342.0, 1,357.6)",,23713,falling,"-1.0 (-1.3, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
US (SEER+NPCR)  1,***,"1,349.4 (1,348.4, 1,350.3)",,1492626,falling,"-1.1 (-1.3, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lowndes County  6,***,"1,738.4 (1,562.3, 1,929.1)","1 (1, 10)",72,rising,"2.0 (0.3, 3.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Crenshaw County  6,***,"1,572.8 (1,426.9, 1,729.6)","2 (1, 38)",88,rising,"2.6 (1.0, 4.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Walker County  6,***,"1,535.6 (1,467.9, 1,605.7)","3 (1, 16)",399,rising,"0.4 (0.1, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Chambers County  6,***,"1,511.1 (1,420.2, 1,606.3)","4 (1, 30)",212,stable,"0.4 (-0.7, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Elmore County  6,***,"1,505.7 (1,439.8, 1,573.8)","5 (2, 21)",410,stable,"0.4 (-0.2, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Macon County  6,***,"1,489.8 (1,367.3, 1,620.4)","6 (1, 47)",114,stable,"1.3 (-0.3, 3.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lamar County  6,***,"1,477.3 (1,343.0, 1,621.4)","7 (1, 51)",91,stable,"1.1 (-0.3, 2.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Autauga County  6,***,"1,475.7 (1,397.6, 1,557.1)","8 (2, 33)",273,stable,"0.6 (-0.2, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Bullock County  6,***,"1,464.6 (1,292.1, 1,653.7)","9 (1, 61)",54,stable,"-0.5 (-2.4, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lawrence County  6,***,"1,436.2 (1,344.8, 1,532.3)","10 (2, 48)",189,stable,"-0.3 (-1.2, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Morgan County  6,***,"1,434.3 (1,384.3, 1,485.6)","11 (4, 33)",634,stable,"-0.7 (-1.4, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Dallas County  6,***,"1,430.5 (1,345.5, 1,519.6)","12 (2, 47)",218,stable,"0.1 (-1.0, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Calhoun County  6,***,"1,419.5 (1,368.8, 1,471.5)","13 (5, 36)",611,stable,"0.1 (-0.4, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Tallapoosa County  6,***,"1,417.1 (1,338.8, 1,498.7)","14 (3, 47)",254,stable,"0.5 (-0.1, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Wilcox County  6,***,"1,413.3 (1,257.3, 1,583.6)","15 (1, 63)",62,stable,"0.2 (-1.5, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
St. Clair County  6,***,"1,404.5 (1,345.4, 1,465.6)","16 (5, 44)",442,stable,"-0.3 (-0.7, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Clay County  6,***,"1,398.1 (1,263.7, 1,543.0)","17 (2, 62)",80,stable,"-0.6 (-1.9, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Etowah County  6,***,"1,396.2 (1,344.4, 1,449.4)","18 (6, 43)",565,stable,"-0.3 (-0.9, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Bibb County  6,***,"1,391.4 (1,277.0, 1,513.4)","19 (2, 59)",112,stable,"0.0 (-1.2, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Clarke County  6,***,"1,390.2 (1,288.2, 1,498.2)","20 (3, 56)",139,stable,"-0.3 (-0.8, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Barbour County  6,***,"1,390.0 (1,287.6, 1,498.5)","21 (3, 56)",141,stable,"0.3 (-0.9, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Geneva County  6,***,"1,388.5 (1,291.6, 1,490.9)","22 (3, 55)",155,falling,"-1.3 (-2.5, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Escambia County  6,***,"1,382.4 (1,296.3, 1,472.8)","23 (4, 55)",195,falling,"-0.8 (-1.4, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Pickens County  6,***,"1,379.0 (1,266.4, 1,499.0)","24 (2, 60)",112,stable,"0.1 (-0.9, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Sumter County  6,***,"1,378.3 (1,231.7, 1,537.6)","25 (2, 64)",67,stable,"1.2 (-0.4, 2.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Henry County  6,***,"1,378.0 (1,259.9, 1,504.3)","26 (2, 60)",105,stable,"-1.1 (-2.3, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Baldwin County  6,***,"1,377.3 (1,341.9, 1,413.3)","27 (12, 42)",1186,stable,"0.0 (-0.5, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Marion County  6,***,"1,367.8 (1,279.4, 1,460.8)","28 (5, 57)",180,rising,"0.9 (0.1, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Dale County  6,***,"1,364.3 (1,287.7, 1,444.3)","29 (6, 54)",242,stable,"-0.3 (-1.4, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Montgomery County  6,***,"1,363.7 (1,325.7, 1,402.5)","30 (13, 45)",1009,stable,"0.4 (-0.2, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Jefferson County  6,***,"1,363.1 (1,341.3, 1,385.2)","31 (18, 42)",3100,falling,"-0.9 (-1.1, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Limestone County  6,***,"1,360.2 (1,302.5, 1,419.8)","32 (10, 51)",433,stable,"-0.1 (-0.8, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Pike County  6,***,"1,359.2 (1,259.4, 1,464.9)","33 (4, 60)",141,stable,"0.6 (-0.2, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Greene County  6,***,"1,348.8 (1,183.6, 1,530.6)","34 (2, 66)",51,stable,"0.1 (-1.8, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Tuscaloosa County  6,***,"1,342.3 (1,300.3, 1,385.5)","35 (16, 51)",806,falling,"-1.0 (-1.4, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cleburne County  6,***,"1,341.7 (1,213.9, 1,479.5)","36 (3, 65)",82,stable,"0.3 (-1.3, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Talladega County  6,***,"1,341.4 (1,283.0, 1,401.9)","37 (12, 54)",411,falling,"-1.3 (-2.2, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Marengo County  6,***,"1,328.7 (1,216.7, 1,448.4)","38 (4, 64)",106,stable,"0.1 (-0.8, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Choctaw County  6,***,"1,327.7 (1,199.9, 1,465.6)","39 (4, 66)",81,stable,"1.2 (0.0, 2.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Mobile County  6,***,"1,326.6 (1,299.8, 1,353.9)","40 (25, 49)",1925,falling,"-1.7 (-2.3, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Covington County  6,***,"1,326.6 (1,247.6, 1,409.3)","41 (9, 60)",214,stable,"0.1 (-0.8, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Madison County  6,***,"1,326.1 (1,296.8, 1,355.8)","42 (24, 50)",1610,stable,"-0.3 (-0.8, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Houston County  6,***,"1,325.4 (1,274.3, 1,378.1)","43 (17, 56)",518,falling,"-1.1 (-1.7, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Jackson County  6,***,"1,322.1 (1,253.5, 1,393.4)","44 (12, 58)",287,stable,"0.4 (-0.6, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Colbert County  6,***,"1,315.2 (1,248.6, 1,384.4)","45 (15, 59)",298,stable,"0.7 (-0.2, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Blount County  6,***,"1,311.1 (1,243.6, 1,381.3)","46 (15, 60)",289,stable,"-0.3 (-1.2, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Marshall County  6,***,"1,310.1 (1,256.4, 1,365.5)","47 (19, 58)",457,falling,"-0.6 (-1.0, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Fayette County  6,***,"1,266.8 (1,152.1, 1,390.0)","48 (9, 66)",92,stable,"-0.1 (-1.6, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Conecuh County  6,***,"1,261.5 (1,132.5, 1,401.3)","49 (8, 67)",72,stable,"-0.5 (-1.5, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Perry County  6,***,"1,254.5 (1,096.5, 1,429.0)","50 (4, 67)",47,stable,"-0.1 (-2.1, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Butler County  6,***,"1,248.8 (1,140.9, 1,364.3)","51 (14, 66)",102,stable,"0.5 (-0.8, 1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cullman County  6,***,"1,247.2 (1,192.5, 1,303.8)","52 (33, 64)",400,stable,"-0.3 (-0.9, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Coffee County  6,***,"1,246.3 (1,174.8, 1,321.0)","53 (29, 66)",232,stable,"-0.2 (-1.2, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Shelby County  6,***,"1,246.1 (1,208.2, 1,284.9)","54 (42, 63)",859,falling,"-1.0 (-1.5, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Franklin County  6,***,"1,245.2 (1,153.8, 1,342.0)","55 (17, 66)",139,stable,"-0.4 (-1.2, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Russell County  6,***,"1,244.4 (1,172.2, 1,320.0)","56 (28, 66)",231,stable,"-0.5 (-2.8, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Washington County  6,***,"1,235.4 (1,117.1, 1,362.9)","57 (12, 67)",82,falling,"-2.1 (-3.2, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lauderdale County  6,***,"1,229.7 (1,179.6, 1,281.3)","58 (42, 65)",464,falling,"-1.0 (-1.7, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Chilton County  6,***,"1,226.9 (1,149.5, 1,308.1)","59 (30, 66)",193,stable,"-0.6 (-1.7, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Randolph County  6,***,"1,216.8 (1,119.2, 1,320.7)","60 (24, 67)",117,stable,"-3.2 (-6.3, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Monroe County  6,***,"1,194.2 (1,093.9, 1,301.2)","61 (30, 67)",107,stable,"0.3 (-0.8, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
DeKalb County  6,***,"1,174.7 (1,115.7, 1,236.0)","62 (48, 67)",306,falling,"-1.5 (-2.2, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Winston County  6,***,"1,170.2 (1,078.9, 1,267.2)","63 (40, 67)",124,falling,"-2.5 (-3.5, -1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Lee County  6,***,"1,169.1 (1,121.6, 1,218.1)","64 (51, 67)",482,stable,"-0.6 (-1.4, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Hale County  6,***,"1,161.8 (1,043.2, 1,290.4)","65 (30, 67)",72,stable,"-0.2 (-2.1, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Cherokee County  6,***,"1,146.7 (1,061.0, 1,237.5)","66 (47, 67)",138,stable,"-0.8 (-2.0, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Coosa County  6,***,"1,010.1 (889.3, 1,142.9)","67 (58, 67)",52,stable,"-1.7 (-3.8, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,,
Alabama  6,***,"239.7 (237.7, 241.7)",,12159,stable,"-0.3 (-4.4, 3.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
US (SEER+NPCR)  1,***,"227.6 (227.4, 227.9)",,750329,stable,"-0.7 (-1.8, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
Lowndes County  6,***,"339.4 (289.0, 396.4)","1 (1, 21)",37,rising,"2.4 (0.1, 4.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,,
