County,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate†cases per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Incidence Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Area,Parish
Marengo County  6,***,"530.7 (472.5, 594.7)","23 (2, 64)",65,stable,"-0.1 (-1.3, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Montgomery County  6,***,"528.6 (509.2, 548.5)","24 (11, 46)",593,stable,"0.1 (-0.4, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Jefferson County  6,***,"527.5 (516.4, 538.9)","25 (15, 39)",1815,falling,"-1.3 (-1.7, -1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Talladega County  6,***,"527.2 (497.4, 558.3)","26 (8, 54)",254,falling,"-1.8 (-3.1, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
St. Clair County  6,***,"526.6 (497.7, 556.8)","27 (9, 51)",268,stable,"-0.7 (-1.4, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Geneva County  6,***,"524.1 (475.9, 576.2)","28 (3, 62)",93,stable,"5.0 (-1.7, 12.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Etowah County  6,***,"523.3 (497.4, 550.3)","29 (10, 53)",326,stable,"-6.5 (-14.0, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Limestone County  6,***,"522.7 (494.3, 552.4)","30 (10, 54)",273,stable,"-0.9 (-1.8, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Escambia County  6,***,"521.5 (479.5, 566.4)","31 (5, 61)",119,falling,"-1.7 (-2.8, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Clay County  6,***,"520.8 (454.6, 594.9)","32 (2, 66)",47,stable,"-0.9 (-2.5, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Houston County  6,***,"518.5 (492.4, 545.7)","33 (11, 53)",313,falling,"-1.6 (-2.3, -1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Tuscaloosa County  6,***,"516.3 (495.2, 538.0)","34 (14, 52)",493,falling,"-1.2 (-2.0, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Winston County  6,***,"510.8 (461.2, 564.8)","35 (5, 65)",84,stable,"-0.6 (-2.2, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Barbour County  6,***,"510.1 (460.8, 563.6)","36 (5, 65)",84,stable,"-1.1 (-2.4, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Colbert County  6,***,"508.7 (474.8, 544.6)","37 (11, 62)",177,stable,"0.8 (-0.2, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Dale County  6,***,"507.4 (470.1, 547.0)","38 (9, 63)",144,stable,"-1.4 (-2.8, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Marshall County  6,***,"507.2 (480.0, 535.5)","39 (13, 60)",276,stable,"-0.7 (-1.4, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Marion County  6,***,"507.1 (463.7, 553.9)","40 (8, 64)",106,stable,"0.4 (-1.0, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Cleburne County  6,***,"506.5 (443.4, 576.8)","41 (3, 66)",50,stable,"-0.2 (-1.9, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Baldwin County  6,***,"506.3 (489.2, 523.9)","42 (21, 54)",704,stable,"-0.3 (-0.9, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Mobile County  6,***,"504.3 (490.8, 518.1)","43 (24, 52)",1136,falling,"-2.0 (-2.4, -1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Fayette County  6,***,"503.7 (443.8, 570.1)","44 (4, 66)",55,stable,"0.0 (-1.3, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Covington County  6,***,"501.0 (460.7, 544.2)","45 (10, 64)",122,stable,"-0.3 (-1.6, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Jackson County  6,***,"500.6 (466.3, 536.9)","46 (12, 63)",171,stable,"0.1 (-1.2, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Greene County  6,***,"493.1 (408.6, 591.3)","47 (2, 67)",27,stable,"-0.8 (-3.3, 1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Franklin County  6,***,"490.0 (443.8, 539.8)","48 (10, 66)",86,stable,"-0.6 (-1.8, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Blount County  6,***,"483.7 (451.0, 518.2)","49 (21, 65)",172,falling,"-1.1 (-2.0, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Washington County  6,***,"481.5 (422.4, 547.1)","50 (8, 67)",52,falling,"-2.1 (-3.6, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Russell County  6,***,"481.0 (444.4, 519.9)","51 (19, 66)",138,stable,"-1.4 (-3.5, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Shelby County  6,***,"480.7 (462.0, 500.0)","52 (34, 63)",535,falling,"-1.3 (-1.9, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Pickens County  6,***,"479.8 (425.7, 539.3)","53 (10, 67)",61,falling,"-1.8 (-3.0, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Butler County  6,***,"475.7 (420.4, 536.8)","54 (10, 67)",58,stable,"0.2 (-1.7, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Conecuh County  6,***,"474.1 (408.6, 548.1)","55 (6, 67)",42,stable,"-1.4 (-3.0, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Cullman County  6,***,"474.0 (446.6, 502.7)","56 (32, 65)",238,stable,"-0.5 (-1.2, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Monroe County  6,***,"470.9 (418.7, 528.3)","57 (10, 67)",64,stable,"-0.4 (-1.9, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Madison County  6,***,"469.8 (455.8, 484.2)","58 (44, 64)",902,falling,"-0.9 (-1.5, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Coffee County  6,***,"469.7 (434.5, 507.0)","59 (24, 66)",138,stable,"-0.7 (-1.7, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Lauderdale County  6,***,"469.1 (443.5, 495.9)","60 (35, 65)",268,falling,"-1.6 (-2.5, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Randolph County  6,***,"467.1 (417.5, 521.4)","61 (15, 67)",70,falling,"-3.8 (-7.3, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Chilton County  6,***,"466.8 (428.8, 507.4)","62 (24, 67)",118,falling,"-1.4 (-2.3, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Hale County  6,***,"454.8 (393.4, 523.8)","63 (12, 67)",44,falling,"-5.8 (-10.1, -1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Lee County  6,***,"453.8 (430.2, 478.3)","64 (46, 66)",304,stable,"-0.8 (-1.7, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Cherokee County  6,***,"425.2 (383.2, 471.2)","65 (44, 67)",84,falling,"-1.6 (-2.9, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
DeKalb County  6,***,"419.8 (391.7, 449.4)","66 (56, 67)",176,falling,"-2.9 (-4.1, -1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Coosa County  6,***,"389.8 (328.5, 460.7)","67 (47, 67)",32,falling,"-2.4 (-4.4, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
Alabama  6,***,"404.1 (400.9, 407.4)",,12742,rising,"0.4 (0.1, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
US (SEER+NPCR)  1,***,"422.7 (422.3, 423.2)",,843265,stable,"-0.8 (-1.6, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Lowndes County  6,***,"504.8 (428.3, 591.6)","1 (1, 45)",35,rising,"2.2 (0.5, 3.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Pickens County  6,***,"504.8 (450.0, 564.8)","2 (1, 28)",68,rising,"3.1 (1.1, 5.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Crenshaw County  6,***,"497.5 (433.4, 569.2)","3 (1, 39)",48,rising,"3.4 (1.6, 5.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Bullock County  6,***,"475.1 (397.2, 564.5)","4 (1, 61)",29,stable,"-5.3 (-23.9, 17.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Walker County  6,***,"469.2 (439.9, 500.0)","5 (1, 26)",212,stable,"0.9 (0.0, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Greene County  6,***,"463.6 (383.5, 556.4)","6 (1, 64)",29,stable,"2.1 (0.0, 4.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Clay County  6,***,"458.3 (395.4, 529.1)","7 (1, 58)",43,stable,"0.3 (-1.3, 1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Lamar County  6,***,"445.4 (386.5, 511.5)","8 (1, 60)",46,stable,"1.5 (-0.3, 3.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Tallapoosa County  6,***,"440.0 (404.3, 478.3)","9 (2, 48)",128,rising,"1.2 (0.3, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Lawrence County  6,***,"439.8 (400.4, 482.3)","10 (2, 51)",100,stable,"0.4 (-0.8, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Elmore County  6,***,"439.7 (413.4, 467.2)","11 (3, 38)",219,stable,"0.7 (-0.4, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
St. Clair County  6,***,"438.2 (413.2, 464.5)","12 (3, 40)",243,stable,"-0.4 (-3.6, 2.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Chambers County  6,***,"437.8 (399.5, 479.1)","13 (2, 52)",107,stable,"1.0 (-0.5, 2.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Madison County  6,***,"433.1 (420.6, 445.9)","14 (7, 30)",952,rising,"0.8 (0.2, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Conecuh County  6,***,"431.8 (368.8, 503.2)","15 (1, 64)",39,stable,"0.9 (-1.1, 2.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Autauga County  6,***,"430.3 (399.1, 463.4)","16 (3, 52)",145,stable,"0.6 (-0.2, 1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Morgan County  6,***,"426.4 (405.5, 448.2)","17 (6, 41)",334,stable,"0.4 (-0.4, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Dallas County  6,***,"426.3 (390.9, 464.1)","18 (3, 55)",117,stable,"0.7 (-0.5, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Etowah County  6,***,"426.0 (404.0, 448.9)","19 (6, 44)",307,stable,"0.7 (0.0, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Dale County  6,***,"425.2 (392.4, 460.0)","20 (4, 53)",133,rising,"1.4 (0.5, 2.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Marion County  6,***,"424.6 (384.9, 467.7)","21 (3, 59)",94,stable,"1.3 (-0.1, 2.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Calhoun County  6,***,"423.9 (402.8, 445.8)","22 (6, 45)",329,stable,"0.8 (0.0, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Covington County  6,***,"423.4 (387.7, 461.7)","23 (3, 57)",118,stable,"-8.5 (-18.6, 3.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Jackson County  6,***,"421.1 (390.2, 453.9)","24 (4, 54)",154,stable,"1.0 (-0.4, 2.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Macon County  6,***,"419.6 (368.1, 476.9)","25 (2, 64)",56,stable,"1.6 (-0.4, 3.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Limestone County  6,***,"415.3 (391.3, 440.4)","26 (8, 51)",233,rising,"0.9 (0.1, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Baldwin County  6,***,"415.2 (399.8, 430.9)","27 (11, 45)",610,rising,"0.7 (0.1, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Wilcox County  6,***,"412.1 (346.1, 487.7)","28 (1, 67)",31,stable,"-0.2 (-1.8, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Marshall County  6,***,"410.7 (387.3, 435.2)","29 (9, 53)",249,stable,"-2.1 (-6.6, 2.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Clarke County  6,***,"408.1 (365.2, 455.1)","30 (4, 64)",72,stable,"0.2 (-1.1, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Geneva County  6,***,"403.2 (362.2, 447.9)","31 (4, 63)",78,stable,"0.5 (-0.9, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Talladega County  6,***,"402.8 (378.3, 428.7)","32 (11, 58)",217,stable,"0.3 (-0.6, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Cullman County  6,***,"402.5 (378.1, 428.2)","33 (10, 58)",221,stable,"0.8 (0.0, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Bibb County  6,***,"402.1 (354.4, 454.9)","34 (4, 66)",55,stable,"0.5 (-1.3, 2.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Jefferson County  6,***,"398.5 (389.8, 407.4)","35 (25, 50)",1705,falling,"-0.4 (-0.6, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Butler County  6,***,"398.3 (350.7, 450.9)","36 (4, 65)",57,stable,"0.9 (-0.7, 2.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Sumter County  6,***,"398.1 (335.1, 469.8)","37 (2, 67)",34,stable,"1.5 (-0.7, 3.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Barbour County  6,***,"398.0 (354.1, 446.1)","38 (5, 66)",68,stable,"0.8 (-0.6, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Lauderdale County  6,***,"397.4 (374.7, 421.2)","39 (15, 59)",259,rising,"3.7 (0.9, 6.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Montgomery County  6,***,"397.2 (382.2, 412.7)","40 (22, 55)",558,stable,"0.5 (-0.1, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Colbert County  6,***,"394.3 (365.7, 424.7)","41 (12, 62)",156,stable,"0.7 (-0.1, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Mobile County  6,***,"394.0 (383.1, 405.2)","42 (27, 54)",1042,stable,"-0.1 (-0.5, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Blount County  6,***,"392.2 (363.8, 422.4)","43 (12, 62)",152,stable,"0.7 (-0.6, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Marengo County  6,***,"392.1 (344.5, 444.7)","44 (5, 66)",54,stable,"0.9 (-0.3, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Fayette County  6,***,"391.5 (341.1, 448.1)","45 (4, 67)",49,stable,"1.0 (-1.1, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Henry County  6,***,"390.1 (340.1, 446.0)","46 (5, 67)",50,stable,"-0.3 (-1.8, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Cleburne County  6,***,"387.5 (334.3, 447.4)","47 (4, 67)",41,stable,"0.6 (-1.9, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Escambia County  6,***,"385.7 (350.6, 423.6)","48 (10, 65)",96,stable,"-0.3 (-1.4, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Tuscaloosa County  6,***,"385.4 (368.9, 402.4)","49 (28, 60)",433,stable,"-0.5 (-1.1, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Houston County  6,***,"382.0 (361.2, 403.7)","50 (23, 63)",270,stable,"-0.5 (-1.3, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Coffee County  6,***,"380.7 (350.8, 412.5)","51 (19, 65)",127,stable,"1.0 (0.0, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
DeKalb County  6,***,"380.2 (354.5, 407.4)","52 (22, 64)",173,stable,"0.3 (-0.8, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Monroe County  6,***,"379.9 (335.2, 429.4)","53 (7, 67)",58,stable,"1.3 (-0.4, 3.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Franklin County  6,***,"377.3 (338.7, 419.2)","54 (9, 67)",75,stable,"0.3 (-1.0, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Choctaw County  6,***,"372.2 (316.9, 435.2)","55 (6, 67)",38,rising,"2.1 (0.4, 3.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Randolph County  6,***,"370.4 (327.8, 417.5)","56 (12, 67)",61,stable,"0.2 (-1.4, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Pike County  6,***,"370.2 (331.2, 412.6)","57 (14, 67)",70,stable,"0.6 (-0.5, 1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Chilton County  6,***,"368.3 (335.9, 403.1)","58 (23, 67)",101,stable,"0.3 (-1.3, 1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Shelby County  6,***,"367.3 (352.2, 382.9)","59 (42, 64)",465,stable,"-0.3 (-0.9, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Russell County  6,***,"366.6 (338.0, 397.0)","60 (26, 66)",128,stable,"0.2 (-2.2, 2.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Perry County  6,***,"357.3 (291.3, 434.5)","61 (5, 67)",24,stable,"0.4 (-2.0, 2.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Washington County  6,***,"353.4 (304.3, 408.7)","62 (12, 67)",40,stable,"0.8 (-0.8, 2.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Cherokee County  6,***,"352.5 (313.7, 395.4)","63 (25, 67)",68,stable,"0.1 (-1.9, 2.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Lee County  6,***,"331.2 (313.2, 350.1)","64 (58, 67)",262,falling,"-3.7 (-5.9, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Coosa County  6,***,"331.2 (274.0, 398.3)","65 (15, 67)",27,stable,"0.1 (-2.7, 3.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Winston County  6,***,"326.8 (286.7, 371.4)","66 (37, 67)",55,stable,"-1.5 (-3.1, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
Hale County  6,***,"324.6 (276.0, 379.9)","67 (25, 67)",35,stable,"-0.3 (-2.5, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
,***,"440.7 (429.9, 451.7)","43 (39, 47)",1541,falling,"-2.2 (-2.6, -1.7)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Alaska  6,
,***,"487.4 (486.9, 487.8)",,859984,falling,"-1.1 (-1.7, -0.5)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,US (SEER+NPCR)  1,
,***,"611.9 (489.3, 756.2)","1 (1, 12)",20,stable,"0.2 (-3.2, 3.8)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Yukon-Koyukuk Census Area  6,
,***,"498.3 (336.5, 703.5)","2 (1, 24)",10,stable,"0.0 (-5.0, 5.3)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Wade Hampton Census Area  6,
,***,"495.7 (387.2, 621.2)","3 (1, 22)",26,stable,"-0.3 (-4.0, 3.5)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Bethel Census Area  6,
,***,"491.8 (373.3, 632.4)","4 (1, 22)",17,stable,"-0.9 (-3.7, 2.1)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Nome Census Area  6,
,***,"483.7 (276.5, 783.7)","5 (1, 24)",4,*,*,Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Lake and Peninsula Borough  6,
,***,"479.0 (445.6, 514.3)","6 (2, 14)",182,rising,"4.3 (0.1, 8.7)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Kenai Peninsula Borough  6,
