,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Incidence Rates
23,Bullock County  6,32,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,532.6 ,22 ,1.4 
24,Marengo County  6,65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.7 ,23 ,-0.1 
25,Montgomery County  6,593,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,528.6 ,24 ,0.1 
26,Jefferson County  6,1815,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.5 ,25 ,-1.3 
27,Talladega County  6,254,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,527.2 ,26 ,-1.8 
28,St. Clair County  6,268,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.6 ,27 ,-0.7 
29,Geneva County  6,93,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,524.1 ,28 ,5.0 
30,Etowah County  6,326,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,523.3 ,29 ,-6.5 
31,Limestone County  6,273,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.7 ,30 ,-0.9 
32,Escambia County  6,119,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,521.5 ,31 ,-1.7 
33,Clay County  6,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,520.8 ,32 ,-0.9 
34,Houston County  6,313,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,518.5 ,33 ,-1.6 
35,Tuscaloosa County  6,493,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,516.3 ,34 ,-1.2 
36,Winston County  6,84,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.8 ,35 ,-0.6 
37,Barbour County  6,84,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,510.1 ,36 ,-1.1 
38,Colbert County  6,177,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,508.7 ,37 ,0.8 
39,Dale County  6,144,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.4 ,38 ,-1.4 
40,Marshall County  6,276,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.2 ,39 ,-0.7 
41,Marion County  6,106,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,507.1 ,40 ,0.4 
42,Cleburne County  6,50,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.5 ,41 ,-0.2 
43,Baldwin County  6,704,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,506.3 ,42 ,-0.3 
44,Mobile County  6,1136,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,504.3 ,43 ,-2.0 
45,Fayette County  6,55,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,503.7 ,44 ,0.0 
46,Covington County  6,122,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,501.0 ,45 ,-0.3 
47,Jackson County  6,171,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,500.6 ,46 ,0.1 
48,Greene County  6,27,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,493.1 ,47 ,-0.8 
49,Franklin County  6,86,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,490.0 ,48 ,-0.6 
50,Blount County  6,172,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,483.7 ,49 ,-1.1 
51,Washington County  6,52,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.5 ,50 ,-2.1 
52,Russell County  6,138,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,481.0 ,51 ,-1.4 
53,Shelby County  6,535,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,480.7 ,52 ,-1.3 
54,Pickens County  6,61,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,479.8 ,53 ,-1.8 
55,Butler County  6,58,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,475.7 ,54 ,0.2 
56,Conecuh County  6,42,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.1 ,55 ,-1.4 
57,Cullman County  6,238,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,474.0 ,56 ,-0.5 
58,Monroe County  6,64,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,470.9 ,57 ,-0.4 
59,Madison County  6,902,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.8 ,58 ,-0.9 
60,Coffee County  6,138,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.7 ,59 ,-0.7 
61,Lauderdale County  6,268,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,469.1 ,60 ,-1.6 
62,Randolph County  6,70,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,467.1 ,61 ,-3.8 
63,Chilton County  6,118,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,466.8 ,62 ,-1.4 
64,Hale County  6,44,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,454.8 ,63 ,-5.8 
65,Lee County  6,304,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,453.8 ,64 ,-0.8 
66,Cherokee County  6,84,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.2 ,65 ,-1.6 
67,DeKalb County  6,176,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.8 ,66 ,-2.9 
68,Coosa County  6,32,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,389.8 ,67 ,-2.4 
2,Lowndes County  6,35,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,1 ,2.2 
3,Pickens County  6,68,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 ,2 ,3.1 
4,Crenshaw County  6,48,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.5 ,3 ,3.4 
5,Bullock County  6,29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.1 ,4 ,-5.3 
6,Walker County  6,212,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 ,5 ,0.9 
7,Greene County  6,29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.6 ,6 ,2.1 
8,Clay County  6,43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,458.3 ,7 ,0.3 
9,Lamar County  6,46,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.4 ,8 ,1.5 
10,Tallapoosa County  6,128,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.0 ,9 ,1.2 
11,Lawrence County  6,100,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.8 ,10 ,0.4 
12,Elmore County  6,219,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 ,11 ,0.7 
13,St. Clair County  6,243,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.2 ,12 ,-0.4 
14,Chambers County  6,107,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.8 ,13 ,1.0 
15,Madison County  6,952,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.1 ,14 ,0.8 
16,Conecuh County  6,39,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.8 ,15 ,0.9 
17,Autauga County  6,145,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.3 ,16 ,0.6 
18,Morgan County  6,334,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.4 ,17 ,0.4 
19,Dallas County  6,117,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 ,18 ,0.7 
20,Etowah County  6,307,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.0 ,19 ,0.7 
21,Dale County  6,133,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.2 ,20 ,1.4 
22,Marion County  6,94,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 ,21 ,1.3 
23,Calhoun County  6,329,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.9 ,22 ,0.8 
24,Covington County  6,118,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.4 ,23 ,-8.5 
25,Jackson County  6,154,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.1 ,24 ,1.0 
26,Macon County  6,56,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,419.6 ,25 ,1.6 
27,Limestone County  6,233,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.3 ,26 ,0.9 
28,Baldwin County  6,610,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.2 ,27 ,0.7 
29,Wilcox County  6,31,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.1 ,28 ,-0.2 
30,Marshall County  6,249,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.7 ,29 ,-2.1 
31,Clarke County  6,72,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.1 ,30 ,0.2 
32,Geneva County  6,78,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.2 ,31 ,0.5 
33,Talladega County  6,217,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.8 ,32 ,0.3 
34,Cullman County  6,221,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.5 ,33 ,0.8 
35,Bibb County  6,55,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.1 ,34 ,0.5 
36,Jefferson County  6,1705,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.5 ,35 ,-0.4 
37,Butler County  6,57,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.3 ,36 ,0.9 
38,Sumter County  6,34,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.1 ,37 ,1.5 
39,Barbour County  6,68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.0 ,38 ,0.8 
40,Lauderdale County  6,259,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.4 ,39 ,3.7 
41,Montgomery County  6,558,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.2 ,40 ,0.5 
42,Colbert County  6,156,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.3 ,41 ,0.7 
43,Mobile County  6,1042,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.0 ,42 ,-0.1 
44,Blount County  6,152,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.2 ,43 ,0.7 
45,Marengo County  6,54,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.1 ,44 ,0.9 
46,Fayette County  6,49,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,391.5 ,45 ,1.0 
47,Henry County  6,50,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.1 ,46 ,-0.3 
48,Cleburne County  6,41,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.5 ,47 ,0.6 
49,Escambia County  6,96,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.7 ,48 ,-0.3 
50,Tuscaloosa County  6,433,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.4 ,49 ,-0.5 
51,Houston County  6,270,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,382.0 ,50 ,-0.5 
52,Coffee County  6,127,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.7 ,51 ,1.0 
53,DeKalb County  6,173,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.2 ,52 ,0.3 
54,Monroe County  6,58,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,379.9 ,53 ,1.3 
55,Franklin County  6,75,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,377.3 ,54 ,0.3 
56,Choctaw County  6,38,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,372.2 ,55 ,2.1 
57,Randolph County  6,61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.4 ,56 ,0.2 
58,Pike County  6,70,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.2 ,57 ,0.6 
59,Chilton County  6,101,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,368.3 ,58 ,0.3 
60,Shelby County  6,465,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.3 ,59 ,-0.3 
61,Russell County  6,128,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 ,60 ,0.2 
62,Perry County  6,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.3 ,61 ,0.4 
63,Washington County  6,40,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,353.4 ,62 ,0.8 
64,Cherokee County  6,68,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,352.5 ,63 ,0.1 
65,Lee County  6,262,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 ,64 ,-3.7 
66,Coosa County  6,27,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 ,65 ,0.1 
67,Winston County  6,55,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,326.8 ,66 ,-1.5 
68,Hale County  6,35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,324.6 ,67 ,-0.3 
2,Mohave County  6,869,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,447.6 ,1 ,-5.8 
3,Yavapai County  6,912,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.3 ,2 ,-1.1 
4,Pima County  6,2663,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,423.4 ,3 ,-1.0 
5,Cochise County  6,377,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.4 ,4 ,1.0 
6,Maricopa County  6,9131,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,414.4 ,5 ,-1.6 
7,Yuma County  6,500,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,399.5 ,6 ,-0.8 
8,Greenlee County  6,18,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,385.2 ,7 ,-2.6 
9,Coconino County  6,245,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,382.7 ,8 ,-1.3 
10,Pinal County  6,1039,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,375.1 ,9 ,-1.6 
11,Graham County  6,69,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,363.8 ,10 ,-10.6 
12,Navajo County  6,227,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,359.9 ,11 ,-0.7 
13,Santa Cruz County  6,94,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,358.6 ,12 ,-0.9 
14,Gila County  6,157,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,333.3 ,13 ,-2.3 
15,La Paz County  6,76,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,328.7 ,14 ,-1.5 
16,Apache County  6,108,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,287.4 ,15 ,-1.8 
2,Greenlee County  6,19,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.5 ,1 ,0.7 
3,Mohave County  6,696,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.3 ,2 ,-6.1 
4,Yavapai County  6,793,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.3 ,3 ,-0.3 
5,Graham County  6,74,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.4 ,4 ,-5.7 
6,Maricopa County  6,9272,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,376.7 ,5 ,-1.1 
7,Pima County  6,2545,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.5 ,6 ,-0.4 
8,Cochise County  6,315,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,354.8 ,7 ,-0.5 
9,Yuma County  6,421,rising,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.2 ,8 ,0.8 
10,Coconino County  6,238,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.1 ,9 ,-0.3 
11,Pinal County  6,888,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,335.9 ,10 ,-0.6 
12,Gila County  6,145,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,325.9 ,11 ,-0.7 
13,Navajo County  6,209,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,310.9 ,12 ,-0.5 
14,Santa Cruz County  6,92,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,308.7 ,13 ,-0.4 
15,La Paz County  6,52,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,299.7 ,14 ,1.2 
16,Apache County  6,105,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,260.6 ,15 ,0.5 
2,Woodruff County  6,32,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,711.1 ,1 ,0.4 
3,Cleveland County  6,40,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,707.0 ,2 ,12.8 
4,Monroe County  6,35,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,691.7 ,3 ,0.0 
5,Ouachita County  6,107,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,678.2 ,4 ,0.4 
6,Lawrence County  6,68,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,657.4 ,5 ,1.1 
7,Desha County  6,47,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,641.3 ,6 ,12.2 
8,Jefferson County  6,261,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,638.5 ,7 ,0.3 
9,Poinsett County  6,91,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,636.4 ,8 ,0.4 
10,Drew County  6,66,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,629.3 ,9 ,9.5 
11,Clark County  6,77,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,624.2 ,10 ,1.9 
12,Randolph County  6,68,rising,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,610.3 ,11 ,6.3 
13,Lonoke County  6,215,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,609.3 ,12 ,-0.1 
14,Arkansas County  6,71,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,608.6 ,13 ,0.0 
15,Clay County  6,59,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,587.1 ,14 ,0.8 
16,Chicot County  6,42,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,583.6 ,15 ,1.5 
17,Grant County  6,67,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,580.7 ,16 ,-1.1 
18,Pulaski County  6,1171,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.3 ,17 ,-0.8 
19,Garland County  6,415,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.0 ,18 ,-0.3 
20,Prairie County  6,36,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.8 ,19 ,-0.3 
21,Greene County  6,142,rising,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.0 ,20 ,5.4 
22,Van Buren County  6,81,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.3 ,21 ,0.7 
23,Ashley County  6,79,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.2 ,22 ,0.3 
24,Cleburne County  6,122,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,571.0 ,23 ,-0.1 
25,Cross County  6,57,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,570.1 ,24 ,0.2 
26,White County  6,243,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,569.5 ,25 ,-1.3 
27,Faulkner County  6,309,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.6 ,26 ,-0.6 
28,Union County  6,136,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,566.8 ,27 ,0.3 
29,Mississippi County  6,124,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,565.7 ,28 ,0.4 
30,Independence County  6,122,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,554.0 ,29 ,-0.8 
31,Dallas County  6,29,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,553.5 ,30 ,-1.3 
32,Craighead County  6,268,rising,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.4 ,31 ,3.4 
33,Saline County  6,387,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.2 ,32 ,-0.8 
34,Jackson County  6,56,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.6 ,33 ,-0.9 
35,Bradley County  6,38,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.0 ,34 ,1.4 
36,Phillips County  6,61,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 ,35 ,0.9 
37,Pike County  6,39,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.0 ,36 ,-1.2 
38,Sharp County  6,76,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,536.9 ,37 ,-0.3 
39,Polk County  6,78,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,531.7 ,38 ,-0.2 
40,Perry County  6,38,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.1 ,39 ,-1.7 
41,Hot Spring County  6,115,rising,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.0 ,40 ,8.6 
42,Pope County  6,181,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.9 ,41 ,-0.5 
43,Nevada County  6,31,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.7 ,42 ,-0.6 
44,Logan County  6,77,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,522.0 ,43 ,-1.1 
45,Baxter County  6,202,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,519.1 ,44 ,0.1 
46,Stone County  6,55,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,517.6 ,45 ,-0.1 
47,Calhoun County  6,19,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,515.0 ,46 ,0.6 
48,Crittenden County  6,123,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,512.4 ,47 ,0.9 
49,Lee County  6,32,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,511.8 ,48 ,0.4 
50,Franklin County  6,59,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,511.7 ,49 ,-0.6 
