,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Death Rates
40,Elmore County,135,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.0 ,39 ,-1.0 
41,Coffee County,90,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.2 ,40 ,-0.9 
42,Cherokee County,67,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,168.3 ,41 ,-0.5 
43,Lee County,186,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.7 ,42 ,-0.8 
44,Sumter County,8,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.7 ,43 ,-0.7 
45,Washington County,28,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.4 ,44 ,-1.0 
46,Monroe County,33,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.7 ,45 ,-1.0 
47,Coosa County,21,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.3 ,46 ,-0.5 
48,DeKalb County,145,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.2 ,47 ,1.5 
49,Jefferson County,817,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.5 ,48 ,-1.3 
50,Winston County,59,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.9 ,49 ,-1.1 
51,Wilcox County,10,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.5 ,50 ,-0.4 
52,Autauga County,87,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,160.3 ,51 ,-1.7 
53,Montgomery County,216,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.9 ,52 ,-1.4 
54,Houston County,170,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.1 ,53 ,-8.3 
55,Lauderdale County,191,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.9 ,54 ,-2.9 
56,Madison County,524,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,156.9 ,55 ,-1.5 
57,Baldwin County,445,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,155.8 ,56 ,-1.2 
58,Greene County,6,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,152.3 ,57 ,-0.5 
59,Bullock County,7,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.6 ,58 ,-0.3 
60,Tuscaloosa County,232,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,149.5 ,59 ,-2.6 
61,Butler County,27,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.2 ,60 ,-1.1 
62,Limestone County,144,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.2 ,61 ,-2.5 
63,Cleburne County,30,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,146.0 ,62 ,-1.2 
64,Clarke County,33,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.6 ,63 ,-1.2 
65,Hale County,14,stable,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,144.0 ,64 ,-1.1 
66,Choctaw County,19,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,141.4 ,65 ,-2.0 
67,Pickens County,26,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,137.6 ,66 ,-4.0 
68,Shelby County,285,falling,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,129.4 ,67 ,-1.4 
2,Madison County,6,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,93.6 ,1 ,*
3,Jefferson County,7,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,80.2 ,2 ,*
4,Baldwin County,3,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,68.1 ,3 ,*
5,Shelby County,4,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,58.2 ,4 ,*
6,Autauga County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
7,Barbour County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
8,Bibb County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
9,Blount County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
10,Bullock County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
11,Butler County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
12,Calhoun County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
13,Chambers County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
14,Cherokee County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
15,Chilton County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
16,Choctaw County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
17,Clarke County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
18,Clay County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
19,Cleburne County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
20,Coffee County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
21,Colbert County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
22,Conecuh County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
23,Coosa County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
24,Covington County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
25,Crenshaw County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
26,Cullman County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
27,Dale County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
28,Dallas County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
29,DeKalb County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
30,Elmore County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
31,Escambia County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
32,Etowah County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
33,Fayette County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
34,Franklin County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
35,Geneva County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
36,Greene County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
37,Hale County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
38,Henry County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
39,Houston County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
40,Jackson County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
41,Lamar County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
42,Lauderdale County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
43,Lawrence County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
44,Lee County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
45,Limestone County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
46,Lowndes County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
47,Macon County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
48,Marengo County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
49,Marion County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
50,Marshall County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
51,Mobile County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
52,Monroe County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
53,Montgomery County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
54,Morgan County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
55,Perry County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
56,Pickens County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
57,Pike County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
58,Randolph County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
59,Russell County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
60,St. Clair County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
61,Sumter County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
62,Talladega County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
63,Tallapoosa County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
64,Tuscaloosa County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
65,Walker County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
66,Washington County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
67,Wilcox County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
68,Winston County,3 or fewer,*,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,*,*,*
2,Crenshaw County,32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,214.0 ,1 ,0.1 
3,Walker County,180,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,213.9 ,2 ,-0.2 
4,Macon County,10,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,204.9 ,3 ,-0.2 
5,Russell County,77,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.6 ,4 ,-0.6 
6,Escambia County,70,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,201.0 ,5 ,-0.4 
7,Jackson County,138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,200.7 ,6 ,-0.5 
8,Chambers County,62,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,199.4 ,7 ,-0.5 
9,Dallas County,41,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,198.8 ,8 ,-0.3 
10,Lawrence County,73,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.3 ,9 ,-0.5 
11,Barbour County,40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.6 ,10 ,-0.7 
12,Geneva County,67,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.5 ,11 ,-0.3 
13,Henry County,38,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.1 ,12 ,-0.2 
14,Fayette County,40,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.0 ,13 ,-0.3 
15,Talladega County,147,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.9 ,14 ,-0.6 
16,Blount County,138,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.8 ,15 ,-0.8 
17,Bibb County,42,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.7 ,16 ,-0.8 
18,Lamar County,36,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,186.3 ,17 ,-0.4 
19,Clay County,32,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.0 ,18 ,-0.4 
20,Covington County,92,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.2 ,19 ,-0.5 
21,Calhoun County,223,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.1 ,20 ,-1.4 
22,Marengo County,27,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.0 ,21 ,-0.9 
23,Colbert County,121,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,22 ,-0.7 
24,Etowah County,224,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.9 ,23 ,-0.6 
25,Marion County,80,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.3 ,24 ,-0.4 
26,St. Clair County,180,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.2 ,25 ,-1.2 
27,Franklin County,64,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,181.1 ,26 ,-0.8 
28,Conecuh County,22,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,179.3 ,27 ,-1.4 
29,Pike County,43,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.0 ,28 ,-0.9 
30,Mobile County,589,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.8 ,29 ,-1.4 
31,Marshall County,200,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.6 ,30 ,-0.7 
32,Perry County,9,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,31 ,-0.8 
33,Chilton County,86,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.5 ,32 ,-0.7 
34,Lowndes County,8,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.9 ,33 ,-0.2 
35,Randolph County,48,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.5 ,34 ,-0.4 
36,Dale County,87,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.5 ,35 ,-0.9 
37,Cullman County,186,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.4 ,36 ,-0.7 
38,Tallapoosa County,82,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.1 ,37 ,-0.4 
39,Morgan County,235,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.4 ,38 ,-0.4 
40,Coffee County,90,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.4 ,39 ,-0.9 
41,Elmore County,134,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.8 ,40 ,-1.0 
42,Sumter County,8,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.1 ,41 ,-0.7 
43,Lee County,184,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.9 ,42 ,-0.7 
44,Monroe County,33,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.8 ,43 ,-0.9 
45,Washington County,28,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.5 ,44 ,-0.9 
46,Coosa County,21,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.7 ,45 ,-0.5 
47,DeKalb County,142,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.3 ,46 ,1.3 
48,Cherokee County,66,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.2 ,47 ,-0.5 
49,Jefferson County,809,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.6 ,48 ,-1.2 
50,Winston County,59,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.5 ,49 ,-1.0 
51,Autauga County,87,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.1 ,50 ,-1.7 
52,Wilcox County,10,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.8 ,51 ,-0.4 
53,Montgomery County,215,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.1 ,52 ,-1.3 
54,Houston County,169,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,159.0 ,53 ,-8.3 
55,Madison County,518,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.2 ,54 ,-1.5 
56,Lauderdale County,191,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.1 ,55 ,-2.9 
57,Baldwin County,441,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.3 ,56 ,-1.1 
58,Bullock County,7,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.0 ,57 ,-0.2 
59,Greene County,6,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.9 ,58 ,-0.5 
60,Tuscaloosa County,231,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.3 ,59 ,-2.5 
61,Butler County,27,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,149.4 ,60 ,-1.0 
62,Limestone County,143,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.3 ,61 ,-2.4 
63,Cleburne County,30,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.5 ,62 ,-1.2 
64,Clarke County,33,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.8 ,63 ,-1.2 
65,Hale County,14,stable,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.4 ,64 ,-1.1 
66,Choctaw County,19,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.3 ,65 ,-1.9 
67,Pickens County,26,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,138.8 ,66 ,-4.0 
68,Shelby County,282,falling,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.5 ,67 ,-1.4 
2,Covington County,15,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,286.6 ,1 ,-0.2 
3,Walker County,10,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,281.1 ,2 ,0.4 
4,Fayette County,7,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,274.6 ,3 ,-0.3 
5,Marshall County,4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,244.4 ,4 ,*
6,Wilcox County,21,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,238.0 ,5 ,0.2 
7,Tallapoosa County,29,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,235.9 ,6 ,-1.0 
8,Bullock County,19,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,235.0 ,7 ,-0.3 
9,Clarke County,28,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,227.2 ,8 ,-0.9 
10,Washington County,11,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,222.4 ,9 ,-0.4 
11,Elmore County,26,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.5 ,10 ,-1.0 
12,Lowndes County,19,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.1 ,11 ,-0.6 
13,Baldwin County,38,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,213.5 ,12 ,-1.0 
14,Macon County,43,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,210.2 ,13 ,-1.1 
15,Pike County,23,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,209.8 ,14 ,-1.3 
16,Lee County,60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,205.0 ,15 ,-12.8 
17,Russell County,50,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.2 ,16 ,-1.0 
18,Marengo County,24,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.5 ,17 ,-0.8 
19,Sumter County,22,stable,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.2 ,18 ,-0.5 
20,Morgan County,26,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,202.2 ,19 ,-1.7 
21,Lamar County,4,*,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.9 ,20 ,*
22,Dallas County,60,falling,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.4 ,21 ,-1.4 
