,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Death Rates
32,Blount County,6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.4 ,31 ,-1.0 
33,Lauderdale County,9,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.3 ,32 ,-1.4 
34,Coffee County,6,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,33 ,-1.9 
35,DeKalb County,7,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,34 ,-2.4 
36,Lee County,16,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.1 ,35 ,-1.6 
37,Jefferson County,68,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.9 ,36 ,-1.9 
38,Madison County,38,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.8 ,37 ,-1.5 
39,Baldwin County,20,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.4 ,38 ,-1.8 
40,Tuscaloosa County,18,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,15.3 ,39 ,-2.4 
41,Limestone County,9,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,13.7 ,40 ,-1.8 
42,Dale County,4,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,11.3 ,41 ,-7.6 
43,Shelby County,15,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,10.6 ,42 ,-2.1 
44,Barbour County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
45,Bullock County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
46,Butler County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
47,Choctaw County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
48,Clarke County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
49,Clay County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
50,Cleburne County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
51,Conecuh County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
52,Coosa County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
53,Crenshaw County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
54,Fayette County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
55,Geneva County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
56,Greene County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
57,Hale County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
58,Henry County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
59,Lamar County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
60,Lowndes County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
61,Macon County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
62,Monroe County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
63,Perry County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
64,Pickens County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
65,Sumter County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
66,Washington County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
67,Wilcox County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
68,Winston County,3 or fewer,*,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,*,*,*
2,Walker County,183,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,719.4 ,1 ,-0.2 
3,Bullock County,25,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,699.1 ,2 ,-0.1 
4,Wilcox County,30,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,688.1 ,3 ,0.2 
5,Russell County,123,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,685.3 ,4 ,-0.7 
6,Macon County,51,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.9 ,5 ,-0.9 
7,Crenshaw County,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,664.1 ,6 ,-0.2 
8,Escambia County,91,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,651.1 ,7 ,-1.0 
9,Dallas County,96,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,645.7 ,8 ,-0.9 
10,Fayette County,45,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,641.0 ,9 ,-0.4 
11,Lowndes County,26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,634.1 ,10 ,-0.6 
12,Covington County,103,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.2 ,11 ,-0.5 
13,Lamar County,39,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.1 ,12 ,-0.3 
14,Barbour County,62,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,628.0 ,13 ,-1.1 
15,Jackson County,134,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,626.1 ,14 ,-0.7 
16,Geneva County,70,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,625.8 ,15 ,-0.4 
17,Chambers County,85,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,620.1 ,16 ,-0.7 
18,Talladega County,188,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,619.6 ,17 ,-0.8 
19,Clay County,36,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,617.0 ,18 ,-0.5 
20,Blount County,135,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,613.6 ,19 ,-0.9 
21,Lawrence County,80,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,612.5 ,20 ,-0.6 
22,Washington County,40,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,609.5 ,21 ,-0.7 
23,Marengo County,48,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,606.5 ,22 ,-0.9 
24,Tallapoosa County,107,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.9 ,23 ,-0.6 
25,Marion County,80,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,605.8 ,24 ,-0.2 
26,Pike County,63,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.7 ,25 ,-1.0 
27,Etowah County,245,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,604.0 ,26 ,-1.0 
28,Calhoun County,256,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,603.1 ,27 ,-1.7 
29,Henry County,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,599.5 ,28 ,-0.5 
30,Sumter County,29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,597.5 ,29 ,-0.4 
31,Bibb County,47,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,595.2 ,30 ,-0.7 
32,St. Clair County,181,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,592.4 ,31 ,-0.7 
33,Dale County,104,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,590.6 ,32 ,-0.9 
34,Conecuh County,34,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.9 ,33 ,-1.3 
35,Mobile County,842,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.5 ,34 ,-1.7 
36,Colbert County,134,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,589.2 ,35 ,-0.8 
37,Clarke County,59,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,587.9 ,36 ,-0.8 
38,Lee County,233,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.6 ,37 ,-0.8 
39,Elmore County,150,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,577.5 ,38 ,-1.0 
40,Jefferson County,1299,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.7 ,39 ,-1.3 
41,Chilton County,90,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,574.5 ,40 ,-0.8 
42,Morgan County,249,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,567.1 ,41 ,-0.6 
43,Franklin County,63,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.7 ,42 ,-1.0 
44,Marshall County,195,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,561.3 ,43 ,-0.8 
45,Cullman County,178,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.8 ,44 ,-0.7 
46,Montgomery County,410,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,560.6 ,45 ,-1.4 
47,Monroe County,51,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,558.1 ,46 ,-1.1 
48,Cherokee County,66,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,549.4 ,47 ,-0.7 
49,Perry County,20,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,548.0 ,48 ,-0.3 
50,Coffee County,101,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.6 ,49 ,-1.0 
51,DeKalb County,140,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.5 ,50 ,1.4 
52,Randolph County,53,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,542.7 ,51 ,-0.6 
53,Autauga County,99,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,536.1 ,52 ,-1.8 
54,Houston County,208,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,533.1 ,53 ,-7.1 
55,Baldwin County,466,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,532.2 ,54 ,-1.1 
56,Winston County,56,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.6 ,55 ,-1.2 
57,Lauderdale County,201,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.0 ,56 ,-3.2 
58,Tuscaloosa County,310,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,525.5 ,57 ,-2.2 
59,Butler County,43,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,521.6 ,58 ,-0.7 
60,Coosa County,27,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.8 ,59 ,-1.3 
61,Hale County,31,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,511.0 ,60 ,-1.4 
62,Madison County,608,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,509.2 ,61 ,-1.8 
63,Cleburne County,31,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,500.0 ,62 ,-1.4 
64,Greene County,19,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,498.7 ,63 ,-1.4 
65,Pickens County,41,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,496.5 ,64 ,-3.0 
66,Limestone County,156,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,495.9 ,65 ,-2.4 
67,Choctaw County,30,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,492.9 ,66 ,-1.9 
68,Shelby County,296,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,436.4 ,67 ,-1.5 
2,Macon County,18,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,88.6 ,1 ,-1.5 
3,Lowndes County,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,86.9 ,2 ,-0.7 
4,Marengo County,18,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.7 ,3 ,-0.1 
5,Wilcox County,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.3 ,4 ,-0.5 
6,Sumter County,11,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,84.2 ,5 ,-0.8 
7,Henry County,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,82.6 ,6 ,-0.9 
8,Pike County,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,81.8 ,7 ,-0.4 
9,Perry County,7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.5 ,8 ,-0.6 
10,Jackson County,48,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,80.3 ,9 ,-0.3 
11,Fayette County,15,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.4 ,10 ,-0.6 
12,Dallas County,35,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,79.0 ,11 ,-0.6 
13,Walker County,59,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.5 ,12 ,-0.6 
14,Escambia County,33,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,78.1 ,13 ,-0.2 
15,Crenshaw County,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,77.2 ,14 ,-1.1 
16,Lamar County,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.4 ,15 ,-1.0 
17,Covington County,33,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,76.0 ,16 ,-0.4 
18,Conecuh County,11,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.4 ,17 ,-1.2 
19,Clay County,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,75.3 ,18 ,0.4 
20,Lawrence County,29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,73.1 ,19 ,-0.5 
21,Washington County,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,71.7 ,20 ,-1.0 
22,Barbour County,21,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.9 ,21 ,1.1 
23,Tallapoosa County,34,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,22 ,-0.4 
24,Hale County,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,70.1 ,23 ,-1.4 
25,Colbert County,45,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.9 ,24 ,-1.1 
26,Russell County,44,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.3 ,25 ,-1.7 
27,Randolph County,18,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.2 ,26 ,-0.8 
28,Mobile County,313,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,69.1 ,27 ,-1.2 
29,Bibb County,16,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,68.4 ,28 ,-1.4 
30,Chambers County,26,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,29 ,-1.3 
31,Talladega County,63,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,66.0 ,30 ,-0.9 
32,Etowah County,77,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.5 ,31 ,-1.0 
33,Calhoun County,85,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,65.0 ,32 ,-1.2 
34,Geneva County,21,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,33 ,-0.6 
35,Marion County,22,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.4 ,34 ,-0.8 
36,Cherokee County,20,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,64.2 ,35 ,-15.9 
37,Blount County,42,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.8 ,36 ,-0.7 
38,Coosa County,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,63.7 ,37 ,-0.7 
39,Cullman County,58,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.5 ,38 ,-1.1 
40,Franklin County,20,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,62.3 ,39 ,-1.8 
41,Butler County,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.6 ,40 ,-1.2 
42,Marshall County,63,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.5 ,41 ,-1.1 
43,St. Clair County,62,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,61.3 ,42 ,-1.9 
44,Cleburne County,11,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.8 ,43 ,-0.5 
45,Choctaw County,10,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.6 ,44 ,-1.7 
46,Clarke County,17,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,60.1 ,45 ,-1.7 
47,Greene County,6,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,46 ,-1.6 
48,Winston County,17,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.9 ,47 ,-1.2 
49,Chilton County,29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,59.1 ,48 ,-0.8 
50,Jefferson County,428,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,49 ,-5.9 
51,Morgan County,79,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,50 ,-0.8 
52,Houston County,67,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.5 ,51 ,-1.4 
53,Montgomery County,138,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.6 ,52 ,-2.0 
54,Coffee County,33,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 ,53 ,-1.5 
55,Dale County,32,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.9 ,54 ,-1.7 
56,Monroe County,14,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,55 ,-1.1 
57,Autauga County,34,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,56.2 ,56 ,-2.1 
58,DeKalb County,43,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.7 ,57 ,-1.2 
59,Lauderdale County,57,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.4 ,58 ,-1.2 
60,Elmore County,49,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,54.7 ,59 ,-2.0 
61,Lee County,81,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.9 ,60 ,-1.4 
62,Tuscaloosa County,105,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,52.4 ,61 ,-1.8 
63,Limestone County,57,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,51.2 ,62 ,-1.2 
64,Baldwin County,128,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.9 ,63 ,-1.4 
65,Pickens County,13,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,50.3 ,64 ,-4.9 
66,Madison County,198,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,48.1 ,65 ,-1.7 
67,Bullock County,5,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,43.2 ,66 ,-2.1 
68,Shelby County,93,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,38.6 ,67 ,-2.0 
2,Bullock County,22,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,338.4 ",1 ,0.7 
3,Walker County,133,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,159.0 ",2 ,-0.1 
4,Russell County,85,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,119.9 ",3 ,-0.4 
5,Crenshaw County,27,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,077.9 ",4 ,0.2 
6,Wilcox County,21,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,064.5 ",5 ,0.0 
7,Chambers County,64,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,031.8 ",6 ,-0.5 
8,Macon County,35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,018.3 ",7 ,-0.7 
9,Geneva County,52,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,017.6 ",8 ,-0.4 
10,Dallas County,67,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,014.6 ",9 ,-1.0 
11,Talladega County,135,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,006.5 ",10 ,-0.8 
12,Lee County,169,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,003.8 ",11 ,-0.6 
13,Lowndes County,18,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,002.7 ",12 ,-0.4 
14,Elmore County,112,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,001.0 ",13 ,-0.7 
15,Blount County,100,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,000.5 ",14 ,-1.0 
16,Marion County,62,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,991.3 ,15 ,-0.2 
17,Escambia County,62,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,988.4 ,16 ,-1.3 
