,County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",CI*Rank,Recent 5-Year Trend in Death Rates
28,St. Clair County,110,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.4 ,27 ,-1.7 
29,Winston County,38,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.6 ,28 ,-1.2 
30,Geneva County,41,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.2 ,29 ,-1.5 
31,Calhoun County,143,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.9 ,30 ,-1.8 
32,Clarke County,34,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.4 ,31 ,-1.6 
33,Fayette County,24,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,223.3 ,32 ,-1.5 
34,Mobile County,489,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.3 ,33 ,-2.2 
35,Monroe County,29,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9 ,34 ,-1.2 
36,Cullman County,109,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9 ,35 ,-1.0 
37,Marion County,45,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.8 ,36 ,-0.9 
38,Lee County,137,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.1 ,37 ,-1.4 
39,Marshall County,117,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.0 ,38 ,-1.1 
40,Elmore County,88,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,215.8 ,39 ,-1.4 
41,Jefferson County,705,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.5 ,40 ,-1.5 
42,Colbert County,75,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.4 ,41 ,-1.3 
43,Blount County,76,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.7 ,42 ,-1.8 
44,Franklin County,36,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.9 ,43 ,-1.7 
45,Houston County,123,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.8 ,44 ,-1.5 
46,Morgan County,142,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.3 ,45 ,-1.1 
47,Chilton County,53,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,209.1 ,46 ,-1.4 
48,Butler County,25,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.2 ,47 ,-0.9 
49,Randolph County,32,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.1 ,48 ,-0.9 
50,Montgomery County,223,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.2 ,49 ,-2.3 
51,Dale County,57,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7 ,50 ,-3.6 
52,Hale County,18,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.7 ,51 ,-1.7 
53,Lauderdale County,116,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.5 ,52 ,-1.0 
54,DeKalb County,82,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,198.4 ,53 ,-1.2 
55,Cherokee County,38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.5 ,54 ,-14.2 
56,Choctaw County,19,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.8 ,55 ,-2.7 
57,Tuscaloosa County,175,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0 ,56 ,-1.7 
58,Conecuh County,18,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.3 ,57 ,-2.3 
59,Coffee County,55,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.0 ,58 ,-1.8 
60,Autauga County,56,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.9 ,59 ,-2.7 
61,Coosa County,16,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.1 ,60 ,-1.4 
62,Baldwin County,275,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.0 ,61 ,-1.4 
63,Pickens County,24,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,191.1 ,62 ,-3.6 
64,Limestone County,95,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0 ,63 ,-2.9 
65,Cleburne County,19,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,188.0 ,64 ,-1.7 
66,Madison County,337,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,180.9 ,65 ,-2.2 
67,Greene County,10,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.6 ,66 ,-2.3 
68,Shelby County,169,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.5 ,67 ,-1.7 
2,Bullock County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,191.5 ,1 ,0.7 
3,Crenshaw County,18,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,179.5 ,2 ,0.4 
4,Fayette County,23,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.0 ,3 ,0.6 
5,Russell County,61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,169.0 ,4 ,-0.3 
6,Marengo County,26,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3 ,5 ,-0.5 
7,Conecuh County,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.4 ,6 ,-0.9 
8,Walker County,81,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,163.1 ,7 ,0.1 
9,Blount County,66,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.3 ,8 ,0.0 
10,Marion County,38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.7 ,9 ,-0.1 
11,Covington County,49,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.2 ,10 ,0.1 
12,Jackson County,62,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,154.2 ,11 ,-0.5 
13,Wilcox County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.2 ,12 ,0.1 
14,Colbert County,66,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.1 ,13 ,-0.4 
15,Geneva County,32,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.0 ,14 ,0.4 
16,Calhoun County,126,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.2 ,15 ,-0.9 
17,Tallapoosa County,47,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.6 ,16 ,-0.4 
18,Henry County,22,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.3 ,17 ,-0.1 
19,Sumter County,14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2 ,18 ,-0.1 
20,Lamar County,17,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.2 ,19 ,-0.4 
21,Dale County,50,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4 ,20 ,-1.0 
22,Clay County,16,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1 ,21 ,0.1 
23,Macon County,22,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1 ,22 ,-0.9 
24,Franklin County,32,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0 ,23 ,-0.6 
25,Etowah County,115,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.7 ,24 ,-1.2 
26,Talladega County,85,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.6 ,25 ,-0.8 
27,Lowndes County,11,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.1 ,26 ,-0.1 
28,Cherokee County,31,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.0 ,27 ,-0.6 
29,Mobile County,402,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.6 ,28 ,-1.0 
30,Washington County,18,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.4 ,29 ,-0.9 
31,Jefferson County,662,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.0 ,30 ,-1.0 
32,Barbour County,27,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.7 ,31 ,-0.8 
33,Morgan County,121,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.6 ,32 ,-1.0 
34,Elmore County,73,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.2 ,33 ,-1.1 
35,Montgomery County,212,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.9 ,34 ,-1.1 
36,Coffee County,51,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.6 ,35 ,-0.7 
37,Lawrence County,35,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.5 ,36 ,-0.8 
38,Lee County,112,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.9 ,37 ,-0.5 
39,Dallas County,41,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4 ,38 ,-0.4 
40,Chilton County,42,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.3 ,39 ,-0.2 
41,Chambers County,38,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.1 ,40 ,-0.6 
42,Escambia County,37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.8 ,41 ,-0.7 
43,St. Clair County,82,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.4 ,42 ,-0.7 
44,Monroe County,24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.3 ,43 ,-0.9 
45,Randolph County,25,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0 ,44 ,-0.7 
46,Clarke County,28,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.8 ,45 ,-0.5 
47,Pike County,27,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.0 ,46 ,-0.6 
48,Autauga County,49,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.5 ,47 ,-1.1 
49,Greene County,10,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4 ,48 ,-0.9 
50,Bibb County,20,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.3 ,49 ,-1.0 
51,DeKalb County,66,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.6 ,50 ,-0.1 
52,Coosa County,12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.2 ,51 ,-1.1 
53,Marshall County,90,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.8 ,52 ,-0.6 
54,Hale County,15,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.4 ,53 ,-0.8 
55,Madison County,309,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8 ,54 ,-1.5 
56,Cullman County,80,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.3 ,55 ,-0.6 
57,Baldwin County,211,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.5 ,56 ,-1.1 
58,Tuscaloosa County,153,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.1 ,57 ,-2.0 
59,Butler County,21,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.9 ,58 ,-0.8 
60,Houston County,97,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,127.6 ,59 ,-3.6 
61,Lauderdale County,94,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.8 ,60 ,-0.9 
62,Cleburne County,13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.9 ,61 ,-0.9 
63,Perry County,9,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.9 ,62 ,-0.7 
64,Limestone County,70,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,113.3 ,63 ,-2.3 
65,Pickens County,18,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8 ,64 ,-1.1 
66,Choctaw County,12,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.8 ,65 ,-1.2 
67,Winston County,21,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.4 ,66 ,-1.4 
68,Shelby County,142,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.6 ,67 ,-1.4 
2,Mohave County,437,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.2 ,1 ,-1.3 
3,Cochise County,170,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.3 ,2 ,-1.4 
4,Yavapai County,393,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,178.5 ,3 ,-1.1 
5,Gila County,82,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.7 ,4 ,-1.4 
6,Pima County,1075,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.4 ,5 ,-1.6 
7,Navajo County,101,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,159.0 ,6 ,-1.2 
8,Maricopa County,3475,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,156.6 ,7 ,-1.8 
9,La Paz County  3,36,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,152.4 ,8 ,-0.9 
10,Greenlee County,7,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,150.0 ,9 ,-1.8 
11,Graham County,27,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.9 ,10 ,-5.3 
12,Santa Cruz County,38,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,143.9 ,11 ,-1.7 
13,Apache County,51,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,140.2 ,12 ,-0.5 
14,Coconino County,82,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.6 ,13 ,-1.3 
15,Pinal County,398,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,137.0 ,14 ,-2.0 
16,Yuma County  3,184,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,136.5 ,15 ,-1.0 
2,Mohave County,319,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.8 ,1 ,-0.5 
3,Cochise County,128,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.4 ,2 ,-1.0 
4,La Paz County  3,25,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.3 ,3 ,-1.1 
5,Yavapai County,305,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.7 ,4 ,-0.7 
6,Gila County,64,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.2 ,5 ,-1.1 
7,Graham County,26,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.2 ,6 ,-0.9 
8,Coconino County,84,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.3 ,7 ,6.7 
9,Maricopa County,3063,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.3 ,8 ,-2.5 
10,Greenlee County,5,stable,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.0 ,9 ,-1.8 
11,Pima County,885,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.4 ,10 ,-1.4 
12,Navajo County,79,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.5 ,11 ,-1.3 
13,Pinal County,309,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,104.4 ,12 ,-1.7 
14,Apache County,45,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,103.1 ,13 ,-0.9 
15,Yuma County  3,133,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,94.3 ,14 ,-1.1 
16,Santa Cruz County,29,falling,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,90.1 ,15 ,-1.6 
2,Chicot County,22,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,312.5 ,1 ,-0.1 
3,Ouachita County,45,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.5 ,2 ,-0.6 
4,Poinsett County,40,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,291.4 ,3 ,-0.9 
5,Jackson County,27,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,270.5 ,4 ,-0.1 
6,Clay County,28,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,269.5 ,5 ,-0.4 
7,Arkansas County,30,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,268.9 ,6 ,-0.9 
8,Cross County,27,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,267.0 ,7 ,-0.6 
9,Crittenden County,59,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,265.2 ,8 ,-1.4 
10,Randolph County,30,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.8 ,9 ,-0.5 
11,Lawrence County,29,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,264.5 ,10 ,-0.9 
12,Ashley County,36,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.6 ,11 ,-1.1 
13,Monroe County,14,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.4 ,12 ,-0.9 
14,Mississippi County,57,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,262.9 ,13 ,-0.9 
15,Greene County,62,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,259.5 ,14 ,-0.3 
16,Calhoun County,10,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.0 ,15 ,-1.0 
17,Phillips County,28,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.0 ,16 ,-2.1 
18,Union County,59,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.1 ,17 ,-0.9 
19,Nevada County,15,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.2 ,18 ,-1.8 
20,Lee County,15,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,247.8 ,19 ,-1.7 
21,Drew County,25,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.9 ,20 ,-0.6 
22,Polk County,38,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.9 ,21 ,-0.8 
23,Lonoke County,80,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.0 ,22 ,-1.0 
24,Dallas County,13,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,243.3 ,23 ,-1.5 
25,Jefferson County,95,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,241.9 ,24 ,-1.4 
26,Woodruff County,11,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,240.7 ,25 ,-0.6 
27,Cleveland County,14,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.7 ,26 ,-2.5 
28,Montgomery County,18,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,239.1 ,27 ,-0.7 
29,Pike County,17,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,238.6 ,28 ,-0.6 
30,Lincoln County,18,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.4 ,29 ,-0.5 
31,Grant County,26,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1 ,30 ,-0.6 
32,Scott County,17,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,231.0 ,31 ,-1.3 
33,Sharp County,34,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.7 ,32 ,-0.3 
34,Howard County,18,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.5 ,33 ,-1.1 
35,Columbia County,30,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.3 ,34 ,-1.4 
36,Madison County,22,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.8 ,35 ,-0.9 
37,Logan County,33,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,224.4 ,36 ,-1.3 
38,Conway County,31,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.6 ,37 ,-1.2 
39,Fulton County,24,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,220.9 ,38 ,-0.7 
40,Stone County,25,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,219.1 ,39 ,-0.9 
41,Franklin County,26,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,218.3 ,40 ,-1.3 
42,Crawford County,77,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.3 ,41 ,-1.6 
43,Miller County,52,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.2 ,42 ,-1.6 
44,Baxter County,86,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,214.1 ,43 ,-1.1 
45,Cleburne County,49,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.3 ,44 ,-0.9 
46,Johnson County,32,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.3 ,45 ,-1.0 
47,White County,89,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.1 ,46 ,-9.5 
48,Garland County,153,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,208.0 ,47 ,-0.8 
49,Perry County,15,stable,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,207.3 ,48 ,-1.0 
50,Marion County,31,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.8 ,49 ,-1.0 
51,Clark County,24,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,206.2 ,50 ,-1.1 
52,Craighead County,98,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7 ,51 ,-1.2 
53,Pope County,69,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.6 ,52 ,-3.2 
54,Boone County,51,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.1 ,53 ,-1.3 
55,Yell County,27,falling,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.0 ,54 ,-2.0 
