,County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
20,Covington County,***,"235.0 (208.2, 264.7)","19 (3, 57)",58,falling,"-1.1 (-1.7, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
21,Talladega County,***,"234.6 (214.8, 255.8)","20 (6, 51)",112,falling,"-1.1 (-1.5, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
22,Crenshaw County,***,"233.9 (189.1, 286.9)","21 (1, 66)",21,stable,"-0.9 (-1.9, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
23,Henry County,***,"233.4 (194.1, 279.2)","22 (2, 65)",27,falling,"-1.3 (-2.1, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
24,Clay County,***,"232.9 (189.8, 284.0)","23 (1, 66)",21,stable,"-0.9 (-2.0, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
25,Washington County,***,"232.1 (191.7, 279.2)","24 (1, 66)",25,stable,"-0.9 (-1.9, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
26,Etowah County,***,"230.3 (213.1, 248.5)","25 (8, 51)",143,falling,"-1.0 (-1.4, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
27,Marengo County,***,"229.6 (191.1, 273.9)","26 (1, 66)",27,falling,"-1.2 (-2.0, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
28,St. Clair County,***,"227.4 (207.9, 248.2)","27 (8, 54)",110,falling,"-1.7 (-2.1, -1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
29,Winston County,***,"226.6 (194.6, 262.9)","28 (3, 65)",38,falling,"-1.2 (-2.0, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
30,Geneva County,***,"226.2 (195.6, 260.8)","29 (4, 63)",41,falling,"-1.5 (-2.4, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
31,Calhoun County,***,"225.9 (208.9, 243.9)","30 (11, 55)",143,falling,"-1.8 (-2.2, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
32,Clarke County,***,"225.4 (192.2, 263.2)","31 (4, 65)",34,falling,"-1.6 (-2.4, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
33,Fayette County,***,"223.3 (184.1, 269.0)","32 (2, 66)",24,falling,"-1.5 (-2.3, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
34,Mobile County,***,"222.3 (213.3, 231.6)","33 (17, 46)",489,falling,"-2.2 (-2.6, -1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
35,Monroe County,***,"217.9 (183.0, 258.1)","34 (3, 66)",29,falling,"-1.2 (-2.1, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
36,Cullman County,***,"217.9 (199.4, 237.7)","35 (11, 60)",109,falling,"-1.0 (-1.4, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
37,Marion County,***,"216.8 (189.1, 247.9)","36 (8, 64)",45,falling,"-0.9 (-1.6, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
38,Lee County,***,"216.1 (199.5, 233.6)","37 (15, 60)",137,falling,"-1.4 (-1.9, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
39,Marshall County,***,"216.0 (198.4, 234.8)","38 (13, 61)",117,falling,"-1.1 (-1.6, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
40,Elmore County,***,"215.8 (195.1, 238.0)","39 (12, 62)",88,falling,"-1.4 (-1.9, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
41,Jefferson County,***,"213.5 (206.3, 220.9)","40 (26, 52)",705,falling,"-1.5 (-1.7, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
42,Colbert County,***,"212.4 (191.1, 235.8)","41 (11, 64)",75,falling,"-1.3 (-1.8, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
43,Blount County,***,"211.7 (190.5, 234.8)","42 (13, 64)",76,falling,"-1.8 (-2.2, -1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
44,Franklin County,***,"210.9 (180.7, 244.7)","43 (9, 66)",36,falling,"-1.7 (-2.3, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
45,Houston County,***,"210.8 (194.0, 228.6)","44 (18, 63)",123,falling,"-1.5 (-1.9, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
46,Morgan County,***,"210.3 (194.7, 226.8)","45 (19, 62)",142,falling,"-1.1 (-1.5, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
47,Chilton County,***,"209.1 (184.0, 236.7)","46 (10, 66)",53,falling,"-1.4 (-2.0, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
48,Butler County,***,"208.2 (172.1, 250.0)","47 (5, 67)",25,falling,"-0.9 (-1.7, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
49,Randolph County,***,"208.1 (175.5, 245.5)","48 (7, 67)",32,falling,"-0.9 (-1.7, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
50,Montgomery County,***,"207.2 (194.9, 220.1)","49 (25, 61)",223,falling,"-2.3 (-2.7, -1.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
51,Dale County,***,"204.7 (181.3, 230.4)","50 (14, 66)",57,falling,"-3.6 (-5.4, -1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
52,Hale County,***,"203.7 (161.8, 253.7)","51 (4, 67)",18,falling,"-1.7 (-2.7, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
53,Lauderdale County,***,"203.5 (186.9, 221.3)","52 (23, 64)",116,falling,"-1.0 (-1.4, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
54,DeKalb County,***,"198.4 (179.0, 219.4)","53 (21, 66)",82,falling,"-1.2 (-1.8, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
55,Cherokee County,***,"197.5 (169.2, 229.9)","54 (12, 67)",38,stable,"-14.2 (-28.3, 2.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
56,Choctaw County,***,"196.8 (158.7, 242.8)","55 (8, 67)",19,falling,"-2.7 (-3.7, -1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
57,Tuscaloosa County,***,"194.0 (180.8, 207.9)","56 (36, 66)",175,falling,"-1.7 (-2.2, -1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
58,Conecuh County,***,"193.3 (154.6, 240.3)","57 (10, 67)",18,falling,"-2.3 (-3.2, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
59,Coffee County,***,"193.0 (170.4, 217.8)","58 (23, 67)",55,falling,"-1.8 (-2.3, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
60,Autauga County,***,"192.9 (170.5, 217.5)","59 (22, 67)",56,falling,"-2.7 (-3.4, -1.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
61,Coosa County,***,"192.1 (150.6, 243.4)","60 (6, 67)",16,falling,"-1.4 (-2.6, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
62,Baldwin County,***,"192.0 (181.7, 202.7)","61 (43, 65)",275,falling,"-1.4 (-1.7, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
63,Pickens County,***,"191.1 (157.8, 229.7)","62 (13, 67)",24,falling,"-3.6 (-5.1, -2.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
64,Limestone County,***,"190.0 (172.5, 208.8)","63 (35, 66)",95,falling,"-2.9 (-4.1, -1.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
65,Cleburne County,***,"188.0 (150.7, 232.6)","64 (9, 67)",19,falling,"-1.7 (-2.9, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
66,Madison County,***,"180.9 (172.1, 190.0)","65 (54, 66)",337,falling,"-2.2 (-2.8, -1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
67,Greene County,***,"176.6 (130.3, 236.1)","66 (8, 67)",10,falling,"-2.3 (-3.6, -1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
68,Shelby County,***,"157.5 (146.7, 168.9)","67 (63, 67)",169,falling,"-1.7 (-2.3, -1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
0,Alabama,***,"139.2 (137.4, 141.0)",,4722,falling,"-1.3 (-1.5, -1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
1,United States,***,"131.1 (130.9, 131.3)",,283394,falling,"-1.9 (-2.1, -1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
2,Bullock County,***,"191.5 (146.3, 247.7)","1 (1, 60)",13,stable,"0.7 (-0.6, 2.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
3,Crenshaw County,***,"179.5 (143.3, 223.1)","2 (1, 59)",18,stable,"0.4 (-0.6, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
4,Fayette County,***,"176.0 (144.2, 213.8)","3 (1, 56)",23,stable,"0.6 (-0.5, 1.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
5,Russell County,***,"169.0 (150.2, 189.5)","4 (1, 39)",61,stable,"-0.3 (-0.8, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
6,Marengo County,***,"168.3 (139.3, 202.1)","5 (1, 58)",26,stable,"-0.5 (-1.3, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
7,Conecuh County,***,"165.4 (130.3, 208.4)","6 (1, 65)",17,stable,"-0.9 (-1.9, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
8,Walker County,***,"163.1 (147.1, 180.6)","7 (1, 41)",81,stable,"0.1 (-0.3, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
9,Blount County,***,"158.3 (141.3, 177.0)","8 (2, 50)",66,stable,"0.0 (-0.8, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
10,Marion County,***,"157.7 (135.1, 183.7)","9 (1, 60)",38,stable,"-0.1 (-0.9, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
11,Covington County,***,"157.2 (137.1, 179.8)","10 (1, 57)",49,stable,"0.1 (-0.7, 0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
12,Jackson County,***,"154.2 (136.8, 173.4)","11 (2, 56)",62,stable,"-0.5 (-1.0, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
13,Wilcox County,***,"153.2 (117.7, 197.6)","12 (1, 67)",13,stable,"0.1 (-1.1, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
14,Colbert County,***,"153.1 (136.5, 171.4)","13 (2, 56)",66,stable,"-0.4 (-0.9, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
15,Geneva County,***,"151.0 (127.6, 178.1)","14 (1, 63)",32,stable,"0.4 (-0.7, 1.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
16,Calhoun County,***,"150.2 (138.4, 162.8)","15 (5, 51)",126,falling,"-0.9 (-1.3, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
17,Tallapoosa County,***,"147.6 (128.4, 169.2)","16 (2, 62)",47,stable,"-0.4 (-1.2, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
18,Henry County,***,"147.3 (120.0, 180.1)","17 (1, 66)",22,stable,"-0.1 (-1.1, 1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
19,Sumter County,***,"147.2 (111.8, 191.3)","18 (1, 67)",14,stable,"-0.1 (-1.4, 1.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
20,Lamar County,***,"147.2 (116.8, 184.6)","19 (1, 66)",17,stable,"-0.4 (-1.3, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
21,Dale County,***,"146.4 (128.6, 166.3)","20 (3, 62)",50,falling,"-1.0 (-1.4, -0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
22,Clay County,***,"146.1 (115.1, 184.3)","21 (1, 67)",16,stable,"0.1 (-1.1, 1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
23,Macon County,***,"146.1 (118.7, 178.8)","22 (1, 66)",22,falling,"-0.9 (-1.6, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
24,Franklin County,***,"146.0 (123.8, 171.5)","23 (2, 64)",32,stable,"-0.6 (-1.4, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
25,Etowah County,***,"145.7 (133.6, 158.6)","24 (6, 56)",115,falling,"-1.2 (-1.6, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
26,Talladega County,***,"145.6 (131.8, 160.7)","25 (5, 58)",85,falling,"-0.8 (-1.3, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
27,Lowndes County,***,"145.1 (106.6, 194.0)","26 (1, 67)",11,stable,"-0.1 (-1.3, 1.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
28,Cherokee County,***,"145.0 (122.2, 171.6)","27 (2, 64)",31,stable,"-0.6 (-1.4, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
29,Mobile County,***,"144.6 (138.2, 151.2)","28 (13, 48)",402,falling,"-1.0 (-1.3, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
30,Washington County,***,"144.4 (115.0, 179.8)","29 (1, 67)",18,stable,"-0.9 (-1.8, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
31,Jefferson County,***,"144.0 (139.0, 149.2)","30 (15, 47)",662,falling,"-1.0 (-1.1, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
32,Barbour County,***,"143.7 (119.3, 172.2)","31 (2, 66)",27,stable,"-0.8 (-1.8, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
33,Morgan County,***,"143.6 (132.1, 155.9)","32 (8, 57)",121,falling,"-1.0 (-1.6, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
34,Elmore County,***,"143.2 (128.6, 159.0)","33 (5, 61)",73,falling,"-1.1 (-1.7, -0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
35,Montgomery County,***,"142.9 (134.2, 152.0)","34 (12, 53)",212,falling,"-1.1 (-1.4, -0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
36,Coffee County,***,"142.6 (125.3, 161.7)","35 (4, 62)",51,stable,"-0.7 (-1.3, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
37,Lawrence County,***,"142.5 (121.5, 166.6)","36 (3, 64)",35,stable,"-0.8 (-1.7, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
38,Lee County,***,"141.9 (130.2, 154.3)","37 (9, 59)",112,stable,"-0.5 (-1.1, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
39,Dallas County,***,"141.4 (122.2, 163.0)","38 (4, 64)",41,stable,"-0.4 (-1.1, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
40,Chilton County,***,"141.3 (122.5, 162.4)","39 (5, 63)",42,stable,"-0.2 (-1.0, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
41,Chambers County,***,"141.1 (120.9, 164.1)","40 (3, 64)",38,stable,"-0.6 (-1.3, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
42,Escambia County,***,"140.8 (120.5, 163.8)","41 (4, 64)",37,stable,"-0.7 (-1.4, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
43,St. Clair County,***,"140.4 (126.8, 155.1)","42 (8, 62)",82,falling,"-0.7 (-1.3, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
44,Monroe County,***,"140.3 (115.4, 169.7)","43 (2, 66)",24,stable,"-0.9 (-1.9, 0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
45,Randolph County,***,"140.0 (115.4, 168.9)","44 (2, 66)",25,stable,"-0.7 (-1.9, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
46,Clarke County,***,"139.8 (116.9, 166.5)","45 (3, 65)",28,stable,"-0.5 (-1.2, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
47,Pike County,***,"138.0 (115.2, 164.3)","46 (3, 66)",27,stable,"-0.6 (-1.5, 0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
48,Autauga County,***,"137.5 (120.7, 156.1)","47 (6, 64)",49,falling,"-1.1 (-1.9, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
49,Greene County,***,"137.4 (98.5, 188.8)","48 (1, 67)",10,stable,"-0.9 (-2.4, 0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
50,Bibb County,***,"137.3 (111.4, 168.0)","49 (2, 67)",20,falling,"-1.0 (-1.8, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
51,DeKalb County,***,"136.6 (121.9, 152.6)","50 (9, 63)",66,stable,"-0.1 (-0.7, 0.5)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
52,Coosa County,***,"136.2 (102.4, 179.9)","51 (1, 67)",12,stable,"-1.1 (-2.4, 0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
53,Marshall County,***,"135.8 (123.2, 149.4)","52 (13, 62)",90,falling,"-0.6 (-1.2, -0.1)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
54,Hale County,***,"135.4 (105.6, 171.9)","53 (1, 67)",15,stable,"-0.8 (-2.1, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
55,Madison County,***,"132.8 (126.2, 139.7)","54 (29, 60)",309,falling,"-1.5 (-2.1, -1.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
56,Cullman County,***,"132.3 (119.3, 146.5)","55 (14, 64)",80,stable,"-0.6 (-1.1, 0.0)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
57,Baldwin County,***,"130.5 (122.5, 138.9)","56 (29, 62)",211,falling,"-1.1 (-1.5, -0.7)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
58,Tuscaloosa County,***,"130.1 (120.8, 139.8)","57 (27, 63)",153,falling,"-2.0 (-2.6, -1.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
59,Butler County,***,"128.9 (104.0, 158.7)","58 (5, 67)",21,stable,"-0.8 (-1.8, 0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
60,Houston County,***,"127.6 (116.3, 139.8)","59 (26, 64)",97,falling,"-3.6 (-5.9, -1.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
61,Lauderdale County,***,"126.8 (115.2, 139.3)","60 (25, 65)",94,falling,"-0.9 (-1.4, -0.4)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
62,Cleburne County,***,"115.9 (89.0, 149.5)","61 (6, 67)",13,stable,"-0.9 (-2.4, 0.6)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
63,Perry County,***,"114.9 (83.4, 156.7)","62 (5, 67)",9,stable,"-0.7 (-2.3, 0.8)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
64,Limestone County,***,"113.3 (101.6, 126.1)","63 (48, 67)",70,falling,"-2.3 (-3.8, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
65,Pickens County,***,"111.8 (89.3, 139.2)","64 (21, 67)",18,falling,"-1.1 (-2.0, -0.2)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
66,Choctaw County,***,"110.8 (83.6, 145.6)","65 (11, 67)",12,falling,"-1.2 (-2.1, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
67,Winston County,***,"107.4 (87.3, 131.5)","66 (34, 67)",21,falling,"-1.4 (-2.5, -0.3)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
68,Shelby County,***,"106.6 (98.8, 114.9)","67 (58, 67)",142,falling,"-1.4 (-1.9, -0.9)",Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
0,,***,"172.0 (164.9, 179.4)","39 (27, 46)",535,falling,"-1.6 (-1.9, -1.3)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Alaska,
1,,***,"181.4 (181.1, 181.7)",,314987,falling,"-2.3 (-2.6, -2.0)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,United States,
2,,***,"403.5 (280.7, 552.0)","1 (1, 4)",14,stable,"1.0 (-1.0, 2.9)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Bethel Census Area,
3,,***,"307.2 (171.9, 493.5)","2 (1, 17)",6,*,*,Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Wade Hampton Census Area,
4,,***,"298.4 (214.9, 404.3)","3 (1, 9)",10,stable,"1.6 (-0.3, 3.4)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Yukon-Koyukuk Census Area,
5,,***,"231.6 (136.1, 358.7)","4 (1, 20)",6,stable,"-1.2 (-4.3, 2.0)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,North Slope Borough,
6,,***,"215.8 (134.4, 322.3)","5 (2, 20)",7,stable,"0.3 (-1.7, 2.4)",Alaska ,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,Nome Census Area,
