Expand,Discipline ,MUA/P ID ,Service Area Name ,Designation Type ,Primary State Name ,County ,Index of Medical Underservice Score ,Status ,Rural Status ,Designation Date ,Update Date 
,Primary Care,00035,Jackson County,Medically Underserved Area,Alabama,"Jackson County, AL",53.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00066,Jefferson Service Area,Medically Underserved Area,Alabama,"Jefferson County, AL",55.0,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00067,Jefferson Service Area,Medically Underserved Area,Alabama,"Jefferson County, AL",59.4,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00068,Jefferson Service Area,Medically Underserved Area,Alabama,"Jefferson County, AL",57.4,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00069,Jefferson Service Area,Medically Underserved Area,Alabama,"Jefferson County, AL",57.6,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00070,Jefferson Service Area,Medically Underserved Area,Alabama,"Jefferson County, AL",57.7,Designated,Non-Rural,06/03/1994,06/03/1994
,Primary Care,00097,Jefferson Service Area,Medically Underserved Area,Alabama,"Jefferson County, AL",52.3,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,07899,La Fayette Service Area,Medically Underserved Area,Alabama,"Chambers County, AL",58.1,Designated,Rural,01/03/2013,01/03/2013
,Primary Care,00071,Lauderdale Service Area,Medically Underserved Area,Alabama,"Lauderdale County, AL",56.9,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00072,Lauderdale Service Area,Medically Underserved Area,Alabama,"Lauderdale County, AL",60.1,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00037,Lawrence County,Medically Underserved Area,Alabama,"Lawrence County, AL",44.0,Designated,Partially Rural,11/01/1978,11/01/1978
,Primary Care,00038,Lee County,Medically Underserved Area,Alabama,"Lee County, AL",55.6,Designated,Non-Rural,11/01/1978,11/01/1978
,Primary Care,00073,Limestone Service Area,Medically Underserved Area,Alabama,"Limestone County, AL",53.7,Designated,Rural,05/09/1994,05/09/1994
,Primary Care,00074,Limestone Service Area,Medically Underserved Area,Alabama,"Limestone County, AL",46.2,Designated,Rural,05/09/1994,05/09/1994
,Primary Care,00075,Limestone Service Area,Medically Underserved Area,Alabama,"Limestone County, AL",52.6,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00076,Limestone Service Area,Medically Underserved Area,Alabama,"Limestone County, AL",48.9,Designated,Rural,05/09/1994,05/09/1994
,Primary Care,00039,Lowndes County,Medically Underserved Area,Alabama,"Lowndes County, AL",54.5,Designated,Non-Rural,11/01/1978,11/06/2013
,Primary Care,00040,Macon County,Medically Underserved Area,Alabama,"Macon County, AL",28.1,Designated,Rural,06/22/1984,06/22/1984
,Primary Care,00081,Madison County,Medically Underserved Area,Alabama,"Madison County, AL",58.1,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00077,Madison Service Area,Medically Underserved Area,Alabama,"Madison County, AL",51.1,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00078,Madison Service Area,Medically Underserved Area,Alabama,"Madison County, AL",56.2,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00079,Madison Service Area,Medically Underserved Area,Alabama,"Madison County, AL",61.0,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00080,Madison Service Area,Medically Underserved Area,Alabama,"Madison County, AL",54.5,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00041,Marengo County,Medically Underserved Area,Alabama,"Marengo County, AL",54.8,Designated,Rural,11/01/1978,01/15/2013
,Primary Care,00043,Marshall County,Medically Underserved Area,Alabama,"Marshall County, AL",58.0,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00082,Mobile Service Area,Medically Underserved Area,Alabama,"Mobile County, AL",53.8,Designated,Non-Rural,06/22/1984,05/09/1994
,Primary Care,04005,Mobile Service Area,Medically Underserved Area,Alabama,"Mobile County, AL",59.6,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00084,Mobiles Service Area,Medically Underserved Area,Alabama,"Mobile County, AL",54.7,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00085,Mobiles Service Area,Medically Underserved Area,Alabama,"Mobile County, AL",61.2,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00086,Mobiles Service Area,Medically Underserved Area,Alabama,"Mobile County, AL",59.4,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00088,Montgomery Serice Area,Medically Underserved Area,Alabama,"Montgomery County, AL",51.7,Designated,Non-Rural,06/03/1994,06/03/1994
,Primary Care,00087,Montgomery Service Area,Medically Underserved Area,Alabama,"Montgomery County, AL",47.7,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00089,Montgomery Service Area,Medically Underserved Area,Alabama,"Montgomery County, AL",42.0,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00090,Montgomery Service Area,Medically Underserved Area,Alabama,"Montgomery County, AL",46.0,Designated,Non-Rural,06/03/1994,06/03/1994
,Primary Care,00091,Montgomery Service Area,Medically Underserved Area,Alabama,"Montgomery County, AL",56.0,Designated,Non-Rural,06/03/1994,06/03/1994
,Primary Care,00092,Morgan Service Area,Medically Underserved Area,Alabama,"Morgan County, AL",59.9,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00083,North Mobile Service Area,Medically Underserved Area,Alabama,"Mobile County, AL",56.8,Designated,Non-Rural,12/07/1994,04/02/1998
,Primary Care,00045,Perry County,Medically Underserved Area,Alabama,"Perry County, AL",58.5,Designated,Rural,11/01/1978,11/06/2013
,Primary Care,00046,Pickens County,Medically Underserved Area,Alabama,"Pickens County, AL",58.7,Designated,Partially Rural,11/07/1978,01/15/2013
,Primary Care,00048,Randolph County,Medically Underserved Area,Alabama,"Randolph County, AL",61.0,Designated,Rural,11/01/1978,01/17/2013
,Primary Care,00049,Russell County,Medically Underserved Area,Alabama,"Russell County, AL",36.0,Designated,Non-Rural,11/07/1978,11/07/1978
,Primary Care,00051,Shelby County,Medically Underserved Area,Alabama,"Shelby County, AL",49.2,Designated,Partially Rural,11/07/1978,11/07/1978
,Primary Care,00714,South Columbus Service Area,Medically Underserved Area,Georgia,"Muscogee County, GA | Russell County, AL",51.3,Designated,Non-Rural,06/29/1993,02/01/1994
,Primary Care,00050,St. Clair County,Medically Underserved Area,Alabama,"St. Clair County, AL",42.1,Designated,Partially Rural,11/07/1978,11/07/1978
,Primary Care,00052,Sumter County,Medically Underserved Area,Alabama,"Sumter County, AL",40.3,Designated,Rural,11/07/1978,01/17/2013
,Primary Care,00053,Talladega County,Medically Underserved Area,Alabama,"Talladega County, AL",45.2,Designated,Rural,11/07/1978,11/07/1978
,Primary Care,00054,Tallapoosa County,Medically Underserved Area,Alabama,"Tallapoosa County, AL",53.3,Designated,Rural,11/07/1978,11/07/1978
,Primary Care,00093,Tuscaloosa Service Area,Medically Underserved Area,Alabama,"Tuscaloosa County, AL",47.8,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00094,Tuscaloosa Service Area,Medically Underserved Area,Alabama,"Tuscaloosa County, AL",52.9,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00095,Tuscaloosa Service Area,Medically Underserved Area,Alabama,"Tuscaloosa County, AL",49.4,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00096,Tuscaloosa Service Area,Medically Underserved Area,Alabama,"Tuscaloosa County, AL",51.6,Designated,Non-Rural,05/09/1994,05/09/1994
,Primary Care,00056,Washington County,Medically Underserved Area,Alabama,"Washington County, AL",32.3,Designated,Partially Rural,11/07/1978,11/07/1978
,Primary Care,00058,Winston County,Medically Underserved Area,Alabama,"Winston County, AL",58.1,Designated,Rural,11/07/1978,01/17/2013
,Primary Care,07896,Low Income - Barbour County,MUP Low Income,Alabama,"Barbour County, AL",61.3,Designated,Rural,01/02/2013,01/02/2013
,Primary Care,07923,Low Income - Butler County,MUP Low Income,Alabama,"Butler County, AL",60.4,Designated,Rural,08/06/2013,08/06/2013
,Primary Care,07897,Low Income - Chilton County,MUP Low Income,Alabama,"Chilton County, AL",57.5,Designated,Partially Rural,01/03/2013,01/03/2013
,Primary Care,07909,Low Income - Clarke County,MUP Low Income,Alabama,"Clarke County, AL",57.3,Designated,Rural,03/22/2013,03/22/2013
,Primary Care,07903,Low Income - Dallas County,MUP Low Income,Alabama,"Dallas County, AL",50.8,Designated,Rural,01/15/2013,01/15/2013
,Primary Care,07940,Low Income - Geneva County,MUP Low Income,Alabama,"Geneva County, AL",57.1,Designated,Partially Rural,11/06/2013,11/06/2013
,Primary Care,07939,Low Income - Monroe County,MUP Low Income,Alabama,"Monroe County, AL",61.3,Designated,Rural,11/06/2013,11/06/2013
,Primary Care,07902,Low Income - Pike County,MUP Low Income,Alabama,"Pike County, AL",60.7,Designated,Rural,01/15/2013,01/15/2013
,Primary Care,07898,Low Income - Valley Service Area,MUP Low Income,Alabama,"Chambers County, AL",61.5,Designated,Rural,01/03/2013,01/03/2013
,Primary Care,07914,Low Income - Walker County,MUP Low Income,Alabama,"Walker County, AL",61.6,Designated,Rural,04/08/2013,04/08/2013
,Primary Care,07913,Low Inome - Wilcox County,MUP Low Income,Alabama,"Wilcox County, AL",51.3,Designated,Rural,01/17/2013,04/08/2013
,Primary Care,07619,Low-Income Central Jefferson County,MUP Low Income,Alabama,"Jefferson County, AL",51.5,Designated,Non-Rural,01/25/2008,01/25/2008
,Primary Care,00098,Aleutians East,Medically Underserved Area,Alaska,"Aleutians East Borough, AK",61.1,Designated,Rural,09/23/1997,09/23/1997
,Primary Care,07112,Aleutians West Service Area,Medically Underserved Area,Alaska,"Aleutians West Census Area, AK",61.7,Designated,Rural,11/15/2001,11/15/2001
,Primary Care,00105,Anchorage,Medically Underserved Area,Alaska,"Anchorage Borough, AK",61.7,Designated,Non-Rural,06/03/1982,04/29/1994
,Primary Care,00106,Bethel Census Area,Medically Underserved Area,Alaska,"Bethel Census Area, AK",47.7,Designated,Rural,06/08/1994,06/08/1994
,Primary Care,00099,Bristol Bay,Medically Underserved Area,Alaska,"Bristol Bay Borough, AK",60.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07174,City Of Whittier,Medically Underserved Area,Alaska,"Valdez-Cordova Census Area, AK",50.0,Designated,Rural,03/29/2002,03/29/2002
,Primary Care,00110,Koyukuk-middle Yokon,Medically Underserved Area,Alaska,"Yukon-Koyukuk Census Area, AK",59.9,Designated,Rural,06/08/1994,06/08/1994
,Primary Care,07224,Lake And Peninsula Borough Service Area,Medically Underserved Area,Alaska,"Lake and Peninsula Borough, AK",58.0,Designated,Rural,06/19/2002,06/19/2002
,Primary Care,00107,Lower Kukokwim,Medically Underserved Area,Alaska,"Bethel Census Area, AK",47.7,Designated,Rural,06/08/1994,06/08/1994
,Primary Care,00111,Mcgrath-holy Cross Service Area,Medically Underserved Area,Alaska,"Yukon-Koyukuk Census Area, AK",47.7,Designated,Rural,06/08/1994,06/08/1994
,Primary Care,00102,Nome Census Area,Medically Underserved Area,Alaska,"Nome Census Area, AK",37.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00103,Northwest Arctic,Medically Underserved Area,Alaska,"Northwest Arctic Borough, AK",37.2,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,06181,Prince of Wales-Outer Ketchikan Area,Medically Underserved Area,Alaska,"Ketchikan Gateway Borough, AK | Prince of Wales-Hyder Census Area, AK",60.4,Designated,Rural,02/08/2001,02/08/2001
,Primary Care,00108,Prudhoe Bay-kaktovik Service Area,Medically Underserved Area,Alaska,"North Slope Borough, AK",57.0,Designated,Rural,06/08/1994,06/08/1994
,Primary Care,05038,SKAGWAY-HOONAH-ANGOON SERVICE AREA,Medically Underserved Area,Alaska,"Hoonah-Angoon Census Area, AK | Skagway Municipality, AK",59.9,Designated,Rural,05/10/1999,11/03/2006
,Primary Care,00104,Wade Hampton Census Area,Medically Underserved Area,Alaska,"Kusilvak Census Area, AK",32.5,Designated,Rural,11/07/1978,11/07/1978
,Primary Care,07694,Yakutat,Medically Underserved Area,Alaska,"Yakutat Borough, AK",60.8,Designated,Rural,03/12/2009,03/12/2009
,Primary Care,00112,Yukon Flats Service Area,Medically Underserved Area,Alaska,"Yukon-Koyukuk Census Area, AK",57.0,Designated,Rural,06/08/1994,06/08/1994
,Primary Care,05022,Exceptional Needs - Kenai Peninsula Service Area,MUA – Governor’s Exception,Alaska,"Kenai Peninsula Borough, AK",0.0,Designated,Rural,03/26/1999,03/26/1999
,Primary Care,07143,Fairbanks North Star Borough,MUA – Governor’s Exception,Alaska,"Fairbanks North Star Borough, AK",0.0,Designated,Partially Rural,09/28/1994,09/28/1994
,Primary Care,00100,Haines,MUA – Governor’s Exception,Alaska,"Haines Borough, AK",0.0,Designated,Rural,09/23/1997,09/23/1997
,Primary Care,07231,Low Inc - Copper River Census Sub Area,MUA – Governor’s Exception,Alaska,"Valdez-Cordova Census Area, AK",0.0,Designated,Rural,07/19/2002,07/19/2002
,Primary Care,07410,Low Inc - Cordova Service Area,MUA – Governor’s Exception,Alaska,"Valdez-Cordova Census Area, AK",0.0,Designated,Rural,05/10/2004,05/10/2004
,Primary Care,07259,Low Inc - Denali Borough,MUA – Governor’s Exception,Alaska,"Denali Borough, AK",0.0,Designated,Rural,07/30/2002,07/30/2002
,Primary Care,07228,Low Inc - Dillingham Census Area,MUA – Governor’s Exception,Alaska,"Dillingham Census Area, AK",0.0,Designated,Rural,06/28/2002,06/28/2002
,Primary Care,07248,Low Inc - Kodiak Island Borough,MUA – Governor’s Exception,Alaska,"Kodiak Island Borough, AK",0.0,Designated,Rural,07/26/2002,07/26/2002
,Primary Care,07229,Low Inc - Southeast Fairbanks Census,MUA – Governor’s Exception,Alaska,"Southeast Fairbanks Census Area, AK",0.0,Designated,Rural,06/28/2002,06/28/2002
,Primary Care,00101,Mantanuska-sustina,MUA – Governor’s Exception,Alaska,"Matanuska-Susitna Borough, AK",0.0,Designated,Rural,09/23/1997,09/23/1997
,Primary Care,1021465149,Homeless - Juneau,MUP Other Population Governor’s Exception,Alaska,"Juneau Borough, AK",63.0,Designated,Rural,04/19/2019,04/19/2019
,Primary Care,07414,Low Inc - Wrangell,MUP Other Population Governor’s Exception,Alaska,"Wrangell City and Borough, AK",0.0,Designated,Rural,05/10/2004,05/10/2004
,Primary Care,07678,Ajo,Medically Underserved Area,Arizona,"Pima County, AZ",54.4,Designated,Rural,08/19/2008,08/19/2008
,Primary Care,00113,Apache County,Medically Underserved Area,Arizona,"Apache County, AZ",35.9,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07332,Apache Junction Service Area,Medically Underserved Area,Arizona,"Pinal County, AZ",52.6,Designated,Non-Rural,05/06/2003,05/06/2003
,Primary Care,07315,Bowie / Wilcox Service Area,Medically Underserved Area,Arizona,"Cochise County, AZ",61.0,Designated,Rural,03/19/2003,03/19/2003
,Primary Care,07269,Chandler Primary Care Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",61.2,Designated,Non-Rural,09/23/2002,09/23/2002
,Primary Care,06187,Douglas Service Area,Medically Underserved Area,Arizona,"Cochise County, AZ",53.9,Designated,Rural,02/08/2001,02/08/2001
,Primary Care,00118,Gila Bend Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",57.1,Designated,Non-Rural,07/01/1993,02/01/1994
,Primary Care,1044908075,Gila County,Medically Underserved Area,Arizona,"Gila County, AZ",50.9,Designated,Rural,11/01/1978,08/02/2018
,Primary Care,00130,Gila River Service Area,Medically Underserved Area,Arizona,"Pinal County, AZ",53.9,Designated,Partially Rural,06/03/1994,06/03/1994
,Primary Care,07215,Glendale Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",54.9,Designated,Non-Rural,06/05/2002,06/05/2002
,Primary Care,1045016926,Graham and Greenlee Counties,Medically Underserved Area,Arizona,"Graham County, AZ | Greenlee County, AZ",61.5,Designated,Rural,04/13/2018,04/13/2018
,Primary Care,00117,Guadalupe Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",49.0,Designated,Non-Rural,07/01/1993,02/01/1994
,Primary Care,07433,Kingman Service Area,Medically Underserved Area,Arizona,"Mohave County, AZ",61.9,Designated,Rural,08/23/2004,08/23/2004
,Primary Care,00119,Marana Service Area,Medically Underserved Area,Arizona,"Pima County, AZ",62.0,Designated,Non-Rural,07/01/1993,02/01/1994
,Primary Care,00124,Maricopa Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",59.6,Designated,Non-Rural,06/03/1994,06/03/1994
,Primary Care,00128,Maricopa Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",53.7,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00121,Mohave Service Area,Medically Underserved Area,Arizona,"Mohave County, AZ",36.8,Designated,Rural,08/18/1994,04/02/1998
,Primary Care,00132,Movahve North Service Area,Medically Underserved Area,Arizona,"Mohave County, AZ",58.6,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,00115,Navajo County,Medically Underserved Area,Arizona,"Navajo County, AZ",38.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,07512,North Tempe Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",52.4,Designated,Non-Rural,12/15/2005,12/15/2005
,Primary Care,07652,Paradise Valley,Medically Underserved Area,Arizona,"Maricopa County, AZ",52.8,Designated,Non-Rural,03/20/2008,03/20/2008
,Primary Care,06110,Peach Spring Service Area,Medically Underserved Area,Arizona,"Mohave County, AZ",45.1,Designated,Rural,07/21/1999,07/21/1999
,Primary Care,07869,Phoenix Sunnyslope,Medically Underserved Area,Arizona,"Maricopa County, AZ",59.4,Designated,Non-Rural,05/25/2012,05/25/2012
,Primary Care,00125,Pima Service Area,Medically Underserved Area,Arizona,"Pima County, AZ",58.7,Designated,Non-Rural,05/11/1994,05/11/1994
,Primary Care,00126,Pima Service Area,Medically Underserved Area,Arizona,"Pima County, AZ",52.3,Designated,Non-Rural,06/02/1983,05/02/1994
,Primary Care,00122,Pinal Service Area,Medically Underserved Area,Arizona,"Pinal County, AZ",58.8,Designated,Non-Rural,08/18/1994,04/02/1998
,Primary Care,07196,Quartzite,Medically Underserved Area,Arizona,"La Paz County, AZ",59.7,Designated,Rural,04/18/2002,04/18/2002
,Primary Care,07350,Rio Salado Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",47.3,Designated,Non-Rural,07/25/2003,07/25/2003
,Primary Care,07195,Salome,Medically Underserved Area,Arizona,"La Paz County, AZ",31.1,Designated,Rural,04/18/2002,04/18/2002
,Primary Care,00116,Santa Cruz County,Medically Underserved Area,Arizona,"Santa Cruz County, AZ",61.2,Designated,Rural,03/18/1981,03/18/1981
,Primary Care,00127,Sierra Vista/benson Service Area,Medically Underserved Area,Arizona,"Cochise County, AZ",58.9,Designated,Partially Rural,06/03/1994,06/03/1994
,Primary Care,00131,Tuba City Service Area,Medically Underserved Area,Arizona,"Coconino County, AZ",54.1,Designated,Rural,06/03/1994,06/03/1994
,Primary Care,06218,West Phoenix,Medically Underserved Area,Arizona,"Maricopa County, AZ",59.6,Designated,Non-Rural,05/24/2001,05/24/2001
,Primary Care,07271,Wickenburg Service Area,Medically Underserved Area,Arizona,"Maricopa County, AZ",61.1,Designated,Rural,09/25/2002,09/25/2002
,Primary Care,07500,Yuma North Primary Care Area,Medically Underserved Area,Arizona,"Yuma County, AZ",53.2,Designated,Non-Rural,10/14/2005,10/14/2005
,Primary Care,07456,Yuma West Primary Care Area,Medically Underserved Area,Arizona,"Yuma County, AZ",47.6,Designated,Non-Rural,12/22/2004,12/22/2004
,Primary Care,00123,Med Ind - Flagstaff Service Area,MUA – Governor’s Exception,Arizona,"Coconino County, AZ",0.0,Designated,Non-Rural,08/24/1992,02/03/1994
,Primary Care,1042018076,LI - Mesa West,MUP Low Income,Arizona,"Maricopa County, AZ",60.0,Designated,Non-Rural,05/24/2021,05/24/2021
,Primary Care,1049771939,LI-Lake Havasu City,MUP Low Income,Arizona,"Mohave County, AZ",48.1,Designated,Non-Rural,03/16/2017,03/16/2017
,Primary Care,1042091548,LI-South Central Phoenix,MUP Low Income,Arizona,"Maricopa County, AZ",56.6,Designated,Non-Rural,07/18/2018,07/18/2018
,Primary Care,07217,Low Inc - Bisbee Service Area,MUP Low Income,Arizona,"Cochise County, AZ",60.7,Designated,Rural,06/06/2002,06/06/2002
,Primary Care,07443,Low Inc - Bullhead City,MUP Low Income,Arizona,"Mohave County, AZ",61.8,Designated,Rural,10/29/2004,10/29/2004
,Primary Care,00141,Low Inc - Central-West Pinal Service,MUP Low Income,Arizona,"Pinal County, AZ",50.5,Designated,Non-Rural,08/18/1994,04/02/1998
,Primary Care,07193,Low Inc - Parker,MUP Low Income,Arizona,"La Paz County, AZ",60.3,Designated,Rural,04/18/2002,04/18/2002
,Primary Care,07651,Low Inc – I 17 Corridor,MUP Low Income,Arizona,"Maricopa County, AZ",60.9,Designated,Non-Rural,03/20/2008,03/20/2008
,Primary Care,07219,Low Inc- Avondale/ Tolleson Service Area,MUP Low Income,Arizona,"Maricopa County, AZ",59.6,Designated,Non-Rural,06/07/2002,06/07/2002
,Primary Care,06202,Low Income - Ft. Mohave,MUP Low Income,Arizona,"Mohave County, AZ",58.2,Designated,Rural,03/12/2001,03/12/2001
,Primary Care,06171,Low Income Population of Yavapai,MUP Low Income,Arizona,"Coconino County, AZ | Yavapai County, AZ",56.8,Designated,Rural,01/18/2001,01/18/2001
,Primary Care,00142,Arkansas County,Medically Underserved Area,Arkansas,"Arkansas County, AR",58.1,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00143,Ashley County,Medically Underserved Area,Arkansas,"Ashley County, AR",53.2,Designated,Rural,11/01/1978,10/19/1999
,Primary Care,00144,Baxter County,Medically Underserved Area,Arkansas,"Baxter County, AR",46.3,Designated,Rural,11/01/1978,11/01/1978
,Primary Care,00230,Big Creek Service Area,Medically Underserved Area,Arkansas,"White County, AR",58.4,Designated,Rural,05/11/1994,04/29/2014
,Primary Care,00221,Black Oak Service Area,Medically Underserved Area,Arkansas,"Craighead County, AR",56.2,Designated,Partially Rural,05/11/1994,05/11/1994
,Primary Care,00209,Boone Van Buren Service Area,Medically Underserved Area,Arkansas,"Union County, AR",58.4,Designated,Rural,05/11/1994,05/11/1994
,Primary Care,1053065473,Bradley County,Medically Underserved Area,Arkansas,"Bradley County, AR",58.9,Designated,Rural,11/15/2018,11/15/2018
,Primary Care,00146,Calhoun County,Medically Underserved Area,Arkansas,"Calhoun County, AR",53.2,Designated,Rural,07/27/1983,07/27/1983
,Primary Care,00147,Carroll County,Medically Underserved Area,Arkansas,"Carroll County, AR",47.5,Designated,Rural,11/01/1978,11/01/1978
