

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"San Diego County(7)",06073,***,368.2 ,354.6, 382.1,23 , 16 , 29,612,stable,-1.1 ,-2.8, 0.6
"Yuba County(7)",06115,***,364.1 ,265.1, 486.2,24 , 1 , 39,10,stable,-0.7 ,-3.9, 2.6
"San Mateo County(7)",06081,***,357.8 ,327.9, 389.7,25 , 13 , 33,109,falling,-5.7 ,-7.5, -3.8
"Butte County(7)",06007,***,356.5 ,278.4, 448.7,26 , 3 , 38,15,falling,-4.2 ,-6.3, -2.1
"Napa County(7)",06055,***,353.1 ,269.9, 453.5,27 , 2 , 39,13,falling,-4.2 ,-6.2, -2.2
"Placer County(7)",06061,***,345.2 ,287.9, 410.4,28 , 6 , 38,28,stable,-0.9 ,-3.4, 1.6
"Orange County(7)",06059,***,344.2 ,322.4, 367,29 , 19 , 34,217,falling,-2.0 ,-2.7, -1.2
"Monterey County(7)",06053,***,340.6 ,299.5, 385.6,30 , 13 , 37,55,falling,-3.2 ,-4.8, -1.7
"Sonoma County(7)",06097,***,324.7 ,274.4, 381.2,31 , 12 , 38,34,falling,-2.4 ,-4.7, -0.1
"San Luis Obispo County(7)",06079,***,323.1 ,249.7, 410.1,32 , 4 , 39,17,falling,-3.3 ,-5.8, -0.7
"Madera County(7)",06039,***,308.1 ,246.1, 380.6,33 , 12 , 39,18,falling,-3.0 ,-5.3, -0.7
"Kings County(7)",06031,***,298.2 ,240, 365.3,34 , 15 , 39,23,falling,-2.7 ,-4.7, -0.7
"Sutter County(7)",06101,***,287 ,202, 394.6,35 , 6 , 39,8,stable,-2.5 ,-6.6, 1.9
"Tulare County(7)",06107,***,277.4 ,224.7, 338,36 , 23 , 39,22,stable,-0.7 ,-15.4, 16.5
"Santa Cruz County(7)",06087,***,272.2 ,201.1, 359.8,37 , 16 , 39,12,stable,-3.4 ,-6.9, 0.2
"Imperial County(7)",06025,***,270 ,205, 348.3,38 , 20 , 39,12,stable,-2.4 ,-5.1, 0.3
"El Dorado County(7)",06017,***,244.3 ,155.3, 364.1,39 , 13 , 39,6,falling,-6.1 ,-10.0, -2.0
"Alpine County(7)",06003,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Amador County(7)",06005,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Calaveras County(7)",06009,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Colusa County(7)",06011,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Del Norte County(7)",06015,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Glenn County(7)",06021,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Inyo County(7)",06027,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Lassen County(7)",06035,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Mariposa County(7)",06043,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Mendocino County(7)",06045,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Modoc County(7)",06049,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Mono County(7)",06051,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Nevada County(7)",06057,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Plumas County(7)",06063,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"San Benito County(7)",06069,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Sierra County(7)",06091,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Tehama County(7)",06103,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Trinity County(7)",06105,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Tuolumne County(7)",06109,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*

